Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-04-19,1039.95,1126.37,1105.47,1303.6,1071.18,1641.25,1172.54,1181.73,1172
2020-04-20,1123.76,1160.93,1115.65,1180.06,1059.58,1602.58,1172.18,1193.55,1172
2020-04-21,1116.28,1098.14,1168.47,1109.16,1075.39,1709.27,1183.46,1205.54,1172
2020-04-22,1136.88,1095.42,1099.12,1138.96,1107.67,1491.15,1199.52,1243.76,1172
2020-04-23,1167.58,1113.74,1078.44,1104.79,1114.76,1442.1,1199.89,1250.16,1172
2020-04-24,1163.06,1010.8,1131.86,1119.43,1104.96,1533.99,1158.52,1170.9,1172
2020-04-25,1112.03,1080.36,1174.74,1188.54,1171.3,1438,1071.44,1193.14,1172
2020-04-26,1097.56,1179.6,1142.81,1144.36,1154.25,1311.46,1052.43,1245.31,1172
2020-04-27,1028.63,1091.53,1095.67,1213.54,1187.83,1355.2,1180.7,1285.89,1172
2020-04-28,1098.18,1147.42,1086.47,1117.41,1109.8,1376.33,1236.63,1180.04,1172
2020-04-29,1045.6,1062.51,1129.53,1003.66,1154.3,1285.86,1187.46,1237.69,1172
2020-04-30,1096.87,1087.68,1032.63,1013.18,1192.03,1289.49,1152.98,1249.95,1172
2020-05-01,1114,969.64,1000,1079.85,1147.34,1248.81,1105.44,1178.91,1172
2020-05-02,1048.82,1019.39,1006.68,1002.24,1114.48,1284.49,1046.14,1169.39,1172
2020-05-03,1044.61,1118.05,1158.19,1124.21,1140.32,1230.74,1096.68,1233.83,1172
2020-05-04,1075.07,1169.55,1196.73,1067.06,1170.22,1209.49,1109.84,1201.42,1172
2020-05-05,1096.33,1184.16,1175.71,1104.21,1004.08,1360.41,1195.86,1251.88,1172
2020-05-06,1092.59,1143,1087,1074.11,1066.19,1242.31,1193.44,1278.24,1172
2020-05-07,1134,1077.98,1083.17,1132.04,1201.14,1253.97,1224.1,1260.01,1172
2020-05-08,1119.42,1040.91,1066.39,1191.88,1199.26,1270.37,1229.33,1160.88,1172
2020-05-09,1112.83,1052.79,1148.82,1073.15,1149.68,1181.37,1147.48,1235.67,1172
2020-05-10,961.58,1045.82,1199.83,1152.53,1122.64,1004.75,1123.89,1313.48,1172
2020-05-11,1130.43,1062.06,1171.51,1102.89,1110.17,1083.39,1100.34,1246.66,1172
2020-05-12,1125.11,1104.86,1102.88,1086.65,1034.19,1114.25,1138.65,1313.25,1172
2020-05-13,1172.94,1100.02,1058.11,994.26,1093.33,1143.12,1129.03,1322.71,1172
2020-05-14,1139.19,1064.43,995.42,1079.2,1130.79,1081.99,1170.3,1263.27,1172
2020-05-15,1067.55,1072.75,1063.52,1067.81,1181.92,1117.7,1121.64,1184.94,1172
2020-05-16,1007.98,1047.63,1179.76,1096.48,1134.37,1006.31,1033.82,1287.89,1172
2020-05-17,1034.47,1098.79,1189.7,1128.32,1094.22,1036.48,1090.8,1275.17,1172
2020-05-18,1082.83,1156.54,1053.2,1122.28,1050.07,998.31,1119.36,1351.28,1172
2020-05-19,1097.95,1142,1111.05,1131.18,995.12,1055.05,1103.98,1296.36,1172
2020-05-20,1081.2,1101.34,1115.12,1025.2,1046.14,1121.99,1133.11,1300.31,1172
2020-05-21,1042.89,1153.83,963.08,1058.61,1101.83,1137.95,1159.36,1288.23,1172
2020-05-22,1036.03,993,1073.81,1066.05,1137.96,1217.49,1056.91,1171.64,1172
2020-05-23,1043.69,1025.37,1158.72,1149.04,1132.15,1096.19,992.15,1233.87,1172
