Fecha,2013-02-22,2013-03-25,2013-04-25,2013-06-11,2013-09-11,2013-09-26,2013-11-04,2014-02-10,2014-02-20,2014-03-20,2014-05-05,2014-05-21,2014-07-01,2014-07-21,2014-09-26,2014-11-28,2015-01-14,2015-01-27,2015-03-25,2015-04-24,2015-05-22,2015-06-24,2015-07-30,2015-09-21,2015-10-22,2015-11-24,2015-12-16,2016-01-25,2016-02-26,2016-04-16,2016-05-26,2016-06-26,2016-08-10,2016-09-23,2016-11-18,2017-01-18,2017-03-03,2017-05-10,2017-06-30,2017-09-01,2017-11-02,2017-11-27,2017-12-14,2017-12-20,2018-01-22,2018-02-28,2018-04-12,2018-05-11,2018-06-19,2018-08-01,2018-08-16,2018-09-28,2018-10-18,2018-11-21,2018-12-20,2019-01-18,2019-02-25,2019-03-25,2019-05-05,2019-05-21,2019-06-19,2019-07-26,2019-10-09,2019-11-20,2020-01-29,2020-02-19,2020-03-24,2020-04-28,2020-06-02,2020-07-29,2020-08-20,2020-09-21,2020-10-23,2020-11-20,2020-12-17,2021-01-22,2021-02-19,2021-03-23,2021-04-23,2021-05-21,2021-06-22,2021-07-21,2021-08-27,2021-09-22,2021-10-22,2021-11-18,2021-12-21,2022-01-21,2022-02-22,2022-03-18,2022-04-20,2022-05-24,2022-06-18,2022-07-20,2022-08-18,2022-09-20
2007,386818,386818,386819,386820,386820,386822,386823,386829,386830,386830,386830,386832,386832,386832,386832,386833,386833,386833,386834,386834,386834,386834,386834,386834,386834,386835,386835,386835,386835,386838,386838,386838,386841,386842,386843,386843,386843,386844,386845,386846,386847,386848,386848,386853,386854,386854,386856,386857,386859,386863,386864,386864,386864,386867,386867,386868,386869,386869,386876,386876,386876,386876,386879,386884,386884,386886,386886,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386887,386892,386892,386892,386892,386893,386893,386893,386893,386893,386893,386893,386893,386893,386893
2008,385426,385426,385426,385427,385427,385432,385432,385435,385435,385438,385438,385438,385441,385441,385444,385444,385444,385444,385444,385446,385446,385447,385447,385448,385448,385449,385449,385449,385449,385449,385449,385449,385450,385450,385450,385451,385451,385452,385452,385452,385453,385455,385455,385458,385458,385458,385459,385460,385463,385474,385474,385474,385475,385476,385477,385478,385483,385483,385486,385486,385486,385486,385487,385491,385492,385492,385492,385492,385492,385492,385492,385492,385492,385492,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385493,385494,385494,385494,385494,385494,385494,385494
2009,382780,382784,382793,382797,382797,382799,382803,382825,382830,382836,382838,382840,382847,382848,382852,382854,382854,382856,382859,382860,382860,382861,382861,382861,382861,382861,382861,382861,382861,382862,382862,382862,382862,382864,382864,382864,382865,382865,382865,382867,382867,382867,382867,382894,382894,382895,382895,382899,382962,382970,382970,382970,382971,382975,382976,382976,382983,382984,382987,382987,382988,382990,382997,383005,383007,383009,383009,383009,383009,383009,383009,383009,383009,383009,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010,383010
2010,382994,383022,383036,383048,383060,383080,383088,383113,383145,383149,383158,383162,383183,383183,383198,383202,383204,383211,383221,383225,383225,383226,383228,383233,383236,383236,383236,383238,383239,383257,383264,383265,383267,383273,383279,383286,383288,383292,383294,383313,383314,383315,383315,383321,383324,383325,383328,383334,383357,383363,383364,383366,383366,383373,383375,383375,383378,383378,383386,383387,383389,383391,383395,383404,383406,383407,383410,383414,383414,383417,383419,383420,383420,383421,383421,383421,383425,383425,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426,383426
2011,388083,388114,388164,388221,388229,388275,388294,388337,388373,388395,388417,388426,388490,388495,388513,388537,388539,388580,388596,388600,388602,388610,388612,388614,388622,388627,388628,388629,388634,388654,388655,388657,388660,388664,388668,388678,388678,388683,388689,388693,388695,388708,388710,388713,388722,388729,388733,388739,388746,388754,388758,388762,388764,388770,388772,388774,388777,388778,388781,388786,388787,388788,388792,388797,388799,388800,388802,388802,388802,388802,388802,388802,388802,388802,388804,388804,388804,388807,388809,388810,388813,388813,388814,388815,388816,388818,388819,388822,388822,388823,388823,388823,388823,388823,388823,388824
2012,376297,396193,400567,401443,401521,402231,402417,403076,403306,403333,403404,403455,403556,403568,403593,403618,403633,403666,403692,403694,403700,403716,403717,403719,403725,403732,403732,403736,403737,403744,403747,403747,403748,403752,403755,403757,403759,403768,403783,403795,403803,403811,403811,403825,403850,403857,403865,403876,403889,403894,403900,403900,403901,403909,403913,403913,403917,403921,403924,403924,403926,403927,403930,403935,403937,403938,403941,403942,403942,403942,403942,403942,403942,403942,403943,403943,403943,403944,403944,403944,403944,403944,403944,403944,403945,403945,403946,403946,403947,403947,403947,403947,403947,403947,403948,403949
2013,43,24105,58296,113564,130903,205120,243982,319537,371302,382245,386175,386698,387324,387393,387822,387971,388053,388081,388156,388172,388182,388211,388230,388236,388257,388260,388262,388275,388297,388314,388316,388320,388328,388331,388332,388343,388344,388352,388358,388362,388363,388371,388372,388387,388389,388401,388402,388409,388418,388426,388427,388427,388427,388435,388435,388438,388442,388442,388444,388448,388449,388449,388450,388458,388459,388460,388462,388463,388463,388463,388465,388465,388465,388465,388467,388467,388467,388468,388468,388468,388468,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469,388469
2014,,,,,,,,,41,24225,61480,78006,126429,140025,211907,276705,310711,331050,389254,392107,394198,394731,394951,395088,395299,395259,395261,395289,395319,395415,395447,395454,395464,395471,395482,395492,395495,395506,395510,395516,395524,395530,395530,395537,395539,395546,395549,395569,395588,395593,395595,395596,395597,395609,395610,395611,395613,395614,395617,395620,395623,395629,395634,395646,395652,395653,395656,395656,395656,395656,395657,395657,395659,395659,395659,395659,395660,395663,395663,395663,395663,395663,395663,395663,395663,395663,395664,395664,395664,395664,395664,395665,395666,395666,395666,395666
2015,,,,,,,,,,,,,,,,,,,27292,56352,93572,131500,174070,204845,260903,294572,305578,330265,382496,420884,421962,422250,422366,422525,422600,422725,422745,422781,422801,422833,422840,422847,422848,422857,422859,422865,422871,422889,422914,422921,422924,422927,422936,422950,422954,422956,422956,422960,422967,422967,422971,422975,422979,423000,423006,423011,423011,423011,423011,423012,423012,423012,423012,423012,423014,423014,423015,423017,423017,423017,423017,423018,423018,423019,423019,423020,423020,423020,423020,423020,423020,423021,423021,423021,423021,423021
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60566,95821,119401,148846,200849,280939,352215,386774,404453,407958,408479,408701,408842,408963,409036,409069,409090,409108,409168,409209,409218,409224,409246,409254,409274,409277,409279,409283,409287,409289,409291,409296,409301,409304,409342,409349,409349,409353,409355,409355,409355,409357,409358,409359,409360,409363,409364,409366,409367,409367,409371,409371,409373,409374,409374,409374,409374,409374,409374,409374,409374,409389,409389,409389,409389,409389,409389
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,69149,141849,173369,203572,264257,284701,319609,351428,389238,406496,418891,421013,421472,421548,421663,421728,421905,421923,421961,421985,422013,422020,422024,422034,422037,422055,422100,422116,422123,422126,422128,422128,422129,422130,422130,422133,422136,422142,422150,422151,422152,422156,422156,422156,422158,422158,422158,422158,422162,422163,422164,422164,422164,422173,422173,422173,422173,422174,422174
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,6883,67348,147595,180183,202706,235872,272453,308606,336907,364802,399741,422678,424131,424521,426825,426881,427364,427679,427822,427893,427909,427910,427914,427941,427942,427956,427957,427959,427967,427971,427984,427993,427997,428004,428004,428005,428005,428007,428007,428009,428011,428012,428012,428014,428015,428018,428018,428018,428018,428018
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29209,47489,64362,111627,141299,208859,266413,343129,394304,410932,411600,414216,416317,416434,416480,416602,416637,418556,418574,418592,418633,418643,418656,418659,418666,418668,418672,418673,418675,418680,418780,418781,418784,418798,418805,418807,418813,418813,418813
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,22822,31914,51924,181777,229887,260576,305802,328499,366163,401359,463807,483237,490155,491127,491744,492572,493007,493142,493214,493228,493236,493242,493250,493269,493288,493320,493334,493354,493362,493368
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,30852,73546,121658,145293,189625,220520,252201,288561,321005,353467,387015,426127,444113,448028,448968,449234,449681,449757,449782
2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,28803,73906,114377,147855,184737,218755,255852
