08 Castilla - La Mancha;2020-03-06;0
07 Castilla y León;2020-03-06;0
09 Cataluña;2020-03-06;0
18 Ceuta;2020-03-06;0
10 Comunitat Valenciana;2020-03-06;0
11 Extremadura;2020-03-06;0
12 Galicia;2020-03-06;0
13 Madrid, Comunidad de;2020-03-06;0
19 Melilla;2020-03-06;0
14 Murcia, Región de;2020-03-06;0
15 Navarra, Comunidad Foral de;2020-03-06;0
16 País Vasco;2020-03-06;0
17 Rioja, La;2020-03-06;0
01 Andalucía;2020-03-07;0
02 Aragón;2020-03-07;0
03 Asturias, Principado de;2020-03-07;0
04 Balears, Illes;2020-03-07;0
05 Canarias;2020-03-07;0
06 Cantabria;2020-03-07;0
08 Castilla - La Mancha;2020-03-07;0
07 Castilla y León;2020-03-07;0
09 Cataluña;2020-03-07;0
18 Ceuta;2020-03-07;0
10 Comunitat Valenciana;2020-03-07;0
11 Extremadura;2020-03-07;0
12 Galicia;2020-03-07;0
13 Madrid, Comunidad de;2020-03-07;0
19 Melilla;2020-03-07;0
14 Murcia, Región de;2020-03-07;0
15 Navarra, Comunidad Foral de;2020-03-07;0
16 País Vasco;2020-03-07;0
17 Rioja, La;2020-03-07;0
01 Andalucía;2020-03-08;0
02 Aragón;2020-03-08;3
03 Asturias, Principado de;2020-03-08;0
04 Balears, Illes;2020-03-08;0
05 Canarias;2020-03-08;0
06 Cantabria;2020-03-08;0
08 Castilla - La Mancha;2020-03-08;0
07 Castilla y León;2020-03-08;0
09 Cataluña;2020-03-08;2
18 Ceuta;2020-03-08;0
10 Comunitat Valenciana;2020-03-08;1
11 Extremadura;2020-03-08;0
12 Galicia;2020-03-08;0
13 Madrid, Comunidad de;2020-03-08;16
19 Melilla;2020-03-08;0
14 Murcia, Región de;2020-03-08;0
15 Navarra, Comunidad Foral de;2020-03-08;0
16 País Vasco;2020-03-08;6
17 Rioja, La;2020-03-08;0
01 Andalucía;2020-03-09;0
02 Aragón;2020-03-09;1
03 Asturias, Principado de;2020-03-09;0
04 Balears, Illes;2020-03-09;0
05 Canarias;2020-03-09;0
06 Cantabria;2020-03-09;0
08 Castilla - La Mancha;2020-03-09;0
07 Castilla y León;2020-03-09;0
09 Cataluña;2020-03-09;0
18 Ceuta;2020-03-09;0
10 Comunitat Valenciana;2020-03-09;0
11 Extremadura;2020-03-09;0
12 Galicia;2020-03-09;0
13 Madrid, Comunidad de;2020-03-09;5
19 Melilla;2020-03-09;0
14 Murcia, Región de;2020-03-09;0
15 Navarra, Comunidad Foral de;2020-03-09;0
16 País Vasco;2020-03-09;0
17 Rioja, La;2020-03-09;1
01 Andalucía;2020-03-10;0
02 Aragón;2020-03-10;0
03 Asturias, Principado de;2020-03-10;0
04 Balears, Illes;2020-03-10;0
05 Canarias;2020-03-10;0
06 Cantabria;2020-03-10;0
08 Castilla - La Mancha;2020-03-10;0
07 Castilla y León;2020-03-10;0
09 Cataluña;2020-03-10;1
18 Ceuta;2020-03-10;0
10 Comunitat Valenciana;2020-03-10;0
11 Extremadura;2020-03-10;1
12 Galicia;2020-03-10;0
13 Madrid, Comunidad de;2020-03-10;10
19 Melilla;2020-03-10;0
14 Murcia, Región de;2020-03-10;0
15 Navarra, Comunidad Foral de;2020-03-10;0
16 País Vasco;2020-03-10;0
17 Rioja, La;2020-03-10;1
01 Andalucía;2020-03-11;0
02 Aragón;2020-03-11;2
03 Asturias, Principado de;2020-03-11;0
04 Balears, Illes;2020-03-11;1
05 Canarias;2020-03-11;0
06 Cantabria;2020-03-11;0
08 Castilla - La Mancha;2020-03-11;1
07 Castilla y León;2020-03-11;0
09 Cataluña;2020-03-11;3
18 Ceuta;2020-03-11;0
10 Comunitat Valenciana;2020-03-11;0
11 Extremadura;2020-03-11;0
12 Galicia;2020-03-11;0
13 Madrid, Comunidad de;2020-03-11;25
19 Melilla;2020-03-11;0
14 Murcia, Región de;2020-03-11;0
15 Navarra, Comunidad Foral de;2020-03-11;0
16 País Vasco;2020-03-11;5
17 Rioja, La;2020-03-11;0
01 Andalucía;2020-03-12;0
02 Aragón;2020-03-12;1
03 Asturias, Principado de;2020-03-12;1
04 Balears, Illes;2020-03-12;0
05 Canarias;2020-03-12;0
06 Cantabria;2020-03-12;0
08 Castilla - La Mancha;2020-03-12;4
07 Castilla y León;2020-03-12;1
09 Cataluña;2020-03-12;3
18 Ceuta;2020-03-12;0
10 Comunitat Valenciana;2020-03-12;0
11 Extremadura;2020-03-12;0
12 Galicia;2020-03-12;0
13 Madrid, Comunidad de;2020-03-12;25
19 Melilla;2020-03-12;0
14 Murcia, Región de;2020-03-12;0
15 Navarra, Comunidad Foral de;2020-03-12;0
16 País Vasco;2020-03-12;3
17 Rioja, La;2020-03-12;1
01 Andalucía;2020-03-13;2
02 Aragón;2020-03-13;0
03 Asturias, Principado de;2020-03-13;1
04 Balears, Illes;2020-03-13;0
05 Canarias;2020-03-13;1
06 Cantabria;2020-03-13;0
08 Castilla - La Mancha;2020-03-13;1
07 Castilla y León;2020-03-13;2
09 Cataluña;2020-03-13;4
18 Ceuta;2020-03-13;0
10 Comunitat Valenciana;2020-03-13;3
11 Extremadura;2020-03-13;1
12 Galicia;2020-03-13;0
13 Madrid, Comunidad de;2020-03-13;5
19 Melilla;2020-03-13;0
14 Murcia, Región de;2020-03-13;0
15 Navarra, Comunidad Foral de;2020-03-13;0
16 País Vasco;2020-03-13;0
17 Rioja, La;2020-03-13;0
01 Andalucía;2020-03-14;4
02 Aragón;2020-03-14;0
03 Asturias, Principado de;2020-03-14;0
04 Balears, Illes;2020-03-14;0
05 Canarias;2020-03-14;0
06 Cantabria;2020-03-14;0
08 Castilla - La Mancha;2020-03-14;4
07 Castilla y León;2020-03-14;3
09 Cataluña;2020-03-14;2
18 Ceuta;2020-03-14;0
10 Comunitat Valenciana;2020-03-14;1
11 Extremadura;2020-03-14;0
12 Galicia;2020-03-14;2
13 Madrid, Comunidad de;2020-03-14;127
19 Melilla;2020-03-14;0
14 Murcia, Región de;2020-03-14;0
15 Navarra, Comunidad Foral de;2020-03-14;0
16 País Vasco;2020-03-14;9
17 Rioja, La;2020-03-14;0
01 Andalucía;2020-03-15;1
02 Aragón;2020-03-15;4
03 Asturias, Principado de;2020-03-15;0
04 Balears, Illes;2020-03-15;0
05 Canarias;2020-03-15;0
06 Cantabria;2020-03-15;0
08 Castilla - La Mancha;2020-03-15;7
07 Castilla y León;2020-03-15;3
09 Cataluña;2020-03-15;5
18 Ceuta;2020-03-15;0
10 Comunitat Valenciana;2020-03-15;0
11 Extremadura;2020-03-15;0
12 Galicia;2020-03-15;0
13 Madrid, Comunidad de;2020-03-15;0
19 Melilla;2020-03-15;0
14 Murcia, Región de;2020-03-15;0
15 Navarra, Comunidad Foral de;2020-03-15;1
16 País Vasco;2020-03-15;0
17 Rioja, La;2020-03-15;1
01 Andalucía;2020-03-16;4
02 Aragón;2020-03-16;1
03 Asturias, Principado de;2020-03-16;0
04 Balears, Illes;2020-03-16;0
05 Canarias;2020-03-16;1
06 Cantabria;2020-03-16;0
08 Castilla - La Mancha;2020-03-16;0
07 Castilla y León;2020-03-16;3
09 Cataluña;2020-03-16;3
18 Ceuta;2020-03-16;0
10 Comunitat Valenciana;2020-03-16;8
11 Extremadura;2020-03-16;1
12 Galicia;2020-03-16;1
13 Madrid, Comunidad de;2020-03-16;142
19 Melilla;2020-03-16;0
14 Murcia, Región de;2020-03-16;0
15 Navarra, Comunidad Foral de;2020-03-16;1
16 País Vasco;2020-03-16;13
17 Rioja, La;2020-03-16;1
01 Andalucía;2020-03-17;8
02 Aragón;2020-03-17;1
03 Asturias, Principado de;2020-03-17;0
04 Balears, Illes;2020-03-17;0
05 Canarias;2020-03-17;1
06 Cantabria;2020-03-17;1
08 Castilla - La Mancha;2020-03-17;11
07 Castilla y León;2020-03-17;10
09 Cataluña;2020-03-17;10
18 Ceuta;2020-03-17;0
10 Comunitat Valenciana;2020-03-17;9
11 Extremadura;2020-03-17;3
12 Galicia;2020-03-17;0
13 Madrid, Comunidad de;2020-03-17;35
19 Melilla;2020-03-17;0
14 Murcia, Región de;2020-03-17;0
15 Navarra, Comunidad Foral de;2020-03-17;1
16 País Vasco;2020-03-17;4
17 Rioja, La;2020-03-17;0
01 Andalucía;2020-03-18;4
02 Aragón;2020-03-18;2
03 Asturias, Principado de;2020-03-18;0
04 Balears, Illes;2020-03-18;1
05 Canarias;2020-03-18;0
06 Cantabria;2020-03-18;0
08 Castilla - La Mancha;2020-03-18;14
07 Castilla y León;2020-03-18;7
09 Cataluña;2020-03-18;20
18 Ceuta;2020-03-18;0
10 Comunitat Valenciana;2020-03-18;2
11 Extremadura;2020-03-18;2
12 Galicia;2020-03-18;1
13 Madrid, Comunidad de;2020-03-18;108
19 Melilla;2020-03-18;0
14 Murcia, Región de;2020-03-18;0
15 Navarra, Comunidad Foral de;2020-03-18;1
16 País Vasco;2020-03-18;13
17 Rioja, La;2020-03-18;0
01 Andalucía;2020-03-19;7
02 Aragón;2020-03-19;2
03 Asturias, Principado de;2020-03-19;2
04 Balears, Illes;2020-03-19;0
05 Canarias;2020-03-19;1
06 Cantabria;2020-03-19;0
08 Castilla - La Mancha;2020-03-19;0
07 Castilla y León;2020-03-19;14
09 Cataluña;2020-03-19;40
18 Ceuta;2020-03-19;0
10 Comunitat Valenciana;2020-03-19;9
11 Extremadura;2020-03-19;2
12 Galicia;2020-03-19;1
13 Madrid, Comunidad de;2020-03-19;130
19 Melilla;2020-03-19;0
14 Murcia, Región de;2020-03-19;0
15 Navarra, Comunidad Foral de;2020-03-19;1
16 País Vasco;2020-03-19;18
17 Rioja, La;2020-03-19;2
01 Andalucía;2020-03-20;10
02 Aragón;2020-03-20;5
03 Asturias, Principado de;2020-03-20;3
04 Balears, Illes;2020-03-20;2
05 Canarias;2020-03-20;3
06 Cantabria;2020-03-20;1
08 Castilla - La Mancha;2020-03-20;42
07 Castilla y León;2020-03-20;12
09 Cataluña;2020-03-20;50
18 Ceuta;2020-03-20;0
