Fecha,2022,2021,2020,2019,2018
2020-09-23,,1110.35,1195.26,981.3,954.37
2020-09-24,,1157.93,1154.27,1030.45,1040.23
2020-09-25,,1122.81,1207.54,1037.92,1042.45
2020-09-26,,942.91,1127.66,1019.08,1114.27
2020-09-27,,989.14,1150.72,1097.47,1058.6
2020-09-28,,1099.89,1171.18,1039,1074.24
2020-09-29,,1040.8,1156.32,976.95,1064.78
2020-09-30,,1153.19,1193.66,980.37,991.61
2020-10-01,,1120.71,1228.07,1093.93,1025.11
2020-10-02,,1159.9,1197.71,1053.19,1044.91
2020-10-03,,1077.87,1215.01,1006.41,1093.11
2020-10-04,,1033.27,1112.46,1050.8,1060.71
2020-10-05,,1056.14,1189.75,998.87,1066.49
2020-10-06,,1192.38,1191.4,937.4,1069.45
2020-10-07,,1095.39,1309.39,1022.33,986.65
2020-10-08,,1193.9,1251.96,1060.78,968.31
2020-10-09,,1068.54,1351.53,1105.27,1090.45
2020-10-10,,998.22,1265.63,1073.08,1133.22
2020-10-11,,1052.44,1175.93,1142.26,1083.68
2020-10-12,,1045.72,1125.12,1102.15,1142.99
2020-10-13,,1090.63,1237.84,983.08,1095.79
2020-10-14,,1121.19,1245.75,1051.97,1032.97
2020-10-15,,1148.92,1249.43,1048.75,1008.73
2020-10-16,,1193.73,1315.44,1143.18,1066.58
2020-10-17,,1074.32,1286.73,1149.26,1129.87
2020-10-18,,1063.34,1234.37,1117.31,1109.61
2020-10-19,,1207.98,1358.92,1025.16,1094.16
2020-10-20,,1249.41,1394.77,986.34,1056.41
2020-10-21,,1136.35,1423.28,1041.39,1030.24
2020-10-22,,1125.3,1388.46,1193.95,988.42
2020-10-23,,1094.72,1388.77,1073.51,1106.55
2020-10-24,,975.5,1354.18,1133.61,1023.52
2020-10-25,,1084.87,1323.05,1092.96,1052.91
2020-10-26,,1183.96,1310.35,1127.01,1088.11
2020-10-27,,1146.62,1398.5,1024.88,1112.7
2020-10-28,,1195.42,1339.92,1087.87,1125.44
2020-10-29,,1199.38,1413.25,1139.26,1099.87
2020-10-30,,1260.78,1453.57,1072.96,1104.88
2020-10-31,,1237.46,1505.31,1120.15,1170.73
2020-11-01,,1104.09,1346.22,1179.77,1141.45
2020-11-02,,1104.27,1462.8,1175.25,1129.34
2020-11-03,,1103.64,1527.35,1067.41,1211.22
2020-11-04,,1140.65,1498.46,1131.09,1126.82
2020-11-05,,1193.11,1522.42,1150.9,1094.28
2020-11-06,,1195.19,1581.95,1077.25,1170.31
2020-11-07,,1074.66,1463.1,1068.57,1183.5
2020-11-08,,1207.36,1448.78,1176.98,1142.98
2020-11-09,,1364.96,1444.03,1130.83,1218.13
2020-11-10,,1311.56,1508.52,1094.51,1170.79
2020-11-11,,1263.05,1471.45,1095.2,1186.11
2020-11-12,,1279.37,1460.62,1177.47,1154.19
2020-11-13,,1234.25,1517.02,1207.03,1210.35
2020-11-14,,1180.69,1355.26,1237.61,1109.2
2020-11-15,,1239,1414.25,1176.66,1173.3
2020-11-16,,1290.72,1448.46,1176.91,1223.07
2020-11-17,,1314.96,1470.85,1140.57,1197.33
2020-11-18,,1265.11,1461.18,1125.97,1065.18
2020-11-19,,1275.66,1428.72,1238.13,1111.64
2020-11-20,,1276.95,1449.24,1252.55,1183.24
2020-11-21,,1226.81,1335.8,1210.81,1142.03
2020-11-22,,1357.28,1269.7,1260.57,1167.53
2020-11-23,,1382.56,1385.43,1238.24,1162.35
2020-11-24,,1276.56,1368.91,1076.96,1164.84
2020-11-25,,1257.73,1377.99,1179.07,1101.94
2020-11-26,,1292.4,1515.1,1274.65,1148.45
2020-11-27,,1253.86,1451.17,1231.15,1143.35
2020-11-28,,1136.89,1329.06,1264.36,1152.87
2020-11-29,,1273.59,1244.92,1269.39,1213.14
2020-11-30,,1375.23,1301.24,1174.06,1189.7
2020-12-01,,1415.73,1360.77,1123.95,1191.57
2020-12-02,,1377.17,1456.17,1134.83,1107.1
2020-12-03,,1382.02,1456,1217.22,1144.66
2020-12-04,,1354.05,1441.29,1181.58,1184.71
2020-12-05,,1279.94,1365.46,1181.52,1303.25
2020-12-06,,1244.48,1322.36,1175.42,1164.07
2020-12-07,,1322.33,1286.08,1120.88,1135.35
2020-12-08,,1306.09,1355.45,1145.39,1164.26
2020-12-09,,1278.06,1396.63,1169.18,1050.86
2020-12-10,,1322.47,1446.77,1161.84,1192.02
2020-12-11,,1346.08,1474.99,1249.34,1129.88
2020-12-12,,1291.42,1355.4,1243.43,1309.2
2020-12-13,,1285.16,1320.46,1318.87,1263.3
2020-12-14,,1371.21,1377.14,1196.11,1243.97
2020-12-15,,1398.59,1408.27,1192.56,1191.75
2020-12-16,,1402.29,1337.62,1182.21,1140.74
2020-12-17,,1468.64,1300.59,1183.49,1153
2020-12-18,,1365.09,1433.4,1266.32,1209.85
