Fecha,Diariamente,Media INE2018
2021-12-23,1334,1172
2021-12-24,1445,1172
2021-12-25,43,1172
2021-12-26,1095,1172
2021-12-27,1073,1172
2021-12-28,1915,1172
2021-12-29,1767,1172
2021-12-30,1572,1172
2021-12-31,1538,1172
2022-01-01,56,1172
2022-01-02,1106,1172
2022-01-03,1133,1172
2022-01-04,1965,1172
2022-01-05,1724,1172
2022-01-06,1528,1172
2022-01-07,23,1172
2022-01-08,1928,1172
2022-01-09,1153,1172
2022-01-10,1168,1172
2022-01-11,1870,1172
2022-01-12,1748,1172
2022-01-13,1368,1172
2022-01-14,1718,1172
2022-01-15,1592,1172
2022-01-16,1229,1172
2022-01-17,1209,1172
2022-01-18,1822,1172
2022-01-19,1464,1172
2022-01-20,1504,1172
2022-01-21,1517,1172
2022-01-22,1603,1172
2022-01-23,1229,1172
2022-01-24,1216,1172
2022-01-25,1519,1172
2022-01-26,1620,1172
2022-01-27,1626,1172
2022-01-28,1491,1172
2022-01-29,1561,1172
2022-01-30,1266,1172
2022-01-31,1216,1172
2022-02-01,1842,1172
2022-02-02,1549,1172
2022-02-03,1745,1172
2022-02-04,1753,1172
2022-02-05,1689,1172
2022-02-06,1202,1172
2022-02-07,1247,1172
2022-02-08,1720,1172
2022-02-09,1560,1172
2022-02-10,1574,1172
2022-02-11,1574,1172
2022-02-12,1372,1172
2022-02-13,1268,1172
2022-02-14,1202,1172
2022-02-15,1703,1172
2022-02-16,1317,1172
2022-02-17,1224,1172
2022-02-18,1399,1172
2022-02-19,1394,1172
2022-02-20,1220,1172
2022-02-21,1185,1172
2022-02-22,1569,1172
2022-02-23,1281,1172
2022-02-24,1094,1172
2022-02-25,1260,1172
2022-02-26,144,1172
2022-02-27,1098,1172
2022-02-28,2357,1172
2022-03-01,1117,1172
2022-03-02,1060,1172
2022-03-03,1240,1172
2022-03-04,1243,1172
2022-03-05,1394,1172
2022-03-06,1177,1172
2022-03-07,1184,1172
2022-03-08,1209,1172
2022-03-09,1278,1172
2022-03-10,1105,1172
2022-03-11,1332,1172
2022-03-12,-13,1172
2022-03-13,1051,1172
2022-03-14,2376,1172
2022-03-15,896,1172
2022-03-16,737,1172
2022-03-17,1006,1172
2022-03-18,65,1172
2022-03-19,3017,1172
2022-03-20,1121,1172
2022-03-21,1139,1172
2022-03-22,-957,1172
2022-03-23,3289,1172
2022-03-24,1182,1172
2022-03-25,1329,1172
2022-03-26,1283,1172
2022-03-27,1004,1172
2022-03-28,1197,1172
2022-03-29,1211,1172
2022-03-30,1131,1172
2022-03-31,1182,1172
2022-04-01,1193,1172
2022-04-02,1284,1172
2022-04-03,1058,1172
2022-04-04,1134,1172
2022-04-05,1248,1172
2022-04-06,1100,1172
2022-04-07,1208,1172
2022-04-08,1271,1172
2022-04-09,1340,1172
2022-04-10,1048,1172
2022-04-11,1051,1172
2022-04-12,1327,1172
2022-04-13,1366,1172
2022-04-14,1245,1172
2022-04-15,185,1172
2022-04-16,79,1172
2022-04-17,1051,1172
2022-04-18,991,1172
2022-04-19,821,1172
2022-04-20,2379,1172
2022-04-21,1666,1172
2022-04-22,1604,1172
2022-04-23,1351,1172
2022-04-24,1046,1172
2022-04-25,1013,1172
2022-04-26,1224.9000000001,1172
2022-04-27,1436.8000000001,1172
2022-04-28,1179.7200000001,1172
2022-04-29,1400.5200000001,1172
2022-04-30,1308.3799999999,1172
2022-05-01,1078.78,1172
2022-05-02,850.75000000006,1172
2022-05-03,607.17000000004,1172
2022-05-04,1750.6299999999,1172
2022-05-05,1499.1099999999,1172
2022-05-06,1342.38,1172
2022-05-07,1318.02,1172
2022-05-08,1002.3499999999,1172
2022-05-09,876.99000000022,1172
2022-05-10,1745.3499999998,1172
2022-05-11,1205.8599999998,1172
2022-05-12,1326.4600000003,1172
2022-05-13,1337.3599999998,1172
2022-05-14,1300.2100000001,1172
2022-05-15,1014.0100000001,1172
2022-05-16,858.20000000001,1172
2022-05-17,1602.9499999999,1172
2022-05-18,973.08999999997,1172
2022-05-19,1599.7800000003,1172
2022-05-20,1460.0999999999,1172
2022-05-21,1384.9799999999,1172
2022-05-22,1020.5100000001,1172
2022-05-23,838.4800000001,1172
2022-05-24,1685.06,1172
2022-05-25,1370.5099999998,1172
2022-05-26,1211.4500000001,1172
2022-05-27,1246.7600000001,1172
2022-05-28,1321.4,1172
2022-05-29,988.11999999994,1172
2022-05-30,839.98999999999,1172
2022-05-31,1599.72,1172
2022-06-01,-303.65999999997,1172
2022-06-02,-82.050000000047,1172
2022-06-03,4041.4400000002,1172
2022-06-04,1260.85,1172
2022-06-05,1007.7,1172
2022-06-06,812.63,1172
2022-06-07,1276.4099999998,1172
2022-06-08,1143.23,1172
2022-06-09,1188.21,1172
2022-06-10,1315.5600000001,1172
2022-06-11,1340.5599999999,1172
2022-06-12,979.93000000005,1172
2022-06-13,787.4599999999,1172
2022-06-14,1592.8300000001,1172
2022-06-15,1305.0999999999,1172
2022-06-16,1137.3800000001,1172
2022-06-17,1236.1699999999,1172
2022-06-18,1452.03,1172
2022-06-19,980.23999999993,1172
2022-06-20,855.74000000017,1172
2022-06-21,1977.1299999999,1172
2022-06-22,1533.5000000001,1172
2022-06-23,1334.4199999999,1172
2022-06-24,1449.6299999999,1172
2022-06-25,0,1172
2022-06-26,0,1172
2022-06-27,0,1172
2022-06-28,0,1172
2022-06-29,5537.9100000001,1172
2022-06-30,1183.2999999998,1172
2022-07-01,1504.2200000002,1172
2022-07-02,1263.9999999999,1172
2022-07-03,983.39000000007,1172
2022-07-04,841.12,1172
2022-07-06,1922.3600000002,1172
2022-07-07,1499.2,1172
2022-07-08,1282.8199999999,1172
2022-07-09,1509.8500000001,1172
2022-07-10,893.81999999989,1172
2022-07-11,644.12000000005,1172
2022-07-12,2009.2999999999,1172
2022-07-13,1527.1100000001,1172
2022-07-14,1535.8299999999,1172
2022-07-15,1394.4799999999,1172
2022-07-16,1723.79,1172
2022-07-17,914.22000000003,1172
2022-07-18,651.08999999997,1172
2022-07-19,2457.2900000002,1172
2022-07-20,2069.2,1172
2022-07-21,1850.7499999999,1172
2022-07-22,1648.6800000002,1172
2022-07-23,1834.7399999998,1172
2022-07-24,883.62,1172
2022-07-25,668.44000000006,1172
2022-07-26,1522.3199999999,1172
2022-07-27,1842.6,1172
2022-07-28,1918.2500000002,1172
2022-07-29,1590.7499999998,1172
2022-07-30,1527.17,1172
2022-07-31,902.52999999991,1172
2022-08-01,632.13000000012,1172
2022-08-02,2212.68,1172
2022-08-03,1582.74,1172
2022-08-04,1679.0799999998,1172
2022-08-05,1200.8699999999,1172
2022-08-06,1437.8199999999,1172
2022-08-07,891.37999999995,1172
2022-08-08,629.13000000012,1172
2022-08-09,2138.3600000002,1172
2022-08-10,1556.1800000001,1172
2022-08-11,1217.6799999999,1172
2022-08-12,1319.66,1172
2022-08-13,1492.6600000001,1172
2022-08-14,879.07000000007,1172
2022-08-15,633.02999999997,1172
2022-08-16,-437.85000000009,1172
2022-08-17,2319.1099999999,1172
2022-08-18,1982.0100000002,1172
2022-08-19,1507.27,1172
2022-08-20,1331.9800000002,1172
2022-08-21,888.91999999993,1172
2022-08-22,638.29000000004,1172
2022-08-23,1976.2999999999,1172
2022-08-24,1240.9100000001,1172
2022-08-25,1338.0699999997,1172
2022-08-26,1252.3400000001,1172
2022-08-27,1236.4699999999,1172
2022-08-28,876.80000000005,1172
2022-08-29,655.78999999998,1172
2022-08-30,1883.5700000001,1172
2022-08-31,1117.2599999998,1172
2022-09-01,1230.22,1172
2022-09-02,1042.2899999999,1172
2022-09-03,1200.6900000002,1172
2022-09-04,900.44,1172
2022-09-05,609.60000000009,1172
2022-09-06,1705.8500000001,1172
2022-09-07,1030.45,1172
2022-09-08,1119.2099999998,1172
2022-09-09,920.88000000012,1172
2022-09-10,1207.6499999998,1172
