pooled;;0to14;zscore;2020-13;1.64
pooled;;0to14;zscore;2020-14;0.47
pooled;;0to14;zscore;2020-15;0.09
pooled;;0to14;zscore;2020-16;-0.55
pooled;;0to14;zscore;2020-17;-1.01
pooled;;0to14;zscore;2020-18;0.23
pooled;;0to14;zscore;2020-19;-0.13
pooled;;0to14;zscore;2020-20;0.23
pooled;;0to14;zscore;2020-21;-0.62
pooled;;0to14;zscore;2020-22;-0.66
pooled;;0to14;zscore;2020-23;-0.52
pooled;;0to14;zscore;2020-24;-0.88
pooled;;0to14;zscore;2020-25;-0.04
pooled;;0to14;zscore;2020-26;0.97
pooled;;0to14;zscore;2020-27;-0.68
pooled;;0to14;zscore;2020-28;-1.32
pooled;;0to14;zscore;2020-29;-0.33
pooled;;0to14;zscore;2020-30;2.86
pooled;;0to14;zscore;2020-31;0.35
pooled;;0to14;zscore;2020-32;-0.34
pooled;;0to14;zscore;2020-33;0.2
pooled;;0to14;zscore;2020-34;-0.68
pooled;;0to14;zscore;2020-35;-1.34
pooled;;0to14;zscore;2020-36;-2.68
pooled;;0to14;nbc;2016-45;287
pooled;;0to14;nbc;2016-46;278
pooled;;0to14;nbc;2016-47;269
pooled;;0to14;nbc;2016-48;311
pooled;;0to14;nbc;2016-49;312
pooled;;0to14;nbc;2016-50;292
pooled;;0to14;nbc;2016-51;309
pooled;;0to14;nbc;2016-52;318
pooled;;0to14;nbc;2017-01;297
pooled;;0to14;nbc;2017-02;289
pooled;;0to14;nbc;2017-03;280
pooled;;0to14;nbc;2017-04;299
pooled;;0to14;nbc;2017-05;321
pooled;;0to14;nbc;2017-06;307
pooled;;0to14;nbc;2017-07;288
pooled;;0to14;nbc;2017-08;279
pooled;;0to14;nbc;2017-09;298
pooled;;0to14;nbc;2017-10;314
pooled;;0to14;nbc;2017-11;289
pooled;;0to14;nbc;2017-12;257
pooled;;0to14;nbc;2017-13;276
pooled;;0to14;nbc;2017-14;287
pooled;;0to14;nbc;2017-15;318
pooled;;0to14;nbc;2017-16;291
pooled;;0to14;nbc;2017-17;295
pooled;;0to14;nbc;2017-18;294
pooled;;0to14;nbc;2017-19;264
pooled;;0to14;nbc;2017-20;273
pooled;;0to14;nbc;2017-21;266
pooled;;0to14;nbc;2017-22;279
pooled;;0to14;nbc;2017-23;302
pooled;;0to14;nbc;2017-24;339
pooled;;0to14;nbc;2017-25;264
pooled;;0to14;nbc;2017-26;304
pooled;;0to14;nbc;2017-27;305
pooled;;0to14;nbc;2017-28;276
pooled;;0to14;nbc;2017-29;296
pooled;;0to14;nbc;2017-30;275
pooled;;0to14;nbc;2017-31;281
pooled;;0to14;nbc;2017-32;273
pooled;;0to14;nbc;2017-33;273
pooled;;0to14;nbc;2017-34;256
pooled;;0to14;nbc;2017-35;292
pooled;;0to14;nbc;2017-36;255
pooled;;0to14;nbc;2017-37;268
pooled;;0to14;nbc;2017-38;282
pooled;;0to14;nbc;2017-39;282
pooled;;0to14;nbc;2017-40;287
pooled;;0to14;nbc;2017-41;284
pooled;;0to14;nbc;2017-42;280
pooled;;0to14;nbc;2017-43;273
pooled;;0to14;nbc;2017-44;274
pooled;;0to14;nbc;2017-45;259
pooled;;0to14;nbc;2017-46;314
pooled;;0to14;nbc;2017-47;319
pooled;;0to14;nbc;2017-48;267
pooled;;0to14;nbc;2017-49;287
pooled;;0to14;nbc;2017-50;321
pooled;;0to14;nbc;2017-51;290
pooled;;0to14;nbc;2017-52;325
pooled;;0to14;nbc;2018-01;274
pooled;;0to14;nbc;2018-02;319
pooled;;0to14;nbc;2018-03;260
pooled;;0to14;nbc;2018-04;262
pooled;;0to14;nbc;2018-05;263
pooled;;0to14;nbc;2018-06;290
pooled;;0to14;nbc;2018-07;278
pooled;;0to14;nbc;2018-08;272
pooled;;0to14;nbc;2018-09;289
pooled;;0to14;nbc;2018-10;279
pooled;;0to14;nbc;2018-11;275
pooled;;0to14;nbc;2018-12;283
pooled;;0to14;nbc;2018-13;304
pooled;;0to14;nbc;2018-14;281
pooled;;0to14;nbc;2018-15;290
pooled;;0to14;nbc;2018-16;290
pooled;;0to14;nbc;2018-17;253
pooled;;0to14;nbc;2018-18;259
pooled;;0to14;nbc;2018-19;264
pooled;;0to14;nbc;2018-20;270
pooled;;0to14;nbc;2018-21;268
pooled;;0to14;nbc;2018-22;249
pooled;;0to14;nbc;2018-23;286
pooled;;0to14;nbc;2018-24;273
pooled;;0to14;nbc;2018-25;251
pooled;;0to14;nbc;2018-26;266
pooled;;0to14;nbc;2018-27;306
pooled;;0to14;nbc;2018-28;288
pooled;;0to14;nbc;2018-29;268
pooled;;0to14;nbc;2018-30;275
pooled;;0to14;nbc;2018-31;281
pooled;;0to14;nbc;2018-32;301
pooled;;0to14;nbc;2018-33;261
pooled;;0to14;nbc;2018-34;288
pooled;;0to14;nbc;2018-35;255
pooled;;0to14;nbc;2018-36;241
pooled;;0to14;nbc;2018-37;308
pooled;;0to14;nbc;2018-38;314
pooled;;0to14;nbc;2018-39;263
pooled;;0to14;nbc;2018-40;267
pooled;;0to14;nbc;2018-41;291
pooled;;0to14;nbc;2018-42;299
pooled;;0to14;nbc;2018-43;253
pooled;;0to14;nbc;2018-44;267
pooled;;0to14;nbc;2018-45;303
pooled;;0to14;nbc;2018-46;292
pooled;;0to14;nbc;2018-47;279
pooled;;0to14;nbc;2018-48;279
pooled;;0to14;nbc;2018-49;291
pooled;;0to14;nbc;2018-50;294
