Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Jaén;65-69;30.648
Ambos sexos;Jaén;70-74;27.159
Ambos sexos;Jaén;75-79;23.744
Ambos sexos;Jaén;80-84;19.269
Ambos sexos;Jaén;85-89;15.337
Ambos sexos;Jaén;90-94;6.307
Ambos sexos;Jaén;95-99;1.344
Ambos sexos;Jaén;100 y más;174
Ambos sexos;Málaga;Total;1.685.414
Ambos sexos;Málaga;0-4;73.288
Ambos sexos;Málaga;5-9;88.852
Ambos sexos;Málaga;10-14;97.163
Ambos sexos;Málaga;15-19;89.022
Ambos sexos;Málaga;20-24;84.032
Ambos sexos;Málaga;25-29;91.666
Ambos sexos;Málaga;30-34;104.527
Ambos sexos;Málaga;35-39;127.919
Ambos sexos;Málaga;40-44;143.742
Ambos sexos;Málaga;45-49;139.474
Ambos sexos;Málaga;50-54;131.116
Ambos sexos;Málaga;55-59;118.633
Ambos sexos;Málaga;60-64;101.073
Ambos sexos;Málaga;65-69;84.225
Ambos sexos;Málaga;70-74;77.781
Ambos sexos;Málaga;75-79;57.509
Ambos sexos;Málaga;80-84;39.076
Ambos sexos;Málaga;85-89;24.257
Ambos sexos;Málaga;90-94;9.170
Ambos sexos;Málaga;95-99;2.197
Ambos sexos;Málaga;100 y más;692
Ambos sexos;Sevilla;Total;1.949.436
Ambos sexos;Sevilla;0-4;89.080
Ambos sexos;Sevilla;5-9;107.006
Ambos sexos;Sevilla;10-14;120.283
Ambos sexos;Sevilla;15-19;107.606
Ambos sexos;Sevilla;20-24;100.984
Ambos sexos;Sevilla;25-29;109.822
Ambos sexos;Sevilla;30-34;116.330
Ambos sexos;Sevilla;35-39;142.804
Ambos sexos;Sevilla;40-44;168.170
Ambos sexos;Sevilla;45-49;161.721
Ambos sexos;Sevilla;50-54;152.468
Ambos sexos;Sevilla;55-59;135.215
Ambos sexos;Sevilla;60-64;111.462
Ambos sexos;Sevilla;65-69;90.711
Ambos sexos;Sevilla;70-74;82.182
Ambos sexos;Sevilla;75-79;64.972
Ambos sexos;Sevilla;80-84;44.346
Ambos sexos;Sevilla;85-89;29.884
Ambos sexos;Sevilla;90-94;11.254
Ambos sexos;Sevilla;95-99;2.534
Ambos sexos;Sevilla;100 y más;602
Ambos sexos;ARAGÓN;Total;1.328.753
Ambos sexos;ARAGÓN;0-4;53.921
