Sexo;Edad (grupos quinquenales);Tipo de establecimiento colectivo;Total
Hombre;60-64;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.415
Hombre;60-64;Instituciones religiosas;201
Hombre;60-64;Instituciones militares;52
Hombre;60-64;Instituciones penitenciarias;1.250
Hombre;60-64;Otros tipos de establecimientos colectivos;891
Hombre;65-69;Total;8.318
Hombre;65-69;Instituciones sanitarias;541
Hombre;65-69;Residencias de personas mayores;5.608
Hombre;65-69;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;665
Hombre;65-69;Instituciones religiosas;205
Hombre;65-69;Instituciones militares;1
Hombre;65-69;Instituciones penitenciarias;425
Hombre;65-69;Otros tipos de establecimientos colectivos;873
Hombre;70-74;Total;9.922
Hombre;70-74;Instituciones sanitarias;747
Hombre;70-74;Residencias de personas mayores;7.889
Hombre;70-74;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;353
Hombre;70-74;Instituciones religiosas;268
Hombre;70-74;Instituciones militares;1
Hombre;70-74;Instituciones penitenciarias;189
Hombre;70-74;Otros tipos de establecimientos colectivos;475
Hombre;75-79;Total;16.754
Hombre;75-79;Instituciones sanitarias;829
Hombre;75-79;Residencias de personas mayores;14.701
Hombre;75-79;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;195
Hombre;75-79;Instituciones religiosas;388
Hombre;75-79;Instituciones militares;12
Hombre;75-79;Instituciones penitenciarias;66
Hombre;75-79;Otros tipos de establecimientos colectivos;563
Hombre;80-84;Total;20.978
Hombre;80-84;Instituciones sanitarias;584
Hombre;80-84;Residencias de personas mayores;19.316
Hombre;80-84;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;167
Hombre;80-84;Instituciones religiosas;374
Hombre;80-84;Instituciones militares;..
Hombre;80-84;Instituciones penitenciarias;65
Hombre;80-84;Otros tipos de establecimientos colectivos;472
Hombre;85-89;Total;21.015
Hombre;85-89;Instituciones sanitarias;404
Hombre;85-89;Residencias de personas mayores;19.982
Hombre;85-89;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;72
Hombre;85-89;Instituciones religiosas;215
Hombre;85-89;Instituciones militares;..
Hombre;85-89;Instituciones penitenciarias;31
Hombre;85-89;Otros tipos de establecimientos colectivos;312
Hombre;90-94;Total;9.182
Hombre;90-94;Instituciones sanitarias;186
Hombre;90-94;Residencias de personas mayores;8.770
Hombre;90-94;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;20
Hombre;90-94;Instituciones religiosas;81
Hombre;90-94;Instituciones militares;..
Hombre;90-94;Instituciones penitenciarias;..
Hombre;90-94;Otros tipos de establecimientos colectivos;125
Hombre;95-99;Total;2.637
Hombre;95-99;Instituciones sanitarias;111
Hombre;95-99;Residencias de personas mayores;2.475
Hombre;95-99;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2
Hombre;95-99;Instituciones religiosas;17
Hombre;95-99;Instituciones militares;..
Hombre;95-99;Instituciones penitenciarias;..
Hombre;95-99;Otros tipos de establecimientos colectivos;32
Hombre;100 y más;Total;326
Hombre;100 y más;Instituciones sanitarias;3
Hombre;100 y más;Residencias de personas mayores;307
Hombre;100 y más;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;..
Hombre;100 y más;Instituciones religiosas;8
Hombre;100 y más;Instituciones militares;..
Hombre;100 y más;Instituciones penitenciarias;..
Hombre;100 y más;Otros tipos de establecimientos colectivos;8
Mujer;Total;Total;239.666
Mujer;Total;Instituciones sanitarias;6.556
Mujer;Total;Residencias de personas mayores;185.373
Mujer;Total;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;16.115
Mujer;Total;Instituciones religiosas;15.225
Mujer;Total;Instituciones militares;3.457
Mujer;Total;Instituciones penitenciarias;5.060
Mujer;Total;Otros tipos de establecimientos colectivos;7.879
Mujer;0-4;Total;243
Mujer;0-4;Instituciones sanitarias;..
Mujer;0-4;Residencias de personas mayores;..
Mujer;0-4;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;169
Mujer;0-4;Instituciones religiosas;..
Mujer;0-4;Instituciones militares;..
Mujer;0-4;Instituciones penitenciarias;..
Mujer;0-4;Otros tipos de establecimientos colectivos;74
Mujer;5-9;Total;319
Mujer;5-9;Instituciones sanitarias;..
Mujer;5-9;Residencias de personas mayores;..
Mujer;5-9;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;250
Mujer;5-9;Instituciones religiosas;..
Mujer;5-9;Instituciones militares;..
Mujer;5-9;Instituciones penitenciarias;..
Mujer;5-9;Otros tipos de establecimientos colectivos;68
Mujer;10-14;Total;582
Mujer;10-14;Instituciones sanitarias;..
Mujer;10-14;Residencias de personas mayores;..
Mujer;10-14;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;504
Mujer;10-14;Instituciones religiosas;..
Mujer;10-14;Instituciones militares;..
Mujer;10-14;Instituciones penitenciarias;..
Mujer;10-14;Otros tipos de establecimientos colectivos;78
Mujer;15-19;Total;1.028
Mujer;15-19;Instituciones sanitarias;8
Mujer;15-19;Residencias de personas mayores;..
Mujer;15-19;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;629
Mujer;15-19;Instituciones religiosas;49
Mujer;15-19;Instituciones militares;7
Mujer;15-19;Instituciones penitenciarias;32
Mujer;15-19;Otros tipos de establecimientos colectivos;304
Mujer;20-24;Total;2.367
Mujer;20-24;Instituciones sanitarias;1
Mujer;20-24;Residencias de personas mayores;..
Mujer;20-24;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;390
Mujer;20-24;Instituciones religiosas;411
Mujer;20-24;Instituciones militares;699
Mujer;20-24;Instituciones penitenciarias;456
Mujer;20-24;Otros tipos de establecimientos colectivos;409
Mujer;25-29;Total;3.709
Mujer;25-29;Instituciones sanitarias;93
Mujer;25-29;Residencias de personas mayores;..
Mujer;25-29;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;714
Mujer;25-29;Instituciones religiosas;514
Mujer;25-29;Instituciones militares;1.270
Mujer;25-29;Instituciones penitenciarias;638
Mujer;25-29;Otros tipos de establecimientos colectivos;480
Mujer;30-34;Total;4.222
Mujer;30-34;Instituciones sanitarias;74
Mujer;30-34;Residencias de personas mayores;..
Mujer;30-34;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.083
Mujer;30-34;Instituciones religiosas;651
Mujer;30-34;Instituciones militares;1.016
Mujer;30-34;Instituciones penitenciarias;1.021
Mujer;30-34;Otros tipos de establecimientos colectivos;377
Mujer;35-39;Total;4.309
Mujer;35-39;Instituciones sanitarias;190
Mujer;35-39;Residencias de personas mayores;..
Mujer;35-39;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.559
Mujer;35-39;Instituciones religiosas;887
Mujer;35-39;Instituciones militares;372
Mujer;35-39;Instituciones penitenciarias;904
Mujer;35-39;Otros tipos de establecimientos colectivos;398
Mujer;40-44;Total;4.085
Mujer;40-44;Instituciones sanitarias;349
Mujer;40-44;Residencias de personas mayores;..
Mujer;40-44;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.782
Mujer;40-44;Instituciones religiosas;709
Mujer;40-44;Instituciones militares;17
Mujer;40-44;Instituciones penitenciarias;816
Mujer;40-44;Otros tipos de establecimientos colectivos;412
Mujer;45-49;Total;4.316
Mujer;45-49;Instituciones sanitarias;422
Mujer;45-49;Residencias de personas mayores;..
Mujer;45-49;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.968
