Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;Aragón;39 años;296
Ambos sexos;Aragón;40 años;162
Ambos sexos;Aragón;41 años;179
Ambos sexos;Aragón;42 años;147
Ambos sexos;Aragón;43 años;79
Ambos sexos;Aragón;44 años;147
Ambos sexos;Aragón;45 años;93
Ambos sexos;Aragón;46 años;69
Ambos sexos;Aragón;47 años;163
Ambos sexos;Aragón;48 años;130
Ambos sexos;Aragón;49 años;124
Ambos sexos;Aragón;50 años;132
Ambos sexos;Aragón;51 años;141
Ambos sexos;Aragón;52 años;78
Ambos sexos;Aragón;53 años;163
Ambos sexos;Aragón;54 años;131
Ambos sexos;Aragón;55 años;120
Ambos sexos;Aragón;56 años;87
Ambos sexos;Aragón;57 años;180
Ambos sexos;Aragón;58 años;151
Ambos sexos;Aragón;59 años;125
Ambos sexos;Aragón;60 años;135
Ambos sexos;Aragón;61 años;64
Ambos sexos;Aragón;62 años;140
Ambos sexos;Aragón;63 años;100
Ambos sexos;Aragón;64 años;139
Ambos sexos;Aragón;65 años;103
Ambos sexos;Aragón;66 años;104
Ambos sexos;Aragón;67 años;134
Ambos sexos;Aragón;68 años;146
Ambos sexos;Aragón;69 años;124
Ambos sexos;Aragón;70 años;158
Ambos sexos;Aragón;71 años;164
Ambos sexos;Aragón;72 años;117
Ambos sexos;Aragón;73 años;219
Ambos sexos;Aragón;74 años;253
Ambos sexos;Aragón;75 años;331
Ambos sexos;Aragón;76 años;316
Ambos sexos;Aragón;77 años;447
Ambos sexos;Aragón;78 años;429
Ambos sexos;Aragón;79 años;625
Ambos sexos;Aragón;80 años;597
Ambos sexos;Aragón;81 años;610
Ambos sexos;Aragón;82 años;677
Ambos sexos;Aragón;83 años;686
Ambos sexos;Aragón;84 años;815
Ambos sexos;Aragón;85 años;862
Ambos sexos;Aragón;86 años;859
Ambos sexos;Aragón;87 años;923
Ambos sexos;Aragón;88 años;822
Ambos sexos;Aragón;89 años;836
Ambos sexos;Aragón;90 años;645
Ambos sexos;Aragón;91 años;695
Ambos sexos;Aragón;92 años;451
Ambos sexos;Aragón;93 años;358
Ambos sexos;Aragón;94 años;276
Ambos sexos;Aragón;95 años;219
Ambos sexos;Aragón;96 años;163
Ambos sexos;Aragón;97 años;118
Ambos sexos;Aragón;98 años;126
Ambos sexos;Aragón;99 años;104
Ambos sexos;Aragón;100 y más años;102
Ambos sexos;Asturias, Principado de;Total;10.421
Ambos sexos;Asturias, Principado de;0 años;..
Ambos sexos;Asturias, Principado de;1 año;..
Ambos sexos;Asturias, Principado de;2 años;..
Ambos sexos;Asturias, Principado de;3 años;2
Ambos sexos;Asturias, Principado de;4 años;8
Ambos sexos;Asturias, Principado de;5 años;4
Ambos sexos;Asturias, Principado de;6 años;6
Ambos sexos;Asturias, Principado de;7 años;7
Ambos sexos;Asturias, Principado de;8 años;6
Ambos sexos;Asturias, Principado de;9 años;7
Ambos sexos;Asturias, Principado de;10 años;16
Ambos sexos;Asturias, Principado de;11 años;8
Ambos sexos;Asturias, Principado de;12 años;5
