Comunidades autónomas;Tipo de dato;Periodo;Total
Total Nacional;Dato base;2017SM01;10.726
Total Nacional;Dato base;2016SM52;9.855
Total Nacional;Dato base;2016SM51;8.980
Total Nacional;Dato base;2016SM50;8.612
Total Nacional;Dato base;2016SM49;8.124
Total Nacional;Dato base;2016SM48;8.321
Total Nacional;Dato base;2016SM47;8.090
Total Nacional;Dato base;2016SM46;8.076
Total Nacional;Dato base;2016SM45;7.775
Total Nacional;Dato base;2016SM44;7.244
Total Nacional;Dato base;2016SM43;7.512
Total Nacional;Dato base;2016SM42;7.185
Total Nacional;Dato base;2016SM41;7.036
Total Nacional;Dato base;2016SM40;7.072
Total Nacional;Dato base;2016SM39;7.036
Total Nacional;Dato base;2016SM38;6.956
Total Nacional;Dato base;2016SM37;6.641
Total Nacional;Dato base;2016SM36;7.203
Total Nacional;Dato base;2016SM35;7.100
Total Nacional;Dato base;2016SM34;7.184
Total Nacional;Dato base;2016SM33;7.102
Total Nacional;Dato base;2016SM32;7.233
Total Nacional;Dato base;2016SM31;7.425
Total Nacional;Dato base;2016SM30;7.295
Total Nacional;Dato base;2016SM29;7.377
Total Nacional;Dato base;2016SM28;7.423
Total Nacional;Dato base;2016SM27;7.505
Total Nacional;Dato base;2016SM26;7.345
Total Nacional;Dato base;2016SM25;7.173
Total Nacional;Dato base;2016SM24;7.140
Total Nacional;Dato base;2016SM23;7.576
Total Nacional;Dato base;2016SM22;7.255
Total Nacional;Dato base;2016SM21;7.304
Total Nacional;Dato base;2016SM20;7.533
Total Nacional;Dato base;2016SM19;7.374
Total Nacional;Dato base;2016SM18;7.606
Total Nacional;Dato base;2016SM17;7.462
Total Nacional;Dato base;2016SM16;7.589
Total Nacional;Dato base;2016SM15;7.859
Total Nacional;Dato base;2016SM14;7.998
Total Nacional;Dato base;2016SM13;8.375
Total Nacional;Dato base;2016SM12;8.291
Total Nacional;Dato base;2016SM11;8.811
Total Nacional;Dato base;2016SM10;8.653
Total Nacional;Dato base;2016SM09;8.645
Total Nacional;Dato base;2016SM08;8.670
Total Nacional;Dato base;2016SM07;8.479
Total Nacional;Dato base;2016SM06;8.556
Total Nacional;Dato base;2016SM05;8.461
Total Nacional;Dato base;2016SM04;8.491
Total Nacional;Dato base;2016SM03;8.791
Total Nacional;Dato base;2016SM02;8.671
Total Nacional;Dato base;2016SM01;8.658
Total Nacional;Dato base;2015SM53;8.427
Total Nacional;Dato base;2015SM52;8.031
Total Nacional;Dato base;2015SM51;8.342
Total Nacional;Dato base;2015SM50;8.032
Total Nacional;Dato base;2015SM49;8.080
Total Nacional;Dato base;2015SM48;7.849
Total Nacional;Dato base;2015SM47;7.397
Total Nacional;Dato base;2015SM46;7.325
Total Nacional;Dato base;2015SM45;7.412
Total Nacional;Dato base;2015SM44;7.392
Total Nacional;Dato base;2015SM43;7.267
Total Nacional;Dato base;2015SM42;7.119
Total Nacional;Dato base;2015SM41;7.055
Total Nacional;Dato base;2015SM40;6.813
Total Nacional;Dato base;2015SM39;6.898
Total Nacional;Dato base;2015SM38;6.617
Total Nacional;Dato base;2015SM37;6.660
Total Nacional;Dato base;2015SM36;6.603
Total Nacional;Dato base;2015SM35;6.954
Total Nacional;Dato base;2015SM34;6.801
Total Nacional;Dato base;2015SM33;7.075
Total Nacional;Dato base;2015SM32;7.219
Total Nacional;Dato base;2015SM31;7.349
Total Nacional;Dato base;2015SM30;7.798
Total Nacional;Dato base;2015SM29;8.164
Total Nacional;Dato base;2015SM28;8.351
Total Nacional;Dato base;2015SM27;8.146
Total Nacional;Dato base;2015SM26;7.111
Total Nacional;Dato base;2015SM25;6.956
Total Nacional;Dato base;2015SM24;7.152
Total Nacional;Dato base;2015SM23;7.364
Total Nacional;Dato base;2015SM22;7.096
Total Nacional;Dato base;2015SM21;7.234
Total Nacional;Dato base;2015SM20;7.543
Total Nacional;Dato base;2015SM19;7.464
Total Nacional;Dato base;2015SM18;7.365
Total Nacional;Dato base;2015SM17;7.802
Total Nacional;Dato base;2015SM16;7.855
Total Nacional;Dato base;2015SM15;7.894
Total Nacional;Dato base;2015SM14;8.282
Total Nacional;Dato base;2015SM13;8.366
Total Nacional;Dato base;2015SM12;8.379
Total Nacional;Dato base;2015SM11;8.785
Total Nacional;Dato base;2015SM10;9.421
Total Nacional;Dato base;2015SM09;10.058
Total Nacional;Dato base;2015SM08;10.580
Total Nacional;Dato base;2015SM07;10.857
Total Nacional;Dato base;2015SM06;10.682
Total Nacional;Dato base;2015SM05;11.046
Total Nacional;Dato base;2015SM04;10.625
Total Nacional;Dato base;2015SM03;10.738
Total Nacional;Dato base;2015SM02;10.415
Total Nacional;Dato base;2015SM01;9.605
Total Nacional;Dato base;2014SM52;8.535
Total Nacional;Dato base;2014SM51;8.245
Total Nacional;Dato base;2014SM50;7.990
Total Nacional;Dato base;2014SM49;7.645
Total Nacional;Dato base;2014SM48;7.729
Total Nacional;Dato base;2014SM47;7.628
Total Nacional;Dato base;2014SM46;7.604
