Comunidades autónomas;Tipo de dato;Periodo;Total
10 Comunitat Valenciana;Dato base;2002SM08;963
10 Comunitat Valenciana;Dato base;2002SM07;882
10 Comunitat Valenciana;Dato base;2002SM06;985
10 Comunitat Valenciana;Dato base;2002SM05;946
10 Comunitat Valenciana;Dato base;2002SM04;910
10 Comunitat Valenciana;Dato base;2002SM03;906
10 Comunitat Valenciana;Dato base;2002SM02;841
10 Comunitat Valenciana;Dato base;2002SM01;959
10 Comunitat Valenciana;Dato base;2001SM52;893
10 Comunitat Valenciana;Dato base;2001SM51;873
10 Comunitat Valenciana;Dato base;2001SM50;800
10 Comunitat Valenciana;Dato base;2001SM49;763
10 Comunitat Valenciana;Dato base;2001SM48;797
10 Comunitat Valenciana;Dato base;2001SM47;775
10 Comunitat Valenciana;Dato base;2001SM46;818
10 Comunitat Valenciana;Dato base;2001SM45;682
10 Comunitat Valenciana;Dato base;2001SM44;594
10 Comunitat Valenciana;Dato base;2001SM43;665
10 Comunitat Valenciana;Dato base;2001SM42;618
10 Comunitat Valenciana;Dato base;2001SM41;649
10 Comunitat Valenciana;Dato base;2001SM40;681
10 Comunitat Valenciana;Dato base;2001SM39;617
10 Comunitat Valenciana;Dato base;2001SM38;623
10 Comunitat Valenciana;Dato base;2001SM37;659
10 Comunitat Valenciana;Dato base;2001SM36;608
10 Comunitat Valenciana;Dato base;2001SM35;646
10 Comunitat Valenciana;Dato base;2001SM34;684
10 Comunitat Valenciana;Dato base;2001SM33;689
10 Comunitat Valenciana;Dato base;2001SM32;732
10 Comunitat Valenciana;Dato base;2001SM31;738
10 Comunitat Valenciana;Dato base;2001SM30;649
10 Comunitat Valenciana;Dato base;2001SM29;652
10 Comunitat Valenciana;Dato base;2001SM28;748
10 Comunitat Valenciana;Dato base;2001SM27;715
10 Comunitat Valenciana;Dato base;2001SM26;736
10 Comunitat Valenciana;Dato base;2001SM25;655
10 Comunitat Valenciana;Dato base;2001SM24;624
10 Comunitat Valenciana;Dato base;2001SM23;611
10 Comunitat Valenciana;Dato base;2001SM22;690
10 Comunitat Valenciana;Dato base;2001SM21;681
10 Comunitat Valenciana;Dato base;2001SM20;705
10 Comunitat Valenciana;Dato base;2001SM19;678
10 Comunitat Valenciana;Dato base;2001SM18;663
10 Comunitat Valenciana;Dato base;2001SM17;760
10 Comunitat Valenciana;Dato base;2001SM16;660
10 Comunitat Valenciana;Dato base;2001SM15;715
10 Comunitat Valenciana;Dato base;2001SM14;770
10 Comunitat Valenciana;Dato base;2001SM13;686
10 Comunitat Valenciana;Dato base;2001SM12;747
10 Comunitat Valenciana;Dato base;2001SM11;735
10 Comunitat Valenciana;Dato base;2001SM10;816
10 Comunitat Valenciana;Dato base;2001SM09;809
10 Comunitat Valenciana;Dato base;2001SM08;707
10 Comunitat Valenciana;Dato base;2001SM07;776
10 Comunitat Valenciana;Dato base;2001SM06;748
10 Comunitat Valenciana;Dato base;2001SM05;722
10 Comunitat Valenciana;Dato base;2001SM04;813
10 Comunitat Valenciana;Dato base;2001SM03;750
10 Comunitat Valenciana;Dato base;2001SM02;771
10 Comunitat Valenciana;Dato base;2001SM01;738
10 Comunitat Valenciana;Dato base;2000SM52;725
10 Comunitat Valenciana;Dato base;2000SM51;728
10 Comunitat Valenciana;Dato base;2000SM50;727
10 Comunitat Valenciana;Dato base;2000SM49;706
10 Comunitat Valenciana;Dato base;2000SM48;710
10 Comunitat Valenciana;Dato base;2000SM47;754
10 Comunitat Valenciana;Dato base;2000SM46;690
10 Comunitat Valenciana;Dato base;2000SM45;697
10 Comunitat Valenciana;Dato base;2000SM44;656
10 Comunitat Valenciana;Dato base;2000SM43;647
10 Comunitat Valenciana;Dato base;2000SM42;640
10 Comunitat Valenciana;Dato base;2000SM41;650
10 Comunitat Valenciana;Dato base;2000SM40;658
10 Comunitat Valenciana;Dato base;2000SM39;639
10 Comunitat Valenciana;Dato base;2000SM38;588
10 Comunitat Valenciana;Dato base;2000SM37;604
10 Comunitat Valenciana;Dato base;2000SM36;575
10 Comunitat Valenciana;Dato base;2000SM35;613
10 Comunitat Valenciana;Dato base;2000SM34;702
10 Comunitat Valenciana;Dato base;2000SM33;697
10 Comunitat Valenciana;Dato base;2000SM32;616
10 Comunitat Valenciana;Dato base;2000SM31;667
10 Comunitat Valenciana;Dato base;2000SM30;656
10 Comunitat Valenciana;Dato base;2000SM29;640
10 Comunitat Valenciana;Dato base;2000SM28;668
10 Comunitat Valenciana;Dato base;2000SM27;680
10 Comunitat Valenciana;Dato base;2000SM26;616
10 Comunitat Valenciana;Dato base;2000SM25;611
10 Comunitat Valenciana;Dato base;2000SM24;700
10 Comunitat Valenciana;Dato base;2000SM23;629
10 Comunitat Valenciana;Dato base;2000SM22;698
10 Comunitat Valenciana;Dato base;2000SM21;657
10 Comunitat Valenciana;Dato base;2000SM20;654
10 Comunitat Valenciana;Dato base;2000SM19;601
10 Comunitat Valenciana;Dato base;2000SM18;618
10 Comunitat Valenciana;Dato base;2000SM17;628
10 Comunitat Valenciana;Dato base;2000SM16;702
10 Comunitat Valenciana;Dato base;2000SM15;690
10 Comunitat Valenciana;Dato base;2000SM14;721
10 Comunitat Valenciana;Dato base;2000SM13;693
10 Comunitat Valenciana;Dato base;2000SM12;690
10 Comunitat Valenciana;Dato base;2000SM11;677
10 Comunitat Valenciana;Dato base;2000SM10;683
10 Comunitat Valenciana;Dato base;2000SM09;696
10 Comunitat Valenciana;Dato base;2000SM08;702
10 Comunitat Valenciana;Dato base;2000SM07;797
10 Comunitat Valenciana;Dato base;2000SM06;824
10 Comunitat Valenciana;Dato base;2000SM05;939
10 Comunitat Valenciana;Dato base;2000SM04;1.015
10 Comunitat Valenciana;Dato base;2000SM03;894
10 Comunitat Valenciana;Dato base;2000SM02;946
10 Comunitat Valenciana;Dato base;2000SM01;905
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM41;37.778
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM40;36.995
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM39;36.172
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM38;35.326
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM37;34.490
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM36;33.684
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM35;32.790
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM34;31.891
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM33;30.979
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM32;30.042
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM31;29.087
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM30;28.120
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM29;27.315
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM28;26.490
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM27;25.621
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM26;24.774
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM25;24.000
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM24;23.206
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM23;22.413
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM22;21.615
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM21;20.860
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM20;20.043
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM19;19.302
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM18;18.416
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM17;17.509
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM16;16.634
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM15;15.619
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM14;14.411
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM13;13.064
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM12;11.757
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM11;10.738
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM10;9.822
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM09;8.882
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM08;7.976
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM07;7.043
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM06;6.142
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM05;5.145
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM04;4.075
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM03;2.992
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM02;1.870
10 Comunitat Valenciana;Acumulado en lo que va de año;2020SM01;890
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM52;43.910
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM51;43.035
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM50;42.152
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM49;41.301
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM48;40.479
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM47;39.571
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM46;38.688
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM45;37.876
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM44;37.025
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM43;36.220
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM42;35.429
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM41;34.673
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM40;33.904
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM39;33.135
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM38;32.343
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM37;31.586
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM36;30.874
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM35;30.089
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM34;29.347
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM33;28.610
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM32;27.831
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM31;27.032
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM30;26.267
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM29;25.524
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM28;24.748
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM27;23.908
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM26;23.096
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM25;22.299
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM24;21.550
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM23;20.871
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM22;20.086
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM21;19.304
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM20;18.514
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM19;17.752
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM18;16.943
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM17;16.143
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM16;15.334
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM15;14.518
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM14;13.633
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM13;12.761
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM12;11.894
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM11;11.031
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM10;10.171
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM09;9.192
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM08;8.216
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM07;7.241
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM06;6.266
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM05;5.268
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM04;4.180
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM03;3.105
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM02;2.011
10 Comunitat Valenciana;Acumulado en lo que va de año;2019SM01;984
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM52;45.217
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM51;44.289
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM50;43.393
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM49;42.507
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM48;41.621
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM47;40.786
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM46;39.959
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM45;39.123
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM44;38.275
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM43;37.464
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM42;36.685
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM41;35.925
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM40;35.140
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM39;34.353
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM38;33.585
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM37;32.832
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM36;32.109
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM35;31.424
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM34;30.704
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM33;29.977
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM32;29.230
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM31;28.362
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM30;27.523
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM29;26.747
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM28;25.897
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM27;25.125
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM26;24.311
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM25;23.499
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM24;22.698
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM23;21.979
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM22;21.232
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM21;20.458
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM20;19.668
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM19;18.874
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM18;18.087
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM17;17.357
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM16;16.514
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM15;15.661
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM14;14.827
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM13;13.929
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM12;13.023
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM11;12.116
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM10;11.174
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM09;10.189
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM08;9.089
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM07;8.059
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM06;6.917
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM05;5.838
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM04;4.707
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM03;3.534
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM02;2.313
10 Comunitat Valenciana;Acumulado en lo que va de año;2018SM01;1.188
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM52;44.644
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM51;43.497
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM50;42.427
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM49;41.423
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM48;40.502
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM47;39.630
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM46;38.758
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM45;37.855
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM44;37.046
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM43;36.280
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM42;35.527
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM41;34.728
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM40;34.003
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM39;33.224
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM38;32.414
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM37;31.681
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM36;30.942
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM35;30.226
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM34;29.494
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM33;28.752
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM32;28.001
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM31;27.174
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM30;26.298
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM29;25.483
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM28;24.725
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM27;23.945
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM26;23.166
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM25;22.412
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM24;21.618
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM23;20.786
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM22;20.034
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM21;19.285
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM20;18.483
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM19;17.706
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM18;16.881
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM17;16.106
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM16;15.298
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM15;14.535
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM14;13.724
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM13;12.905
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM12;12.093
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM11;11.264
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM10;10.456
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM09;9.577
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM08;8.670
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM07;7.718
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM06;6.754
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM05;5.693
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM04;4.592
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM03;3.408
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM02;2.231
10 Comunitat Valenciana;Acumulado en lo que va de año;2017SM01;1.067
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM52;42.475
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM51;41.427
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM50;40.476
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM49;39.592
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM48;38.731
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM47;37.871
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM46;37.009
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM45;36.109
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM44;35.293
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM43;34.563
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM42;33.791
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM41;33.047
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM40;32.331
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM39;31.612
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM38;30.893
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM37;30.167
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM36;29.484
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM35;28.707
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM34;27.964
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM33;27.238
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM32;26.546
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM31;25.747
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM30;24.932
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM29;24.117
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM28;23.398
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM27;22.645
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM26;21.842
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM25;21.062
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM24;20.380
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM23;19.624
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM22;18.829
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM21;18.065
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM20;17.280
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM19;16.492
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM18;15.733
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM17;15.008
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM16;14.227
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM15;13.450
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM14;12.653
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM13;11.780
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM12;10.877
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM11;9.923
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM10;8.948
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM09;8.035
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM08;7.136
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM07;6.263
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM06;5.387
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM05;4.484
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM04;3.576
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM03;2.660
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM02;1.779
10 Comunitat Valenciana;Acumulado en lo que va de año;2016SM01;900
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM53;45.147
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM52;44.231
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM51;43.366
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM50;42.519
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM49;41.669
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM48;40.794
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM47;39.937
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM46;39.156
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM45;38.419
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM44;37.629
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM43;36.881
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM42;36.108
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM41;35.363
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM40;34.638
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM39;33.951
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM38;33.241
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM37;32.469
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM36;31.757
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM35;31.031
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM34;30.262
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM33;29.513
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM32;28.777
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM31;27.964
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM30;27.123
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM29;26.293
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM28;25.441
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM27;24.643
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM26;23.817
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM25;23.133
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM24;22.414
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM23;21.620
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM22;20.867
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM21;20.155
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM20;19.403
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM19;18.530
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM18;17.698
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM17;16.897
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM16;16.026
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM15;15.211
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM14;14.449
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM13;13.625
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM12;12.796
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM11;11.904
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM10;10.988
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM09;10.057
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM08;8.957
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM07;7.786
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM06;6.640
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM05;5.507
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM04;4.309
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM03;3.220
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM02;2.093
10 Comunitat Valenciana;Acumulado en lo que va de año;2015SM01;1.012
10 Comunitat Valenciana;Acumulado en lo que va de año;2014SM52;41.388
10 Comunitat Valenciana;Acumulado en lo que va de año;2014SM51;40.488
10 Comunitat Valenciana;Acumulado en lo que va de año;2014SM50;39.668
10 Comunitat Valenciana;Acumulado en lo que va de año;2014SM49;38.826
10 Comunitat Valenciana;Acumulado en lo que va de año;2014SM48;38.048
