Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
GALICIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;1.078
GALICIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;1.086
GALICIA;Instituciones religiosas o militares;Ambos sexos;1.277
GALICIA;Instituciones religiosas o militares;Hombre;595
GALICIA;Instituciones religiosas o militares;Mujer;682
GALICIA;Otros tipos de establecimientos colectivos;Ambos sexos;4.220
GALICIA;Otros tipos de establecimientos colectivos;Hombre;3.747
GALICIA;Otros tipos de establecimientos colectivos;Mujer;473
Coruña, A;Total;Ambos sexos;7.605
Coruña, A;Total;Hombre;3.517
Coruña, A;Total;Mujer;4.088
Coruña, A;Instituciones sanitarias;Ambos sexos;..
Coruña, A;Instituciones sanitarias;Hombre;..
Coruña, A;Instituciones sanitarias;Mujer;..
Coruña, A;Residencias de personas mayores;Ambos sexos;4.665
Coruña, A;Residencias de personas mayores;Hombre;1.291
Coruña, A;Residencias de personas mayores;Mujer;3.374
Coruña, A;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;749
Coruña, A;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;430
Coruña, A;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;319
Coruña, A;Instituciones religiosas o militares;Ambos sexos;495
Coruña, A;Instituciones religiosas o militares;Hombre;247
Coruña, A;Instituciones religiosas o militares;Mujer;248
Coruña, A;Otros tipos de establecimientos colectivos;Ambos sexos;1.697
Coruña, A;Otros tipos de establecimientos colectivos;Hombre;1.549
Coruña, A;Otros tipos de establecimientos colectivos;Mujer;147
Lugo;Total;Ambos sexos;3.841
Lugo;Total;Hombre;1.779
Lugo;Total;Mujer;2.062
Lugo;Instituciones sanitarias;Ambos sexos;..
Lugo;Instituciones sanitarias;Hombre;..
Lugo;Instituciones sanitarias;Mujer;..
Lugo;Residencias de personas mayores;Ambos sexos;2.693
Lugo;Residencias de personas mayores;Hombre;985
Lugo;Residencias de personas mayores;Mujer;1.707
Lugo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;452
Lugo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;281
Lugo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;171
Lugo;Instituciones religiosas o militares;Ambos sexos;195
Lugo;Instituciones religiosas o militares;Hombre;41
Lugo;Instituciones religiosas o militares;Mujer;154
Lugo;Otros tipos de establecimientos colectivos;Ambos sexos;500
Lugo;Otros tipos de establecimientos colectivos;Hombre;471
Lugo;Otros tipos de establecimientos colectivos;Mujer;29
Ourense;Total;Ambos sexos;4.776
Ourense;Total;Hombre;1.908
Ourense;Total;Mujer;2.868
Ourense;Instituciones sanitarias;Ambos sexos;31
Ourense;Instituciones sanitarias;Hombre;17
Ourense;Instituciones sanitarias;Mujer;14
Ourense;Residencias de personas mayores;Ambos sexos;3.550
Ourense;Residencias de personas mayores;Hombre;1.247
Ourense;Residencias de personas mayores;Mujer;2.304
Ourense;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;564
Ourense;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;224
Ourense;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;339
Ourense;Instituciones religiosas o militares;Ambos sexos;164
Ourense;Instituciones religiosas o militares;Hombre;49
Ourense;Instituciones religiosas o militares;Mujer;114
Ourense;Otros tipos de establecimientos colectivos;Ambos sexos;467
Ourense;Otros tipos de establecimientos colectivos;Hombre;371
Ourense;Otros tipos de establecimientos colectivos;Mujer;96
Pontevedra;Total;Ambos sexos;5.815
Pontevedra;Total;Hombre;2.779
Pontevedra;Total;Mujer;3.035
Pontevedra;Instituciones sanitarias;Ambos sexos;81
Pontevedra;Instituciones sanitarias;Hombre;41
Pontevedra;Instituciones sanitarias;Mujer;41
Pontevedra;Residencias de personas mayores;Ambos sexos;3.355
Pontevedra;Residencias de personas mayores;Hombre;983
Pontevedra;Residencias de personas mayores;Mujer;2.372
Pontevedra;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;399
Pontevedra;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;142
Pontevedra;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;257
Pontevedra;Instituciones religiosas o militares;Ambos sexos;423
Pontevedra;Instituciones religiosas o militares;Hombre;258
Pontevedra;Instituciones religiosas o militares;Mujer;165
Pontevedra;Otros tipos de establecimientos colectivos;Ambos sexos;1.556
Pontevedra;Otros tipos de establecimientos colectivos;Hombre;1.356
Pontevedra;Otros tipos de establecimientos colectivos;Mujer;200
MADRID, COMUNIDAD DE;Total;Ambos sexos;62.491
MADRID, COMUNIDAD DE;Total;Hombre;27.047
MADRID, COMUNIDAD DE;Total;Mujer;35.444
MADRID, COMUNIDAD DE;Instituciones sanitarias;Ambos sexos;1.633
MADRID, COMUNIDAD DE;Instituciones sanitarias;Hombre;1.165
MADRID, COMUNIDAD DE;Instituciones sanitarias;Mujer;468
MADRID, COMUNIDAD DE;Residencias de personas mayores;Ambos sexos;37.887
MADRID, COMUNIDAD DE;Residencias de personas mayores;Hombre;10.389
MADRID, COMUNIDAD DE;Residencias de personas mayores;Mujer;27.498
MADRID, COMUNIDAD DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;5.235
MADRID, COMUNIDAD DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;2.880
MADRID, COMUNIDAD DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;2.355
MADRID, COMUNIDAD DE;Instituciones religiosas o militares;Ambos sexos;8.252
MADRID, COMUNIDAD DE;Instituciones religiosas o militares;Hombre;5.059
MADRID, COMUNIDAD DE;Instituciones religiosas o militares;Mujer;3.193
MADRID, COMUNIDAD DE;Otros tipos de establecimientos colectivos;Ambos sexos;9.483
MADRID, COMUNIDAD DE;Otros tipos de establecimientos colectivos;Hombre;7.554
MADRID, COMUNIDAD DE;Otros tipos de establecimientos colectivos;Mujer;1.930
MURCIA, REGIÓN DE;Total;Ambos sexos;7.852
MURCIA, REGIÓN DE;Total;Hombre;4.357
MURCIA, REGIÓN DE;Total;Mujer;3.495
MURCIA, REGIÓN DE;Instituciones sanitarias;Ambos sexos;399
MURCIA, REGIÓN DE;Instituciones sanitarias;Hombre;203
MURCIA, REGIÓN DE;Instituciones sanitarias;Mujer;196
MURCIA, REGIÓN DE;Residencias de personas mayores;Ambos sexos;3.589
MURCIA, REGIÓN DE;Residencias de personas mayores;Hombre;1.186
MURCIA, REGIÓN DE;Residencias de personas mayores;Mujer;2.404
MURCIA, REGIÓN DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;913
MURCIA, REGIÓN DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;595
MURCIA, REGIÓN DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;317
MURCIA, REGIÓN DE;Instituciones religiosas o militares;Ambos sexos;1.045
MURCIA, REGIÓN DE;Instituciones religiosas o militares;Hombre;733
MURCIA, REGIÓN DE;Instituciones religiosas o militares;Mujer;312
MURCIA, REGIÓN DE;Otros tipos de establecimientos colectivos;Ambos sexos;1.906
MURCIA, REGIÓN DE;Otros tipos de establecimientos colectivos;Hombre;1.640
MURCIA, REGIÓN DE;Otros tipos de establecimientos colectivos;Mujer;266
NAVARRA, COMUNIDAD FORAL DE;Total;Ambos sexos;7.903
NAVARRA, COMUNIDAD FORAL DE;Total;Hombre;3.039
NAVARRA, COMUNIDAD FORAL DE;Total;Mujer;4.864
NAVARRA, COMUNIDAD FORAL DE;Instituciones sanitarias;Ambos sexos;445
NAVARRA, COMUNIDAD FORAL DE;Instituciones sanitarias;Hombre;201
NAVARRA, COMUNIDAD FORAL DE;Instituciones sanitarias;Mujer;243
NAVARRA, COMUNIDAD FORAL DE;Residencias de personas mayores;Ambos sexos;5.119
NAVARRA, COMUNIDAD FORAL DE;Residencias de personas mayores;Hombre;1.709
NAVARRA, COMUNIDAD FORAL DE;Residencias de personas mayores;Mujer;3.410
NAVARRA, COMUNIDAD FORAL DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;747
NAVARRA, COMUNIDAD FORAL DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;386
NAVARRA, COMUNIDAD FORAL DE;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;361
NAVARRA, COMUNIDAD FORAL DE;Instituciones religiosas o militares;Ambos sexos;1.050
NAVARRA, COMUNIDAD FORAL DE;Instituciones religiosas o militares;Hombre;434
NAVARRA, COMUNIDAD FORAL DE;Instituciones religiosas o militares;Mujer;616
NAVARRA, COMUNIDAD FORAL DE;Otros tipos de establecimientos colectivos;Ambos sexos;543
NAVARRA, COMUNIDAD FORAL DE;Otros tipos de establecimientos colectivos;Hombre;309
NAVARRA, COMUNIDAD FORAL DE;Otros tipos de establecimientos colectivos;Mujer;235
PAÍS VASCO;Total;Ambos sexos;21.798
PAÍS VASCO;Total;Hombre;8.988
PAÍS VASCO;Total;Mujer;12.810
PAÍS VASCO;Instituciones sanitarias;Ambos sexos;1.222
PAÍS VASCO;Instituciones sanitarias;Hombre;642
PAÍS VASCO;Instituciones sanitarias;Mujer;580
PAÍS VASCO;Residencias de personas mayores;Ambos sexos;14.422
PAÍS VASCO;Residencias de personas mayores;Hombre;4.481
PAÍS VASCO;Residencias de personas mayores;Mujer;9.941
PAÍS VASCO;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.837
PAÍS VASCO;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;1.132
PAÍS VASCO;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;705
PAÍS VASCO;Instituciones religiosas o militares;Ambos sexos;2.000
PAÍS VASCO;Instituciones religiosas o militares;Hombre;975
PAÍS VASCO;Instituciones religiosas o militares;Mujer;1.026
PAÍS VASCO;Otros tipos de establecimientos colectivos;Ambos sexos;2.317
PAÍS VASCO;Otros tipos de establecimientos colectivos;Hombre;1.758
PAÍS VASCO;Otros tipos de establecimientos colectivos;Mujer;559
Araba/Álava;Total;Ambos sexos;4.022
Araba/Álava;Total;Hombre;1.994
Araba/Álava;Total;Mujer;2.029
Araba/Álava;Instituciones sanitarias;Ambos sexos;189
Araba/Álava;Instituciones sanitarias;Hombre;100
Araba/Álava;Instituciones sanitarias;Mujer;90
Araba/Álava;Residencias de personas mayores;Ambos sexos;1.991
Araba/Álava;Residencias de personas mayores;Hombre;655
Araba/Álava;Residencias de personas mayores;Mujer;1.336
Araba/Álava;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;390
Araba/Álava;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;251
Araba/Álava;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;139
Araba/Álava;Instituciones religiosas o militares;Ambos sexos;533
Araba/Álava;Instituciones religiosas o militares;Hombre;241
Araba/Álava;Instituciones religiosas o militares;Mujer;292
Araba/Álava;Otros tipos de establecimientos colectivos;Ambos sexos;918
Araba/Álava;Otros tipos de establecimientos colectivos;Hombre;747
Araba/Álava;Otros tipos de establecimientos colectivos;Mujer;172
Bizkaia;Total;Ambos sexos;10.503
Bizkaia;Total;Hombre;4.067
Bizkaia;Total;Mujer;6.436
Bizkaia;Instituciones sanitarias;Ambos sexos;213
Bizkaia;Instituciones sanitarias;Hombre;93
Bizkaia;Instituciones sanitarias;Mujer;120
Bizkaia;Residencias de personas mayores;Ambos sexos;7.885
Bizkaia;Residencias de personas mayores;Hombre;2.360
Bizkaia;Residencias de personas mayores;Mujer;5.526
Bizkaia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;944
Bizkaia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;620
Bizkaia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;324
Bizkaia;Instituciones religiosas o militares;Ambos sexos;617
Bizkaia;Instituciones religiosas o militares;Hombre;334
Bizkaia;Instituciones religiosas o militares;Mujer;283
Bizkaia;Otros tipos de establecimientos colectivos;Ambos sexos;844
Bizkaia;Otros tipos de establecimientos colectivos;Hombre;660
Bizkaia;Otros tipos de establecimientos colectivos;Mujer;184
Gipuzkoa;Total;Ambos sexos;7.273
Gipuzkoa;Total;Hombre;2.927
Gipuzkoa;Total;Mujer;4.346
Gipuzkoa;Instituciones sanitarias;Ambos sexos;819
Gipuzkoa;Instituciones sanitarias;Hombre;449
Gipuzkoa;Instituciones sanitarias;Mujer;370
Gipuzkoa;Residencias de personas mayores;Ambos sexos;4.546
Gipuzkoa;Residencias de personas mayores;Hombre;1.467
Gipuzkoa;Residencias de personas mayores;Mujer;3.079
Gipuzkoa;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;503
Gipuzkoa;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;260
Gipuzkoa;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;243
Gipuzkoa;Instituciones religiosas o militares;Ambos sexos;850
Gipuzkoa;Instituciones religiosas o militares;Hombre;400
Gipuzkoa;Instituciones religiosas o militares;Mujer;451
Gipuzkoa;Otros tipos de establecimientos colectivos;Ambos sexos;555
Gipuzkoa;Otros tipos de establecimientos colectivos;Hombre;351
Gipuzkoa;Otros tipos de establecimientos colectivos;Mujer;203
RIOJA, LA;Total;Ambos sexos;3.598
RIOJA, LA;Total;Hombre;1.555
RIOJA, LA;Total;Mujer;2.043
RIOJA, LA;Instituciones sanitarias;Ambos sexos;107
RIOJA, LA;Instituciones sanitarias;Hombre;91
RIOJA, LA;Instituciones sanitarias;Mujer;16
RIOJA, LA;Residencias de personas mayores;Ambos sexos;2.503
RIOJA, LA;Residencias de personas mayores;Hombre;862
RIOJA, LA;Residencias de personas mayores;Mujer;1.641
RIOJA, LA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;253
RIOJA, LA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;136
RIOJA, LA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;117
RIOJA, LA;Instituciones religiosas o militares;Ambos sexos;329
RIOJA, LA;Instituciones religiosas o militares;Hombre;87
RIOJA, LA;Instituciones religiosas o militares;Mujer;242
RIOJA, LA;Otros tipos de establecimientos colectivos;Ambos sexos;406
RIOJA, LA;Otros tipos de establecimientos colectivos;Hombre;379
RIOJA, LA;Otros tipos de establecimientos colectivos;Mujer;27
Ceuta;Total;Ambos sexos;723
Ceuta;Total;Hombre;558
Ceuta;Total;Mujer;165
Ceuta;Instituciones sanitarias;Ambos sexos;..
Ceuta;Instituciones sanitarias;Hombre;..
Ceuta;Instituciones sanitarias;Mujer;..
Ceuta;Residencias de personas mayores;Ambos sexos;177
Ceuta;Residencias de personas mayores;Hombre;66
Ceuta;Residencias de personas mayores;Mujer;110
Ceuta;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;..
Ceuta;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;..
Ceuta;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;..
Ceuta;Instituciones religiosas o militares;Ambos sexos;530
Ceuta;Instituciones religiosas o militares;Hombre;480
Ceuta;Instituciones religiosas o militares;Mujer;50
Ceuta;Otros tipos de establecimientos colectivos;Ambos sexos;16
Ceuta;Otros tipos de establecimientos colectivos;Hombre;11
Ceuta;Otros tipos de establecimientos colectivos;Mujer;5
Melilla;Total;Ambos sexos;1.001
Melilla;Total;Hombre;701
Melilla;Total;Mujer;300
Melilla;Instituciones sanitarias;Ambos sexos;..
Melilla;Instituciones sanitarias;Hombre;..
Melilla;Instituciones sanitarias;Mujer;..
Melilla;Residencias de personas mayores;Ambos sexos;300
Melilla;Residencias de personas mayores;Hombre;87
Melilla;Residencias de personas mayores;Mujer;213
Melilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;119
Melilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;71
Melilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;48
Melilla;Instituciones religiosas o militares;Ambos sexos;242
Melilla;Instituciones religiosas o militares;Hombre;206
Melilla;Instituciones religiosas o militares;Mujer;36
Melilla;Otros tipos de establecimientos colectivos;Ambos sexos;339
Melilla;Otros tipos de establecimientos colectivos;Hombre;337
Melilla;Otros tipos de establecimientos colectivos;Mujer;2
