Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
Huelva;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;132
Huelva;Instituciones religiosas o militares;Ambos sexos;160
Huelva;Instituciones religiosas o militares;Hombre;55
Huelva;Instituciones religiosas o militares;Mujer;105
Huelva;Otros tipos de establecimientos colectivos;Ambos sexos;1.606
Huelva;Otros tipos de establecimientos colectivos;Hombre;1.430
Huelva;Otros tipos de establecimientos colectivos;Mujer;176
Jaén;Total;Ambos sexos;4.711
Jaén;Total;Hombre;2.106
Jaén;Total;Mujer;2.606
Jaén;Instituciones sanitarias;Ambos sexos;..
Jaén;Instituciones sanitarias;Hombre;..
Jaén;Instituciones sanitarias;Mujer;..
Jaén;Residencias de personas mayores;Ambos sexos;3.175
Jaén;Residencias de personas mayores;Hombre;1.182
Jaén;Residencias de personas mayores;Mujer;1.993
Jaén;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;496
Jaén;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;297
Jaén;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;199
Jaén;Instituciones religiosas o militares;Ambos sexos;341
Jaén;Instituciones religiosas o militares;Hombre;43
Jaén;Instituciones religiosas o militares;Mujer;299
Jaén;Otros tipos de establecimientos colectivos;Ambos sexos;700
Jaén;Otros tipos de establecimientos colectivos;Hombre;585
Jaén;Otros tipos de establecimientos colectivos;Mujer;115
Málaga;Total;Ambos sexos;7.827
Málaga;Total;Hombre;3.736
Málaga;Total;Mujer;4.091
Málaga;Instituciones sanitarias;Ambos sexos;484
Málaga;Instituciones sanitarias;Hombre;391
Málaga;Instituciones sanitarias;Mujer;92
Málaga;Residencias de personas mayores;Ambos sexos;4.014
Málaga;Residencias de personas mayores;Hombre;1.292
Málaga;Residencias de personas mayores;Mujer;2.723
Málaga;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;976
Málaga;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;418
Málaga;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;558
Málaga;Instituciones religiosas o militares;Ambos sexos;538
Málaga;Instituciones religiosas o militares;Hombre;258
Málaga;Instituciones religiosas o militares;Mujer;280
Málaga;Otros tipos de establecimientos colectivos;Ambos sexos;1.814
Málaga;Otros tipos de establecimientos colectivos;Hombre;1.378
Málaga;Otros tipos de establecimientos colectivos;Mujer;437
Sevilla;Total;Ambos sexos;10.886
Sevilla;Total;Hombre;6.036
Sevilla;Total;Mujer;4.850
Sevilla;Instituciones sanitarias;Ambos sexos;255
Sevilla;Instituciones sanitarias;Hombre;244
Sevilla;Instituciones sanitarias;Mujer;11
Sevilla;Residencias de personas mayores;Ambos sexos;5.097
Sevilla;Residencias de personas mayores;Hombre;1.649
Sevilla;Residencias de personas mayores;Mujer;3.448
Sevilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;674
Sevilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;398
Sevilla;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;276
Sevilla;Instituciones religiosas o militares;Ambos sexos;1.661
Sevilla;Instituciones religiosas o militares;Hombre;832
Sevilla;Instituciones religiosas o militares;Mujer;829
Sevilla;Otros tipos de establecimientos colectivos;Ambos sexos;3.199
Sevilla;Otros tipos de establecimientos colectivos;Hombre;2.914
Sevilla;Otros tipos de establecimientos colectivos;Mujer;285
ARAGÓN;Total;Ambos sexos;23.071
ARAGÓN;Total;Hombre;11.187
ARAGÓN;Total;Mujer;11.884
ARAGÓN;Instituciones sanitarias;Ambos sexos;1.132
ARAGÓN;Instituciones sanitarias;Hombre;601
ARAGÓN;Instituciones sanitarias;Mujer;531
ARAGÓN;Residencias de personas mayores;Ambos sexos;13.312
ARAGÓN;Residencias de personas mayores;Hombre;4.593
ARAGÓN;Residencias de personas mayores;Mujer;8.719
ARAGÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.246
ARAGÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;634
ARAGÓN;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;612
ARAGÓN;Instituciones religiosas o militares;Ambos sexos;3.623
ARAGÓN;Instituciones religiosas o militares;Hombre;2.422
ARAGÓN;Instituciones religiosas o militares;Mujer;1.201
ARAGÓN;Otros tipos de establecimientos colectivos;Ambos sexos;3.757
ARAGÓN;Otros tipos de establecimientos colectivos;Hombre;2.937
ARAGÓN;Otros tipos de establecimientos colectivos;Mujer;820
Huesca;Total;Ambos sexos;4.563
Huesca;Total;Hombre;2.140
Huesca;Total;Mujer;2.423
Huesca;Instituciones sanitarias;Ambos sexos;120
Huesca;Instituciones sanitarias;Hombre;84
Huesca;Instituciones sanitarias;Mujer;36
Huesca;Residencias de personas mayores;Ambos sexos;2.850
Huesca;Residencias de personas mayores;Hombre;1.073
Huesca;Residencias de personas mayores;Mujer;1.777
Huesca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;348
Huesca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;192
Huesca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;156
Huesca;Instituciones religiosas o militares;Ambos sexos;626
Huesca;Instituciones religiosas o militares;Hombre;445
Huesca;Instituciones religiosas o militares;Mujer;181
Huesca;Otros tipos de establecimientos colectivos;Ambos sexos;618
Huesca;Otros tipos de establecimientos colectivos;Hombre;345
Huesca;Otros tipos de establecimientos colectivos;Mujer;273
Teruel;Total;Ambos sexos;2.708
Teruel;Total;Hombre;1.199
Teruel;Total;Mujer;1.509
Teruel;Instituciones sanitarias;Ambos sexos;145
Teruel;Instituciones sanitarias;Hombre;77
Teruel;Instituciones sanitarias;Mujer;69
Teruel;Residencias de personas mayores;Ambos sexos;2.036
Teruel;Residencias de personas mayores;Hombre;795
Teruel;Residencias de personas mayores;Mujer;1.241
Teruel;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;135
Teruel;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;42
Teruel;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;93
Teruel;Instituciones religiosas o militares;Ambos sexos;32
Teruel;Instituciones religiosas o militares;Hombre;..
Teruel;Instituciones religiosas o militares;Mujer;32
Teruel;Otros tipos de establecimientos colectivos;Ambos sexos;360
Teruel;Otros tipos de establecimientos colectivos;Hombre;286
Teruel;Otros tipos de establecimientos colectivos;Mujer;74
Zaragoza;Total;Ambos sexos;15.800
Zaragoza;Total;Hombre;7.848
Zaragoza;Total;Mujer;7.952
Zaragoza;Instituciones sanitarias;Ambos sexos;866
Zaragoza;Instituciones sanitarias;Hombre;440
Zaragoza;Instituciones sanitarias;Mujer;426
Zaragoza;Residencias de personas mayores;Ambos sexos;8.427
Zaragoza;Residencias de personas mayores;Hombre;2.726
Zaragoza;Residencias de personas mayores;Mujer;5.701
Zaragoza;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;764
