Provincias;Sexo;Periodo;Total
03 Alicante/Alacant;Mujeres;2013;6.931
03 Alicante/Alacant;Mujeres;2012;7.108
03 Alicante/Alacant;Mujeres;2011;6.714
03 Alicante/Alacant;Mujeres;2010;6.584
03 Alicante/Alacant;Mujeres;2009;6.395
03 Alicante/Alacant;Mujeres;2008;6.314
03 Alicante/Alacant;Mujeres;2007;6.295
03 Alicante/Alacant;Mujeres;2006;6.107
03 Alicante/Alacant;Mujeres;2005;6.326
03 Alicante/Alacant;Mujeres;2004;6.033
03 Alicante/Alacant;Mujeres;2003;6.297
03 Alicante/Alacant;Mujeres;2002;5.734
03 Alicante/Alacant;Mujeres;2001;5.715
03 Alicante/Alacant;Mujeres;2000;5.494
03 Alicante/Alacant;Mujeres;1999;5.591
03 Alicante/Alacant;Mujeres;1998;5.436
03 Alicante/Alacant;Mujeres;1997;5.233
03 Alicante/Alacant;Mujeres;1996;5.109
03 Alicante/Alacant;Mujeres;1995;5.034
03 Alicante/Alacant;Mujeres;1994;5.013
03 Alicante/Alacant;Mujeres;1993;5.042
03 Alicante/Alacant;Mujeres;1992;4.704
03 Alicante/Alacant;Mujeres;1991;4.796
03 Alicante/Alacant;Mujeres;1990;4.927
03 Alicante/Alacant;Mujeres;1989;4.914
03 Alicante/Alacant;Mujeres;1988;4.793
03 Alicante/Alacant;Mujeres;1987;4.463
03 Alicante/Alacant;Mujeres;1986;4.551
03 Alicante/Alacant;Mujeres;1985;4.301
03 Alicante/Alacant;Mujeres;1984;4.072
03 Alicante/Alacant;Mujeres;1983;4.410
03 Alicante/Alacant;Mujeres;1982;4.319
03 Alicante/Alacant;Mujeres;1981;4.294
03 Alicante/Alacant;Mujeres;1980;4.268
03 Alicante/Alacant;Mujeres;1979;4.305
03 Alicante/Alacant;Mujeres;1978;4.480
03 Alicante/Alacant;Mujeres;1977;4.231
03 Alicante/Alacant;Mujeres;1976;4.281
03 Alicante/Alacant;Mujeres;1975;4.268
04 Almería;Total;2018;5.543
04 Almería;Total;2017;5.206
04 Almería;Total;2016;4.969
04 Almería;Total;2015;5.307
04 Almería;Total;2014;4.764
04 Almería;Total;2013;4.737
04 Almería;Total;2012;4.948
04 Almería;Total;2011;4.759
04 Almería;Total;2010;4.579
04 Almería;Total;2009;4.598
04 Almería;Total;2008;4.609
04 Almería;Total;2007;4.663
04 Almería;Total;2006;4.358
04 Almería;Total;2005;4.574
04 Almería;Total;2004;4.350
04 Almería;Total;2003;4.390
04 Almería;Total;2002;4.300
04 Almería;Total;2001;4.081
04 Almería;Total;2000;3.960
04 Almería;Total;1999;4.118
