Provincias;Sexo;Periodo;Total
24 León;Mujeres;1999;2.458
24 León;Mujeres;1998;2.427
24 León;Mujeres;1997;2.278
24 León;Mujeres;1996;2.371
24 León;Mujeres;1995;2.435
24 León;Mujeres;1994;2.301
24 León;Mujeres;1993;2.227
24 León;Mujeres;1992;2.279
24 León;Mujeres;1991;2.295
24 León;Mujeres;1990;2.344
24 León;Mujeres;1989;2.212
24 León;Mujeres;1988;2.246
24 León;Mujeres;1987;2.195
24 León;Mujeres;1986;2.304
24 León;Mujeres;1985;2.300
24 León;Mujeres;1984;2.114
24 León;Mujeres;1983;2.348
24 León;Mujeres;1982;2.228
24 León;Mujeres;1981;2.295
24 León;Mujeres;1980;2.197
24 León;Mujeres;1979;2.223
24 León;Mujeres;1978;2.140
24 León;Mujeres;1977;2.293
24 León;Mujeres;1976;2.265
24 León;Mujeres;1975;2.233
25 Lleida;Total;2018;4.349
25 Lleida;Total;2017;4.318
25 Lleida;Total;2016;4.042
25 Lleida;Total;2015;4.404
25 Lleida;Total;2014;4.141
25 Lleida;Total;2013;4.075
25 Lleida;Total;2012;4.190
25 Lleida;Total;2011;4.184
25 Lleida;Total;2010;4.135
25 Lleida;Total;2009;4.126
25 Lleida;Total;2008;4.165
25 Lleida;Total;2007;4.138
25 Lleida;Total;2006;4.042
25 Lleida;Total;2005;4.371
25 Lleida;Total;2004;3.997
25 Lleida;Total;2003;4.216
25 Lleida;Total;2002;4.123
25 Lleida;Total;2001;3.837
25 Lleida;Total;2000;3.848
25 Lleida;Total;1999;3.997
25 Lleida;Total;1998;4.024
25 Lleida;Total;1997;3.940
25 Lleida;Total;1996;3.801
25 Lleida;Total;1995;3.867
25 Lleida;Total;1994;3.821
25 Lleida;Total;1993;3.730
25 Lleida;Total;1992;3.754
25 Lleida;Total;1991;3.753
25 Lleida;Total;1990;3.554
25 Lleida;Total;1989;3.509
25 Lleida;Total;1988;3.360
25 Lleida;Total;1987;3.309
25 Lleida;Total;1986;3.410
25 Lleida;Total;1985;3.491
25 Lleida;Total;1984;3.238
25 Lleida;Total;1983;3.297
25 Lleida;Total;1982;3.037
25 Lleida;Total;1981;3.033
25 Lleida;Total;1980;3.134
25 Lleida;Total;1979;3.327
25 Lleida;Total;1978;3.479
25 Lleida;Total;1977;3.429
25 Lleida;Total;1976;3.417
25 Lleida;Total;1975;3.508
25 Lleida;Hombres;2018;2.266
25 Lleida;Hombres;2017;2.157
25 Lleida;Hombres;2016;2.096
25 Lleida;Hombres;2015;2.198
25 Lleida;Hombres;2014;2.120
25 Lleida;Hombres;2013;2.129
25 Lleida;Hombres;2012;2.197
25 Lleida;Hombres;2011;2.181
25 Lleida;Hombres;2010;2.187
25 Lleida;Hombres;2009;2.151
25 Lleida;Hombres;2008;2.119
25 Lleida;Hombres;2007;2.157
25 Lleida;Hombres;2006;2.131
25 Lleida;Hombres;2005;2.287
25 Lleida;Hombres;2004;2.142
25 Lleida;Hombres;2003;2.247
25 Lleida;Hombres;2002;2.159
25 Lleida;Hombres;2001;2.126
25 Lleida;Hombres;2000;2.098
25 Lleida;Hombres;1999;2.171
25 Lleida;Hombres;1998;2.208
25 Lleida;Hombres;1997;2.171
25 Lleida;Hombres;1996;2.014
25 Lleida;Hombres;1995;2.129
25 Lleida;Hombres;1994;2.092
25 Lleida;Hombres;1993;2.053
25 Lleida;Hombres;1992;2.058
25 Lleida;Hombres;1991;2.079
25 Lleida;Hombres;1990;1.942
25 Lleida;Hombres;1989;1.936
25 Lleida;Hombres;1988;1.836
25 Lleida;Hombres;1987;1.801
25 Lleida;Hombres;1986;1.857
25 Lleida;Hombres;1985;1.860
25 Lleida;Hombres;1984;1.768
25 Lleida;Hombres;1983;1.799
25 Lleida;Hombres;1982;1.674
25 Lleida;Hombres;1981;1.662
25 Lleida;Hombres;1980;1.684
25 Lleida;Hombres;1979;1.844
25 Lleida;Hombres;1978;1.901
25 Lleida;Hombres;1977;1.877
25 Lleida;Hombres;1976;1.830
25 Lleida;Hombres;1975;1.846
25 Lleida;Mujeres;2018;2.083
25 Lleida;Mujeres;2017;2.161
25 Lleida;Mujeres;2016;1.946
25 Lleida;Mujeres;2015;2.206
25 Lleida;Mujeres;2014;2.021
25 Lleida;Mujeres;2013;1.946
25 Lleida;Mujeres;2012;1.993
25 Lleida;Mujeres;2011;2.003
25 Lleida;Mujeres;2010;1.948
25 Lleida;Mujeres;2009;1.975
25 Lleida;Mujeres;2008;2.046
25 Lleida;Mujeres;2007;1.981
25 Lleida;Mujeres;2006;1.911
25 Lleida;Mujeres;2005;2.084
25 Lleida;Mujeres;2004;1.855
25 Lleida;Mujeres;2003;1.969
25 Lleida;Mujeres;2002;1.964
25 Lleida;Mujeres;2001;1.711
25 Lleida;Mujeres;2000;1.750
25 Lleida;Mujeres;1999;1.826
25 Lleida;Mujeres;1998;1.816
25 Lleida;Mujeres;1997;1.769
25 Lleida;Mujeres;1996;1.787
25 Lleida;Mujeres;1995;1.738
25 Lleida;Mujeres;1994;1.729
25 Lleida;Mujeres;1993;1.677
25 Lleida;Mujeres;1992;1.696
25 Lleida;Mujeres;1991;1.674
25 Lleida;Mujeres;1990;1.612
25 Lleida;Mujeres;1989;1.573
25 Lleida;Mujeres;1988;1.524
25 Lleida;Mujeres;1987;1.508
25 Lleida;Mujeres;1986;1.553
25 Lleida;Mujeres;1985;1.631
25 Lleida;Mujeres;1984;1.470
25 Lleida;Mujeres;1983;1.498
25 Lleida;Mujeres;1982;1.363
25 Lleida;Mujeres;1981;1.371
25 Lleida;Mujeres;1980;1.450
25 Lleida;Mujeres;1979;1.483
25 Lleida;Mujeres;1978;1.578
25 Lleida;Mujeres;1977;1.552
25 Lleida;Mujeres;1976;1.587
25 Lleida;Mujeres;1975;1.662
27 Lugo;Total;2018;5.086
27 Lugo;Total;2017;5.174
27 Lugo;Total;2016;5.194
27 Lugo;Total;2015;5.126
27 Lugo;Total;2014;4.884
27 Lugo;Total;2013;4.941
27 Lugo;Total;2012;5.058
27 Lugo;Total;2011;4.819
27 Lugo;Total;2010;4.785
27 Lugo;Total;2009;4.975
27 Lugo;Total;2008;4.867
27 Lugo;Total;2007;4.898
27 Lugo;Total;2006;4.873
27 Lugo;Total;2005;4.832
27 Lugo;Total;2004;4.763
27 Lugo;Total;2003;5.066
27 Lugo;Total;2002;4.917
27 Lugo;Total;2001;4.953
27 Lugo;Total;2000;5.025
27 Lugo;Total;1999;5.139
27 Lugo;Total;1998;4.924
27 Lugo;Total;1997;4.946
27 Lugo;Total;1996;5.017
27 Lugo;Total;1995;5.037
27 Lugo;Total;1994;4.697
27 Lugo;Total;1993;4.665
27 Lugo;Total;1992;4.915
27 Lugo;Total;1991;5.080
27 Lugo;Total;1990;5.066
27 Lugo;Total;1989;4.932
27 Lugo;Total;1988;4.721
27 Lugo;Total;1987;4.566
27 Lugo;Total;1986;4.834
27 Lugo;Total;1985;4.934
27 Lugo;Total;1984;4.580
27 Lugo;Total;1983;4.864
27 Lugo;Total;1982;4.727
27 Lugo;Total;1981;4.732
27 Lugo;Total;1980;4.577
27 Lugo;Total;1979;4.808
27 Lugo;Total;1978;4.845
27 Lugo;Total;1977;4.927
27 Lugo;Total;1976;4.989
27 Lugo;Total;1975;4.957
27 Lugo;Hombres;2018;2.563
27 Lugo;Hombres;2017;2.570
27 Lugo;Hombres;2016;2.582
27 Lugo;Hombres;2015;2.600
27 Lugo;Hombres;2014;2.446
27 Lugo;Hombres;2013;2.540
27 Lugo;Hombres;2012;2.614
27 Lugo;Hombres;2011;2.462
27 Lugo;Hombres;2010;2.538
27 Lugo;Hombres;2009;2.584
27 Lugo;Hombres;2008;2.516
27 Lugo;Hombres;2007;2.536
27 Lugo;Hombres;2006;2.490
27 Lugo;Hombres;2005;2.542
27 Lugo;Hombres;2004;2.500
27 Lugo;Hombres;2003;2.633
27 Lugo;Hombres;2002;2.625
27 Lugo;Hombres;2001;2.604
27 Lugo;Hombres;2000;2.647
27 Lugo;Hombres;1999;2.681
27 Lugo;Hombres;1998;2.666
27 Lugo;Hombres;1997;2.601
27 Lugo;Hombres;1996;2.675
27 Lugo;Hombres;1995;2.660
27 Lugo;Hombres;1994;2.518
27 Lugo;Hombres;1993;2.512
27 Lugo;Hombres;1992;2.622
27 Lugo;Hombres;1991;2.720
27 Lugo;Hombres;1990;2.692
27 Lugo;Hombres;1989;2.578
27 Lugo;Hombres;1988;2.508
27 Lugo;Hombres;1987;2.444
27 Lugo;Hombres;1986;2.513
27 Lugo;Hombres;1985;2.597
27 Lugo;Hombres;1984;2.458
27 Lugo;Hombres;1983;2.541
27 Lugo;Hombres;1982;2.466
27 Lugo;Hombres;1981;2.485
27 Lugo;Hombres;1980;2.409
27 Lugo;Hombres;1979;2.532
27 Lugo;Hombres;1978;2.524
27 Lugo;Hombres;1977;2.551
27 Lugo;Hombres;1976;2.515
27 Lugo;Hombres;1975;2.569
27 Lugo;Mujeres;2018;2.523
27 Lugo;Mujeres;2017;2.604
27 Lugo;Mujeres;2016;2.612
27 Lugo;Mujeres;2015;2.526
27 Lugo;Mujeres;2014;2.438
27 Lugo;Mujeres;2013;2.401
27 Lugo;Mujeres;2012;2.444
27 Lugo;Mujeres;2011;2.357
27 Lugo;Mujeres;2010;2.247
27 Lugo;Mujeres;2009;2.391
27 Lugo;Mujeres;2008;2.351
27 Lugo;Mujeres;2007;2.362
27 Lugo;Mujeres;2006;2.383
27 Lugo;Mujeres;2005;2.290
27 Lugo;Mujeres;2004;2.263
27 Lugo;Mujeres;2003;2.433
27 Lugo;Mujeres;2002;2.292
27 Lugo;Mujeres;2001;2.349
27 Lugo;Mujeres;2000;2.378
27 Lugo;Mujeres;1999;2.458
27 Lugo;Mujeres;1998;2.258
27 Lugo;Mujeres;1997;2.345
27 Lugo;Mujeres;1996;2.342
27 Lugo;Mujeres;1995;2.377
27 Lugo;Mujeres;1994;2.179
27 Lugo;Mujeres;1993;2.153
27 Lugo;Mujeres;1992;2.293
27 Lugo;Mujeres;1991;2.360
27 Lugo;Mujeres;1990;2.374
27 Lugo;Mujeres;1989;2.354
27 Lugo;Mujeres;1988;2.213
27 Lugo;Mujeres;1987;2.122
27 Lugo;Mujeres;1986;2.321
27 Lugo;Mujeres;1985;2.337
27 Lugo;Mujeres;1984;2.122
27 Lugo;Mujeres;1983;2.323
27 Lugo;Mujeres;1982;2.261
27 Lugo;Mujeres;1981;2.247
27 Lugo;Mujeres;1980;2.168
27 Lugo;Mujeres;1979;2.276
27 Lugo;Mujeres;1978;2.321
27 Lugo;Mujeres;1977;2.376
27 Lugo;Mujeres;1976;2.474
27 Lugo;Mujeres;1975;2.388
28 Madrid;Total;2018;46.599
28 Madrid;Total;2017;47.069
28 Madrid;Total;2016;45.066
28 Madrid;Total;2015;46.859
28 Madrid;Total;2014;43.064
28 Madrid;Total;2013;42.393
28 Madrid;Total;2012;42.799
28 Madrid;Total;2011;41.614
28 Madrid;Total;2010;40.828
28 Madrid;Total;2009;41.268
28 Madrid;Total;2008;41.270
28 Madrid;Total;2007;41.393
28 Madrid;Total;2006;39.882
28 Madrid;Total;2005;40.842
28 Madrid;Total;2004;40.293
28 Madrid;Total;2003;41.429
28 Madrid;Total;2002;39.281
28 Madrid;Total;2001;38.558
28 Madrid;Total;2000;37.838
28 Madrid;Total;1999;38.082
28 Madrid;Total;1998;37.711
28 Madrid;Total;1997;35.693
28 Madrid;Total;1996;36.804
28 Madrid;Total;1995;36.446
28 Madrid;Total;1994;35.529
28 Madrid;Total;1993;35.564
28 Madrid;Total;1992;34.885
28 Madrid;Total;1991;35.832
28 Madrid;Total;1990;34.890
28 Madrid;Total;1989;33.124
28 Madrid;Total;1988;32.723
28 Madrid;Total;1987;31.408
28 Madrid;Total;1986;30.045
28 Madrid;Total;1985;31.598
28 Madrid;Total;1984;30.108
28 Madrid;Total;1983;30.337
28 Madrid;Total;1982;28.532
28 Madrid;Total;1981;30.144
28 Madrid;Total;1980;28.070
28 Madrid;Total;1979;27.760
28 Madrid;Total;1978;28.235
28 Madrid;Total;1977;27.970
28 Madrid;Total;1976;28.093
28 Madrid;Total;1975;27.020
28 Madrid;Hombres;2018;22.795
28 Madrid;Hombres;2017;22.807
28 Madrid;Hombres;2016;22.056
28 Madrid;Hombres;2015;22.787
28 Madrid;Hombres;2014;21.135
28 Madrid;Hombres;2013;21.039
28 Madrid;Hombres;2012;20.970
28 Madrid;Hombres;2011;20.672
28 Madrid;Hombres;2010;20.367
28 Madrid;Hombres;2009;20.640
28 Madrid;Hombres;2008;20.865
28 Madrid;Hombres;2007;20.958
28 Madrid;Hombres;2006;20.274
28 Madrid;Hombres;2005;20.732
28 Madrid;Hombres;2004;20.419
28 Madrid;Hombres;2003;21.118
28 Madrid;Hombres;2002;20.252
28 Madrid;Hombres;2001;20.107
28 Madrid;Hombres;2000;19.615
28 Madrid;Hombres;1999;19.606
28 Madrid;Hombres;1998;19.622
28 Madrid;Hombres;1997;18.697
28 Madrid;Hombres;1996;19.368
28 Madrid;Hombres;1995;19.513
28 Madrid;Hombres;1994;18.891
28 Madrid;Hombres;1993;19.068
28 Madrid;Hombres;1992;18.704
28 Madrid;Hombres;1991;19.053
28 Madrid;Hombres;1990;18.481
28 Madrid;Hombres;1989;17.584
28 Madrid;Hombres;1988;17.266
28 Madrid;Hombres;1987;16.559
28 Madrid;Hombres;1986;15.653
28 Madrid;Hombres;1985;16.518
28 Madrid;Hombres;1984;15.847
28 Madrid;Hombres;1983;15.974
28 Madrid;Hombres;1982;15.032
28 Madrid;Hombres;1981;15.799
28 Madrid;Hombres;1980;14.738
28 Madrid;Hombres;1979;14.579
28 Madrid;Hombres;1978;14.702
28 Madrid;Hombres;1977;14.636
28 Madrid;Hombres;1976;14.524
28 Madrid;Hombres;1975;14.045
28 Madrid;Mujeres;2018;23.804
28 Madrid;Mujeres;2017;24.262
28 Madrid;Mujeres;2016;23.010
28 Madrid;Mujeres;2015;24.072
28 Madrid;Mujeres;2014;21.929
28 Madrid;Mujeres;2013;21.354
28 Madrid;Mujeres;2012;21.829
28 Madrid;Mujeres;2011;20.942
28 Madrid;Mujeres;2010;20.461
28 Madrid;Mujeres;2009;20.628
28 Madrid;Mujeres;2008;20.405
28 Madrid;Mujeres;2007;20.435
28 Madrid;Mujeres;2006;19.608
28 Madrid;Mujeres;2005;20.110
28 Madrid;Mujeres;2004;19.874
28 Madrid;Mujeres;2003;20.311
28 Madrid;Mujeres;2002;19.029
28 Madrid;Mujeres;2001;18.451
28 Madrid;Mujeres;2000;18.223
28 Madrid;Mujeres;1999;18.476
28 Madrid;Mujeres;1998;18.089
28 Madrid;Mujeres;1997;16.996
28 Madrid;Mujeres;1996;17.436
28 Madrid;Mujeres;1995;16.933
28 Madrid;Mujeres;1994;16.638
28 Madrid;Mujeres;1993;16.496
28 Madrid;Mujeres;1992;16.181
28 Madrid;Mujeres;1991;16.779
28 Madrid;Mujeres;1990;16.409
28 Madrid;Mujeres;1989;15.540
28 Madrid;Mujeres;1988;15.457
28 Madrid;Mujeres;1987;14.849
28 Madrid;Mujeres;1986;14.392
28 Madrid;Mujeres;1985;15.080
28 Madrid;Mujeres;1984;14.261
28 Madrid;Mujeres;1983;14.363
28 Madrid;Mujeres;1982;13.500
28 Madrid;Mujeres;1981;14.345
28 Madrid;Mujeres;1980;13.332
28 Madrid;Mujeres;1979;13.181
28 Madrid;Mujeres;1978;13.533
28 Madrid;Mujeres;1977;13.334
28 Madrid;Mujeres;1976;13.569
28 Madrid;Mujeres;1975;12.975
29 Málaga;Total;2018;13.323
29 Málaga;Total;2017;12.708
29 Málaga;Total;2016;12.547
29 Málaga;Total;2015;12.996
29 Málaga;Total;2014;12.227
29 Málaga;Total;2013;11.633
29 Málaga;Total;2012;12.025
29 Málaga;Total;2011;11.622
29 Málaga;Total;2010;11.455
29 Málaga;Total;2009;11.456
29 Málaga;Total;2008;11.821
29 Málaga;Total;2007;11.492
29 Málaga;Total;2006;11.186
29 Málaga;Total;2005;11.542
29 Málaga;Total;2004;10.852
29 Málaga;Total;2003;11.213
29 Málaga;Total;2002;10.407
29 Málaga;Total;2001;10.162
29 Málaga;Total;2000;10.229
29 Málaga;Total;1999;10.216
29 Málaga;Total;1998;10.101
29 Málaga;Total;1997;9.699
29 Málaga;Total;1996;9.851
29 Málaga;Total;1995;9.450
29 Málaga;Total;1994;9.448
29 Málaga;Total;1993;9.325
29 Málaga;Total;1992;8.954
29 Málaga;Total;1991;9.149
29 Málaga;Total;1990;8.957
29 Málaga;Total;1989;8.799
29 Málaga;Total;1988;8.576
29 Málaga;Total;1987;8.642
29 Málaga;Total;1986;8.314
29 Málaga;Total;1985;8.397
29 Málaga;Total;1984;8.022
29 Málaga;Total;1983;7.942
29 Málaga;Total;1982;7.794
29 Málaga;Total;1981;7.738
29 Málaga;Total;1980;7.561
29 Málaga;Total;1979;7.807
29 Málaga;Total;1978;7.785
29 Málaga;Total;1977;7.427
29 Málaga;Total;1976;7.746
29 Málaga;Total;1975;7.747
29 Málaga;Hombres;2018;6.958
29 Málaga;Hombres;2017;6.568
29 Málaga;Hombres;2016;6.542
29 Málaga;Hombres;2015;6.806
29 Málaga;Hombres;2014;6.341
29 Málaga;Hombres;2013;6.087
29 Málaga;Hombres;2012;6.333
29 Málaga;Hombres;2011;6.137
29 Málaga;Hombres;2010;6.139
29 Málaga;Hombres;2009;6.068
29 Málaga;Hombres;2008;6.239
29 Málaga;Hombres;2007;6.116
29 Málaga;Hombres;2006;5.981
29 Málaga;Hombres;2005;6.099
29 Málaga;Hombres;2004;5.773
29 Málaga;Hombres;2003;5.986
29 Málaga;Hombres;2002;5.605
29 Málaga;Hombres;2001;5.399
29 Málaga;Hombres;2000;5.390
29 Málaga;Hombres;1999;5.377
29 Málaga;Hombres;1998;5.417
29 Málaga;Hombres;1997;5.140
29 Málaga;Hombres;1996;5.321
29 Málaga;Hombres;1995;5.203
29 Málaga;Hombres;1994;5.069
29 Málaga;Hombres;1993;5.008
29 Málaga;Hombres;1992;4.856
29 Málaga;Hombres;1991;4.947
29 Málaga;Hombres;1990;4.820
29 Málaga;Hombres;1989;4.748
29 Málaga;Hombres;1988;4.675
29 Málaga;Hombres;1987;4.615
29 Málaga;Hombres;1986;4.483
29 Málaga;Hombres;1985;4.546
29 Málaga;Hombres;1984;4.340
29 Málaga;Hombres;1983;4.098
29 Málaga;Hombres;1982;4.137
29 Málaga;Hombres;1981;4.146
29 Málaga;Hombres;1980;3.989
29 Málaga;Hombres;1979;4.192
29 Málaga;Hombres;1978;4.191
29 Málaga;Hombres;1977;3.941
29 Málaga;Hombres;1976;4.155
29 Málaga;Hombres;1975;4.087
29 Málaga;Mujeres;2018;6.365
29 Málaga;Mujeres;2017;6.140
29 Málaga;Mujeres;2016;6.005
29 Málaga;Mujeres;2015;6.190
29 Málaga;Mujeres;2014;5.886
29 Málaga;Mujeres;2013;5.546
29 Málaga;Mujeres;2012;5.692
29 Málaga;Mujeres;2011;5.485
29 Málaga;Mujeres;2010;5.316
29 Málaga;Mujeres;2009;5.388
29 Málaga;Mujeres;2008;5.582
29 Málaga;Mujeres;2007;5.376
29 Málaga;Mujeres;2006;5.205
29 Málaga;Mujeres;2005;5.443
29 Málaga;Mujeres;2004;5.079
29 Málaga;Mujeres;2003;5.227
29 Málaga;Mujeres;2002;4.802
29 Málaga;Mujeres;2001;4.763
29 Málaga;Mujeres;2000;4.839
29 Málaga;Mujeres;1999;4.839
29 Málaga;Mujeres;1998;4.684
29 Málaga;Mujeres;1997;4.559
29 Málaga;Mujeres;1996;4.530
29 Málaga;Mujeres;1995;4.247
29 Málaga;Mujeres;1994;4.379
29 Málaga;Mujeres;1993;4.317
29 Málaga;Mujeres;1992;4.098
29 Málaga;Mujeres;1991;4.202
29 Málaga;Mujeres;1990;4.137
29 Málaga;Mujeres;1989;4.051
29 Málaga;Mujeres;1988;3.901
29 Málaga;Mujeres;1987;4.027
29 Málaga;Mujeres;1986;3.831
29 Málaga;Mujeres;1985;3.851
29 Málaga;Mujeres;1984;3.682
29 Málaga;Mujeres;1983;3.844
29 Málaga;Mujeres;1982;3.657
29 Málaga;Mujeres;1981;3.592
29 Málaga;Mujeres;1980;3.572
29 Málaga;Mujeres;1979;3.615
29 Málaga;Mujeres;1978;3.594
29 Málaga;Mujeres;1977;3.486
29 Málaga;Mujeres;1976;3.591
29 Málaga;Mujeres;1975;3.660
30 Murcia;Total;2018;11.327
30 Murcia;Total;2017;11.522
30 Murcia;Total;2016;10.867
30 Murcia;Total;2015;11.233
30 Murcia;Total;2014;10.397
30 Murcia;Total;2013;10.115
30 Murcia;Total;2012;10.680
30 Murcia;Total;2011;10.197
30 Murcia;Total;2010;9.976
30 Murcia;Total;2009;10.331
30 Murcia;Total;2008;10.399
30 Murcia;Total;2007;10.072
30 Murcia;Total;2006;9.708
30 Murcia;Total;2005;9.942
30 Murcia;Total;2004;9.595
30 Murcia;Total;2003;9.704
30 Murcia;Total;2002;9.441
30 Murcia;Total;2001;9.145
30 Murcia;Total;2000;9.204
30 Murcia;Total;1999;9.692
30 Murcia;Total;1998;9.060
30 Murcia;Total;1997;8.864
30 Murcia;Total;1996;8.581
30 Murcia;Total;1995;8.413
30 Murcia;Total;1994;8.493
30 Murcia;Total;1993;8.482
30 Murcia;Total;1992;8.264
30 Murcia;Total;1991;8.480
30 Murcia;Total;1990;8.552
30 Murcia;Total;1989;8.408
30 Murcia;Total;1988;7.841
30 Murcia;Total;1987;7.576
30 Murcia;Total;1986;7.779
30 Murcia;Total;1985;7.955
30 Murcia;Total;1984;7.668
30 Murcia;Total;1983;7.888
30 Murcia;Total;1982;7.487
30 Murcia;Total;1981;7.662
30 Murcia;Total;1980;7.561
30 Murcia;Total;1979;7.488
30 Murcia;Total;1978;7.771
30 Murcia;Total;1977;7.412
30 Murcia;Total;1976;7.443
30 Murcia;Total;1975;7.599
30 Murcia;Hombres;2018;5.860
30 Murcia;Hombres;2017;5.948
30 Murcia;Hombres;2016;5.576
30 Murcia;Hombres;2015;5.729
30 Murcia;Hombres;2014;5.346
30 Murcia;Hombres;2013;5.210
30 Murcia;Hombres;2012;5.621
30 Murcia;Hombres;2011;5.353
30 Murcia;Hombres;2010;5.213
30 Murcia;Hombres;2009;5.442
30 Murcia;Hombres;2008;5.397
30 Murcia;Hombres;2007;5.421
30 Murcia;Hombres;2006;5.161
30 Murcia;Hombres;2005;5.241
30 Murcia;Hombres;2004;5.059
30 Murcia;Hombres;2003;5.021
30 Murcia;Hombres;2002;4.949
30 Murcia;Hombres;2001;4.904
30 Murcia;Hombres;2000;4.860
30 Murcia;Hombres;1999;5.020
30 Murcia;Hombres;1998;4.839
30 Murcia;Hombres;1997;4.739
30 Murcia;Hombres;1996;4.508
30 Murcia;Hombres;1995;4.400
30 Murcia;Hombres;1994;4.514
30 Murcia;Hombres;1993;4.474
30 Murcia;Hombres;1992;4.349
30 Murcia;Hombres;1991;4.416
30 Murcia;Hombres;1990;4.542
30 Murcia;Hombres;1989;4.420
30 Murcia;Hombres;1988;4.085
30 Murcia;Hombres;1987;3.904
30 Murcia;Hombres;1986;4.074
30 Murcia;Hombres;1985;4.065
30 Murcia;Hombres;1984;3.909
30 Murcia;Hombres;1983;4.145
30 Murcia;Hombres;1982;3.849
30 Murcia;Hombres;1981;3.994
30 Murcia;Hombres;1980;3.949
30 Murcia;Hombres;1979;3.860
30 Murcia;Hombres;1978;3.959
30 Murcia;Hombres;1977;3.788
30 Murcia;Hombres;1976;3.848
30 Murcia;Hombres;1975;3.974
30 Murcia;Mujeres;2018;5.467
30 Murcia;Mujeres;2017;5.574
30 Murcia;Mujeres;2016;5.291
30 Murcia;Mujeres;2015;5.504
30 Murcia;Mujeres;2014;5.051
30 Murcia;Mujeres;2013;4.905
30 Murcia;Mujeres;2012;5.059
30 Murcia;Mujeres;2011;4.844
30 Murcia;Mujeres;2010;4.763
30 Murcia;Mujeres;2009;4.889
30 Murcia;Mujeres;2008;5.002
30 Murcia;Mujeres;2007;4.651
30 Murcia;Mujeres;2006;4.547
30 Murcia;Mujeres;2005;4.701
30 Murcia;Mujeres;2004;4.536
30 Murcia;Mujeres;2003;4.683
30 Murcia;Mujeres;2002;4.492
30 Murcia;Mujeres;2001;4.241
30 Murcia;Mujeres;2000;4.344
30 Murcia;Mujeres;1999;4.672
30 Murcia;Mujeres;1998;4.221
30 Murcia;Mujeres;1997;4.125
30 Murcia;Mujeres;1996;4.073
30 Murcia;Mujeres;1995;4.013
30 Murcia;Mujeres;1994;3.979
30 Murcia;Mujeres;1993;4.008
30 Murcia;Mujeres;1992;3.915
30 Murcia;Mujeres;1991;4.064
30 Murcia;Mujeres;1990;4.010
30 Murcia;Mujeres;1989;3.988
30 Murcia;Mujeres;1988;3.756
30 Murcia;Mujeres;1987;3.672
30 Murcia;Mujeres;1986;3.705
30 Murcia;Mujeres;1985;3.890
30 Murcia;Mujeres;1984;3.759
30 Murcia;Mujeres;1983;3.743
30 Murcia;Mujeres;1982;3.638
30 Murcia;Mujeres;1981;3.668
30 Murcia;Mujeres;1980;3.612
30 Murcia;Mujeres;1979;3.628
30 Murcia;Mujeres;1978;3.812
30 Murcia;Mujeres;1977;3.624
30 Murcia;Mujeres;1976;3.595
30 Murcia;Mujeres;1975;3.625
31 Navarra;Total;2018;5.819
31 Navarra;Total;2017;5.844
31 Navarra;Total;2016;5.727
31 Navarra;Total;2015;5.680
31 Navarra;Total;2014;5.511
31 Navarra;Total;2013;5.323
31 Navarra;Total;2012;5.376
31 Navarra;Total;2011;5.158
31 Navarra;Total;2010;4.981
31 Navarra;Total;2009;5.147
31 Navarra;Total;2008;5.292
31 Navarra;Total;2007;5.163
31 Navarra;Total;2006;4.952
31 Navarra;Total;2005;5.196
31 Navarra;Total;2004;5.003
31 Navarra;Total;2003;5.247
31 Navarra;Total;2002;4.989
31 Navarra;Total;2001;4.813
31 Navarra;Total;2000;4.935
31 Navarra;Total;1999;5.007
31 Navarra;Total;1998;4.816
31 Navarra;Total;1997;4.671
31 Navarra;Total;1996;4.690
31 Navarra;Total;1995;4.593
31 Navarra;Total;1994;4.477
31 Navarra;Total;1993;4.515
31 Navarra;Total;1992;4.253
31 Navarra;Total;1991;4.517
31 Navarra;Total;1990;4.368
31 Navarra;Total;1989;4.221
31 Navarra;Total;1988;4.079
31 Navarra;Total;1987;4.077
31 Navarra;Total;1986;4.153
31 Navarra;Total;1985;4.246
31 Navarra;Total;1984;4.046
31 Navarra;Total;1983;4.164
31 Navarra;Total;1982;4.111
31 Navarra;Total;1981;4.119
31 Navarra;Total;1980;4.143
31 Navarra;Total;1979;4.093
31 Navarra;Total;1978;4.161
31 Navarra;Total;1977;4.183
31 Navarra;Total;1976;4.260
31 Navarra;Total;1975;4.365
31 Navarra;Hombres;2018;2.952
31 Navarra;Hombres;2017;2.966
31 Navarra;Hombres;2016;2.911
31 Navarra;Hombres;2015;2.837
31 Navarra;Hombres;2014;2.796
31 Navarra;Hombres;2013;2.735
31 Navarra;Hombres;2012;2.758
31 Navarra;Hombres;2011;2.547
31 Navarra;Hombres;2010;2.522
31 Navarra;Hombres;2009;2.662
31 Navarra;Hombres;2008;2.726
31 Navarra;Hombres;2007;2.716
31 Navarra;Hombres;2006;2.610
31 Navarra;Hombres;2005;2.685
31 Navarra;Hombres;2004;2.601
31 Navarra;Hombres;2003;2.740
31 Navarra;Hombres;2002;2.696
31 Navarra;Hombres;2001;2.585
31 Navarra;Hombres;2000;2.589
31 Navarra;Hombres;1999;2.647
31 Navarra;Hombres;1998;2.591
31 Navarra;Hombres;1997;2.528
31 Navarra;Hombres;1996;2.524
31 Navarra;Hombres;1995;2.484
31 Navarra;Hombres;1994;2.402
