,Plazas residenciales privadas según tamaño del centro (plazas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,,,,,,2017,,,,,,2015,,,,,,2013,,,,,,2012,,,,,,2011,,,,,,2010,,,,,,2009,,,,,,2008,,,,,,2007,,,,,,2006,,,,
,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,
,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL
,Soria,0,256,379,773,1408,,16,256,382,734,1388,,16,256,427,730,1429,,16,207,367,613,1203,,16,207,367,611,1201,,16,207,367,611,1201,,16,207,367,511,1101,,16,207,367,511,1101,,16,207,367,513,1103,,16,158,367,513,1054,,,,,,
,Valladolid,432,1188,1312,3256,6188,,495,1192,1182,3039,5908,,526,1137,1082,3149,5894,,538,1145,1131,2737,5551,,557,1172,1131,2750,5610,,557,1172,1131,2750,5610,,602,1172,1041,2634,5449,,602,1172,1041,2634,5449,,613,1269,1041,2801,5724,,633,1308,1077,2634,5652,,,,,,
,Zamora,98,538,1045,1226,2907,,98,535,1027,1216,2876,,98,534,992,1234,2858,,132,503,1005,1133,2773,,144,529,917,1113,2703,,144,516,917,1113,2690,,152,363,909,993,2417,,152,363,909,993,2417,,152,363,909,1001,2425,,159,363,971,707,2200,,,,,,
,Castilla-La Mancha,263,1723,6267,8405,16658,,292,1668,6300,8333,16593,,313,1812,6251,8566,16942,,327,1855,6252,8513,16947,,337,1856,6126,9874,18193,,337,1982,5678,9974,17971,,343,2011,5605,8556,16515,,343,2013,5605,8396,16357,,382,2011,5489,8543,16425,,390,2131,4973,7499,14993,,,,,,14166
,Albacete,0,177,660,1053,1890,,0,173,696,1053,1922,,0,226,664,1103,1993,,0,226,664,1103,1993,,20,256,659,1087,2022,,20,296,659,1087,2062,,20,368,497,1085,1970,,20,368,497,925,1810,,51,368,497,773,1689,,73,345,519,773,1710,,,,,,
,Ciudad Real,90,337,1242,2039,3708,,86,359,1171,2094,3710,,86,359,1136,2232,3813,,82,337,1129,2266,3814,,62,377,1063,2361,3863,,62,377,1063,2361,3863,,62,287,1148,2197,3694,,62,289,1148,2197,3696,,62,289,1183,2394,3928,,30,244,1005,1724,3003,,,,,,
,Cuenca,9,223,1189,611,2032,,9,223,1191,663,2086,,9,287,1205,663,2164,,33,304,1112,765,2214,,33,254,1141,784,2212,,33,254,1062,784,2133,,33,268,1083,613,1997,,33,268,1083,613,1997,,33,268,1030,613,1944,,59,322,889,613,1883,,,,,,
,Guadalajara,72,126,483,2017,2698,,72,94,482,2001,2649,,93,94,470,2046,2703,,87,119,461,2070,2737,,87,144,416,2912,3559,,87,184,416,2912,3599,,77,258,562,1858,2755,,77,258,562,1858,2755,,85,261,562,1859,2767,,96,294,477,1592,2459,,,,,,
,Toledo,92,860,2693,2685,6330,,125,819,2760,2522,6226,,125,846,2776,2522,6269,,125,869,2886,2309,6189,,135,825,2847,2730,6537,,135,871,2478,2830,6314,,151,830,2315,2803,6099,,151,830,2315,2803,6099,,151,825,2217,2904,6097,,132,926,2083,2797,5938,,,,,,
,Cataluña,3432,9451,17273,19258,49414,,3588,9769,17154,18328,48839,,3908,10072,15954,17185,47119,,4036,10016,16523,16338,46913,,4184,10346,16863,16461,47854,,4503,9802,14324,14962,43591,,4639,9711,14013,14575,42938,,4753,9669,14044,14214,42680,,5023,9636,13821,13430,41910,,5055,9878,13266,12405,40604,,,,,,40109
,Barcelona,2926,7770,12003,14871,37570,,3090,8002,12058,13943,37093,,3420,8330,11042,12975,35767,,3528,8221,11535,12272,35556,,3662,8438,11778,12564,36442,,3965,8014,10210,12088,34277,,4103,7965,10034,11701,33803,,4217,7923,10065,11340,33545,,4488,7814,9921,10707,32930,,4531,8031,9434,10080,32076,,,,,,
,Girona,240,706,2104,767,3817,,243,768,1919,767,3697,,217,755,1731,761,3464,,214,826,1739,761,3540,,228,919,1814,611,3572,,231,855,1628,1001,3715,,206,817,1575,1001,3599,,206,817,1575,1001,3599,,206,817,1505,1001,3529,,191,787,1437,1101,3516,,,,,,
,Lleida,177,519,1697,1391,3784,,177,542,1787,1259,3765,,177,500,1833,1396,3906,,177,508,1834,1396,3915,,177,498,1835,1396,3906,,152,538,1454,890,3034,,151,538,1464,890,3043,,151,538,1464,890,3043,,151,575,1391,890,3007,,168,549,1458,735,2910,,,,,,
,Tarragona,89,456,1469,2229,4243,,78,457,1390,2359,4284,,94,487,1348,2053,3982,,117,461,1415,1909,3902,,117,491,1436,1890,3934,,155,395,1032,983,2565,,179,391,940,983,2493,,179,391,940,983,2493,,178,430,1004,832,2444,,165,511,937,489,2102,,,,,,
,Comunitat Valenciana,262,2146,6208,12858,21474,,285,2269,6012,12804,21370,,285,2307,5913,12610,21115,,330,2333,5918,13011,21592,,438,2387,5963,13146,21934,,464,2450,5521,12695,21130,,655,2311,5131,12124,20221,,655,2311,5131,12124,20221,,737,2217,5262,11643,19859,,622,2371,4231,9536,16760,,,,,,13816
,Alicante/Alacant,79,765,1735,3880,6459,,97,850,1720,3979,6646,,97,850,1715,3998,6660,,97,850,1606,4138,6691,,141,786,1769,4138,6834,,132,879,1527,3920,6458,,143,779,1583,3818,6323,,143,779,1583,3818,6323,,155,779,1775,3520,6229,,144,916,1244,3684,5988,,,,,,
,Castellón/Castelló,10,117,1089,997,2213,,10,117,1021,997,2145,,10,117,927,997,2051,,10,117,865,997,1989,,34,117,869,997,2017,,34,201,819,997,2051,,53,201,731,1063,2048,,53,201,731,1063,2048,,53,152,731,1113,2049,,56,105,585,1073,1819,,,,,,
,Valencia/València,173,1264,3384,7981,12802,,178,1302,3271,7828,12579,,178,1340,3271,7615,12404,,223,1366,3447,7876,12912,,263,1484,3325,8011,13083,,298,1370,3175,7778,12621,,459,1331,2817,7243,11850,,459,1331,2817,7243,11850,,529,1286,2756,7010,11581,,422,1350,2402,4779,8953,,,,,,
,Extremadura,92,823,1915,3351,6181,,92,731,1754,3011,5588,,92,797,1659,3011,5559,,130,804,1871,2832,5637,,130,894,1817,2708,5549,,130,897,1750,2498,5275,,130,942,1681,2502,5255,,54,744,1275,2362,4435,,54,695,1211,1944,3904,,54,748,1148,1557,3507,,,,,,3513
,Badajoz,48,375,564,1902,2889,,48,375,472,1717,2612,,48,441,412,1717,2618,,86,401,484,1638,2609,,86,450,510,1514,2560,,86,450,510,1514,2560,,86,452,510,1518,2566,,44,399,374,1371,2188,,44,350,374,1091,1859,,44,401,324,803,1572,,,,,,
,Cáceres,44,448,1351,1449,3292,,44,356,1282,1294,2976,,44,356,1247,1294,2941,,44,403,1387,1194,3028,,44,444,1307,1194,2989,,44,447,1240,984,2715,,44,490,1171,984,2689,,10,345,901,991,2247,,10,345,837,853,2045,,10,347,824,754,1935,,,,,,
,Galicia,1313,1430,4186,9412,16341,,1183,1407,4035,9336,15961,,1128,1445,3990,9196,15759,,999,1300,3496,8464,14259,,1024,1282,3467,8248,14021,,1064,1325,3399,7820,13608,,1084,1289,3452,7976,13801,,752,877,3095,6349,11073,,708,862,2886,6025,10481,,684,710,2487,5365,9246,,,,,,8935
,Coruña (A),323,371,1275,3170,5139,,325,367,1024,3067,4783,,308,369,1088,2917,4682,,295,315,1133,2646,4389,,319,304,1118,2606,4347,,309,380,1129,2496,4314,,309,388,1129,2652,4478,,290,142,1020,1884,3336,,290,142,951,1819,3202,,300,152,880,1541,2873,,,,,,
,Lugo,199,75,409,2222,2905,,165,141,500,2222,3028,,155,177,470,2232,3034,,150,80,508,1889,2627,,150,33,568,1855,2606,,198,0,477,1519,2194,,198,0,477,1519,2194,,130,0,405,1337,1872,,109,40,338,1254,1741,,105,40,251,950,1346,,,,,,
