,,2019,,,,,,,,,,2017,,,,,,,,,,2015,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,,2011,,,,,,,,,,2010,,,,,,,,,,2009,,,,,,,,,,2008,,,,,,,,,,2007,,,,,,,,,,2006,,,,,,,,,,2005,,,,,,,,,,2004,,,,,,,,
,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,
,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL
,Canarias,57,57,0,,14,18,15,10,57,,60,59,1,,16,18,15,10,59,,52,50,2,,13,15,13,9,50,,45,44,1,,14,11,12,7,44,,43,42,1,,14,10,11,7,42,,42,41,1,,14,10,10,7,41,,41,40,1,,14,9,10,7,40,,37,34,3,,13,8,5,8,34,,34,31,3,,13,6,6,6,31,,38,34,4,,14,6,7,7,34,,33,28,5,,11,5,5,7,28,,,,,,,,,,,,,,,,,,,,
,Palmas (Las),22,22,0,,3,8,7,4,22,,22,22,0,,3,8,7,4,22,,22,22,0,,3,8,7,4,22,,20,20,0,,4,7,6,3,20,,20,20,0,,4,7,6,3,20,,20,20,0,,4,7,6,3,20,,19,19,0,,4,6,6,3,19,,16,15,1,,4,5,2,4,15,,15,14,1,,4,5,3,2,14,,16,15,1,,3,5,4,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz de Tenerife,35,35,0,,11,10,8,6,35,,38,37,1,,13,10,8,6,37,,30,28,2,,10,7,6,5,28,,25,24,1,,10,4,6,4,24,,23,22,1,,10,3,5,4,22,,22,21,1,,10,3,4,4,21,,22,21,1,,10,3,4,4,21,,21,19,2,,9,3,3,4,19,,19,17,2,,9,1,3,4,17,,22,19,3,,11,1,3,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cantabria,11,11,0,,3,1,4,3,11,,11,11,0,,3,2,3,3,11,,12,12,0,,3,2,3,4,12,,9,9,0,,3,2,2,2,9,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,1,2,3,8,,8,8,0,,2,0,3,3,8,,6,6,0,,1,0,2,3,6,,,,,,,,,,,,,,,,,,,,
,Castilla y León,200,200,0,,54,72,44,30,200,,196,196,0,,51,72,40,33,196,,186,186,0,,46,70,38,32,186,,174,173,1,,45,61,35,32,173,,177,177,0,,48,61,34,34,177,,176,176,0,,48,60,34,34,176,,163,163,0,,44,58,26,35,163,,162,162,0,,44,57,26,35,162,,160,160,0,,44,57,25,34,160,,153,153,0,,41,52,27,33,153,,155,146,9,,39,48,26,33,146,,,,,,,,,,,,,,,,,,,,
,Ávila,9,9,0,,1,4,1,3,9,,9,9,0,,1,4,1,3,9,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,10,10,0,,1,5,1,3,10,,11,11,0,,1,6,1,3,11,,11,11,0,,1,6,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Burgos,16,16,0,,1,4,4,7,16,,15,15,0,,1,4,2,8,15,,14,14,0,,0,4,2,8,14,,13,13,0,,0,4,1,8,13,,13,13,0,,0,4,1,8,13,,12,12,0,,0,3,1,8,12,,12,12,0,,0,3,1,8,12,,12,12,0,,0,3,1,8,12,,11,11,0,,0,3,1,7,11,,10,10,0,,0,2,1,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,León,34,34,0,,4,17,9,4,34,,34,34,0,,4,18,8,4,34,,33,33,0,,4,17,8,4,33,,31,31,0,,3,14,10,4,31,,31,31,0,,3,14,10,4,31,,31,31,0,,3,14,10,4,31,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,29,29,0,,3,14,8,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Palencia,11,11,0,,5,3,2,1,11,,11,11,0,,4,3,1,3,11,,10,10,0,,3,4,1,2,10,,8,8,0,,2,2,1,3,8,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,9,9,0,,3,2,1,3,9,,8,8,0,,2,2,1,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salamanca,58,58,0,,34,17,4,3,58,,56,56,0,,33,16,4,3,56,,52,52,0,,31,15,3,3,52,,49,49,0,,30,13,3,3,49,,50,50,0,,31,13,3,3,50,,50,50,0,,31,13,3,3,50,,44,44,0,,28,11,2,3,44,,44,44,0,,28,11,2,3,44,,45,45,0,,29,11,2,3,45,,43,43,0,,27,11,2,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Segovia,15,15,0,,2,3,8,2,15,,15,15,0,,2,3,8,2,15,,15,15,0,,2,3,8,2,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,15,15,0,,2,4,6,3,15,,14,14,0,,2,4,5,3,14,,12,12,0,,2,2,5,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soria,17,17,0,,1,8,6,2,17,,17,17,0,,1,8,6,2,17,,16,16,0,,1,7,6,2,16,,17,17,0,,3,6,5,3,17,,18,18,0,,3,7,5,3,18,,18,18,0,,3,7,5,3,18,,17,17,0,,3,7,4,3,17,,17,17,0,,3,7,4,3,17,,17,17,0,,3,7,4,3,17,,17,17,0,,3,6,5,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valladolid,18,18,0,,4,6,4,4,18,,17,17,0,,3,6,4,4,17,,15,15,0,,2,6,3,4,15,,14,13,1,,2,6,2,3,13,,14,14,0,,2,6,2,4,14,,14,14,0,,2,6,2,4,14,,10,10,0,,1,5,0,4,10,,9,9,0,,1,4,0,4,9,,8,8,0,,0,4,0,4,8,,8,8,0,,0,4,0,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zamora,22,22,0,,2,10,6,4,22,,22,22,0,,2,10,6,4,22,,21,21,0,,2,9,6,4,21,,17,17,0,,2,7,6,2,17,,17,17,0,,3,6,5,3,17,,17,17,0,,3,6,5,3,17,,17,17,0,,3,7,3,4,17,,17,17,0,,3,7,3,4,17,,16,16,0,,3,6,3,4,16,,15,15,0,,3,5,3,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castilla-La Mancha,265,264,1,,157,56,17,34,264,,268,267,1,,163,55,16,33,267,,272,271,1,,168,52,18,33,271,,273,271,2,,173,50,16,32,271,,287,286,1,,186,49,19,32,286,,285,284,1,,187,46,19,32,284,,261,258,3,,171,43,17,27,258,,259,256,3,,171,41,17,27,256,,260,252,8,,171,39,17,25,252,,228,225,3,,150,40,14,21,225,,232,184,48,,118,35,12,19,184,,,,,,,,,,,,,,,,,,,,
,Albacete,25,25,0,,10,6,2,7,25,,25,25,0,,10,6,2,7,25,,26,26,0,,11,6,2,7,26,,25,24,1,,10,6,1,7,24,,25,25,0,,10,6,2,7,25,,24,24,0,,10,5,2,7,24,,23,23,0,,9,5,2,7,23,,23,23,0,,9,5,2,7,23,,23,23,0,,9,5,2,7,23,,20,20,0,,8,5,1,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ciudad Real,61,61,0,,40,12,2,7,61,,60,60,0,,40,11,2,7,60,,60,60,0,,40,10,3,7,60,,61,61,0,,42,9,3,7,61,,61,61,0,,42,9,3,7,61,,62,62,0,,43,9,3,7,62,,60,60,0,,42,9,2,7,60,,60,60,0,,42,9,2,7,60,,60,57,3,,41,7,3,6,57,,54,53,1,,37,7,3,6,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuenca,61,61,0,,51,5,0,5,61,,67,67,0,,57,5,0,5,67,,70,70,0,,61,4,0,5,70,,70,70,0,,62,3,0,5,70,,74,74,0,,66,3,0,5,74,,74,74,0,,66,3,0,5,74,,63,61,2,,55,3,0,3,61,,63,61,2,,55,3,0,3,61,,64,62,2,,56,3,0,3,62,,57,57,0,,51,3,0,3,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guadalajara,45,45,0,,32,4,5,4,45,,46,46,0,,33,4,4,5,46,,46,46,0,,32,5,4,5,46,,47,47,0,,33,5,4,5,47,,51,51,0,,37,5,4,5,51,,50,50,0,,37,4,4,5,50,,48,48,0,,36,3,4,5,48,,48,48,0,,36,3,4,5,48,,48,46,2,,36,3,3,4,46,,43,41,2,,32,3,4,2,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Toledo,73,72,1,,24,29,8,11,72,,70,69,1,,23,29,8,9,69,,70,69,1,,24,27,9,9,69,,70,69,1,,26,27,8,8,69,,76,75,1,,31,26,10,8,75,,75,74,1,,31,25,10,8,74,,67,66,1,,29,23,9,5,66,,65,64,1,,29,21,9,5,64,,65,64,1,,29,21,9,5,64,,54,54,0,,22,22,6,4,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cataluña,172,172,0,,18,36,86,32,172,,171,171,0,,19,33,84,35,171,,165,165,0,,17,34,83,31,165,,164,164,0,,19,34,80,31,164,,160,160,0,,19,33,78,30,160,,137,131,6,,23,31,57,20,131,,137,131,6,,25,29,58,19,131,,138,133,5,,26,29,59,19,133,,140,133,7,,26,29,59,19,133,,130,124,6,,27,27,53,17,124,,135,128,7,,29,27,53,19,128,,,,,,,,,,,,,,,,,,,,
,Barcelona,104,104,0,,12,16,52,24,104,,107,107,0,,15,15,51,26,107,,103,103,0,,13,15,52,23,103,,103,103,0,,15,15,50,23,103,,101,101,0,,15,14,50,22,101,,79,74,5,,13,13,36,12,74,,78,73,5,,13,13,37,10,73,,78,74,4,,14,13,37,10,74,,78,72,6,,14,12,36,10,72,,71,65,6,,13,12,32,8,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Girona,19,19,0,,0,2,13,4,19,,18,18,0,,0,1,13,4,18,,18,18,0,,0,1,13,4,18,,17,17,0,,0,1,12,4,17,,15,15,0,,0,1,10,4,15,,15,14,1,,0,4,8,2,14,,15,15,0,,0,4,8,3,15,,16,16,0,,0,4,9,3,16,,17,17,0,,0,4,10,3,17,,16,16,0,,0,4,9,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lleida,26,26,0,,5,12,9,0,26,,25,25,0,,4,12,9,0,25,,24,24,0,,4,13,7,0,24,,24,24,0,,4,13,7,0,24,,24,24,0,,4,13,7,0,24,,25,25,0,,8,10,6,1,25,,25,25,0,,9,9,6,1,25,,25,25,0,,9,9,6,1,25,,25,25,0,,9,9,6,1,25,,24,24,0,,11,7,5,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tarragona,23,23,0,,1,6,12,4,23,,21,21,0,,0,5,11,5,21,,20,20,0,,0,5,11,4,20,,20,20,0,,0,5,11,4,20,,20,20,0,,0,5,11,4,20,,18,18,0,,2,4,7,5,18,,19,18,1,,3,3,7,5,18,,19,18,1,,3,3,7,5,18,,20,19,1,,3,4,7,5,19,,19,19,0,,3,4,7,5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Comunitat Valenciana,68,67,1,,6,15,29,17,67,,65,64,1,,6,13,27,18,64,,69,67,2,,6,14,28,19,67,,68,67,1,,6,14,28,19,67,,70,69,1,,6,16,27,20,69,,71,71,0,,7,16,28,20,71,,68,68,0,,9,14,27,18,68,,68,68,0,,9,14,27,18,68,,63,63,0,,7,13,25,18,63,,56,55,1,,5,13,19,18,55,,62,58,4,,5,13,21,19,58,,,,,,,,,,,,,,,,,,,,
,Alicante/Alacant,18,18,0,,1,1,9,7,18,,18,18,0,,1,1,8,8,18,,18,18,0,,1,1,8,8,18,,18,18,0,,1,1,8,8,18,,19,19,0,,1,2,7,9,19,,20,20,0,,1,2,8,9,20,,20,20,0,,1,2,8,9,20,,20,20,0,,1,2,8,9,20,,18,18,0,,0,2,7,9,18,,16,15,1,,0,2,4,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Castellón/Castelló,14,13,1,,3,2,5,3,13,,14,13,1,,3,2,5,3,13,,17,15,2,,3,3,6,3,15,,16,15,1,,3,3,6,3,15,,16,15,1,,3,3,6,3,15,,15,15,0,,3,3,6,3,15,,14,14,0,,3,2,6,3,14,,14,14,0,,3,2,6,3,14,,13,13,0,,3,2,5,3,13,,12,12,0,,2,2,5,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valencia/València,36,36,0,,2,12,15,7,36,,33,33,0,,2,10,14,7,33,,34,34,0,,2,10,14,8,34,,34,34,0,,2,10,14,8,34,,35,35,0,,2,11,14,8,35,,36,36,0,,3,11,14,8,36,,34,34,0,,5,10,13,6,34,,34,34,0,,5,10,13,6,34,,32,32,0,,4,9,13,6,32,,28,28,0,,3,9,10,6,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Extremadura,188,187,1,,84,59,36,8,187,,159,159,0,,78,45,29,7,159,,160,160,0,,81,42,30,7,160,,160,160,0,,85,38,30,7,160,,160,160,0,,87,39,27,7,160,,153,153,0,,83,39,25,6,153,,156,156,0,,87,38,25,6,156,,96,94,2,,46,22,20,6,94,,92,91,1,,45,22,18,6,91,,92,89,3,,47,21,16,5,89,,94,90,4,,50,22,13,5,90,,,,,,,,,,,,,,,,,,,,
