,,,,,,,,
"Statistical table extracted on July 26, 2020 (01:08:57)",,,,,,,,
http://www.ine.pt,,,,,,,,
,,,,,,,,
,,,,,,,,
Data reference period,Place of residence (NUTS - 2013),,"Deaths (No.) by Place of residence (NUTS - 2013), Sex and Age group; Weekly",,,,,
,,,Sex,,,,,
,,,MF,,M,,F,
,,,Age group,,,,,
,,,Total,,,,,
,,,No. ,,No. ,,No. ,
13th Week 2019,Total,T,2140,,1089,,1051,
,Portugal,PT,2135,,1084,,1051,
,Foreigner,YY,5,,5,,0,
12th Week 2019,Total,T,2205,,1072,,1133,
,Portugal,PT,2199,,1069,,1130,
,Foreigner,YY,6,,3,,3,
11th Week 2019,Total,T,2261,,1134,,1127,
,Portugal,PT,2258,,1131,,1127,
,Foreigner,YY,3,,3,,0,
10th Week 2019,Total,T,2335,,1141,,1194,
,Portugal,PT,2329,,1137,,1192,
,Foreigner,YY,6,,4,,2,
9th Week 2019,Total,T,2450,,1188,,1262,
,Portugal,PT,2441,,1183,,1258,
,Foreigner,YY,9,,5,,4,
8th Week 2019,Total,T,2554,,1225,,1329,
,Portugal,PT,2546,,1221,,1325,
,Foreigner,YY,8,,4,,4,
7th Week 2019,Total,T,2719,,1369,,1350,
,Portugal,PT,2711,,1363,,1348,
,Foreigner,YY,8,,6,,2,
6th Week 2019,Total,T,2783,,1345,,1438,
,Portugal,PT,2779,,1341,,1438,
,Foreigner,YY,4,,4,,0,
5th Week 2019,Total,T,2907,,1398,,1509,
,Portugal,PT,2899,,1392,,1507,
,Foreigner,YY,8,,6,,2,
4th Week 2019,Total,T,3027,,1468,,1559,
,Portugal,PT,3021,,1462,,1559,
,Foreigner,YY,6,,6,,0,
3rd Week 2019,Total,T,2992,,1476,,1516,
,Portugal,PT,2985,,1474,,1511,
,Foreigner,YY,7,,2,,5,
2nd Week 2019,Total,T,2894,,1407,,1487,
,Portugal,PT,2884,,1397,,1487,
,Foreigner,YY,10,,10,,0,
1st Week 2019,Total,T,2632,,1308,,1324,
,Portugal,PT,2621,,1301,,1320,
,Foreigner,YY,11,,7,,4,
52th Week 2018,Total,T,2378,,1231,,1147,
,Portugal,PT,2367,,1224,,1143,
,Foreigner,YY,11,,7,,4,
51th Week 2018,Total,T,2256,,1127,,1129,
,Portugal,PT,2249,,1121,,1128,
,Foreigner,YY,7,,6,,1,
50th Week 2018,Total,T,2134,,1104,,1030,
,Portugal,PT,2129,,1102,,1027,
,Foreigner,YY,5,,2,,3,
49th Week 2018,Total,T,2160,,1097,,1063,
,Portugal,PT,2150,,1090,,1060,
,Foreigner,YY,10,,7,,3,
48th Week 2018,Total,T,2139,,1068,,1071,
,Portugal,PT,2132,,1062,,1070,
,Foreigner,YY,7,,6,,1,
47th Week 2018,Total,T,2078,,1041,,1037,
,Portugal,PT,2071,,1036,,1035,
,Foreigner,YY,7,,5,,2,
46th Week 2018,Total,T,2100,,1041,,1059,
,Portugal,PT,2093,,1037,,1056,
,Foreigner,YY,7,,4,,3,
45th Week 2018,Total,T,2141,,1094,,1047,
,Portugal,PT,2124,,1081,,1043,
,Foreigner,YY,17,,13,,4,
44th Week 2018,Total,T,2055,,1040,,1015,
,Portugal,PT,2043,,1032,,1011,
,Foreigner,YY,12,,8,,4,
43th Week 2018,Total,T,2005,,996,,1009,
,Portugal,PT,1996,,989,,1007,
,Foreigner,YY,9,,7,,2,
42th Week 2018,Total,T,1954,,1018,,936,
,Portugal,PT,1943,,1012,,931,
,Foreigner,YY,11,,6,,5,
41th Week 2018,Total,T,1953,,1023,,930,
,Portugal,PT,1935,,1011,,924,
,Foreigner,YY,18,,12,,6,
40th Week 2018,Total,T,1899,,955,,944,
,Portugal,PT,1890,,949,,941,
,Foreigner,YY,9,,6,,3,
39th Week 2018,Total,T,1842,,939,,903,
,Portugal,PT,1828,,931,,897,
,Foreigner,YY,14,,8,,6,
38th Week 2018,Total,T,1879,,960,,919,
,Portugal,PT,1867,,951,,916,
,Foreigner,YY,12,,9,,3,
37th Week 2018,Total,T,1816,,937,,879,
,Portugal,PT,1796,,925,,871,
,Foreigner,YY,20,,12,,8,
36th Week 2018,Total,T,1848,,950,,898,
,Portugal,PT,1837,,941,,896,
,Foreigner,YY,11,,9,,2,
35th Week 2018,Total,T,1770,,915,,855,
,Portugal,PT,1766,,911,,855,
,Foreigner,YY,4,,4,,0,
34th Week 2018,Total,T,1970,,994,,976,
,Portugal,PT,1960,,989,,971,
,Foreigner,YY,10,,5,,5,
33th Week 2018,Total,T,1948,,995,,953,
,Portugal,PT,1939,,987,,952,
,Foreigner,YY,9,,8,,1,
32th Week 2018,Total,T,2209,,1038,,1171,
,Portugal,PT,2199,,1028,,1171,
,Foreigner,YY,10,,10,,0,
31th Week 2018,Total,T,2258,,1087,,1171,
,Portugal,PT,2250,,1081,,1169,
,Foreigner,YY,8,,6,,2,
30th Week 2018,Total,T,1841,,925,,916,
,Portugal,PT,1824,,913,,911,
,Foreigner,YY,17,,12,,5,
29th Week 2018,Total,T,1827,,930,,897,
,Portugal,PT,1815,,920,,895,
,Foreigner,YY,12,,10,,2,
28th Week 2018,Total,T,1780,,916,,864,
,Portugal,PT,1771,,912,,859,
,Foreigner,YY,9,,4,,5,
27th Week 2018,Total,T,1772,,897,,875,
,Portugal,PT,1765,,891,,874,
,Foreigner,YY,7,,6,,1,
26th Week 2018,Total,T,1945,,1024,,921,
,Portugal,PT,1936,,1017,,919,
,Foreigner,YY,9,,7,,2,
25th Week 2018,Total,T,2110,,1027,,1083,
,Portugal,PT,2104,,1022,,1082,
,Foreigner,YY,6,,5,,1,
24th Week 2018,Total,T,1944,,967,,977,
,Portugal,PT,1928,,958,,970,
,Foreigner,YY,16,,9,,7,
23th Week 2018,Total,T,1985,,1000,,985,
,Portugal,PT,1977,,993,,984,
,Foreigner,YY,8,,7,,1,
22th Week 2018,Total,T,1894,,955,,939,
,Portugal,PT,1883,,946,,937,
,Foreigner,YY,11,,9,,2,
21th Week 2018,Total,T,1986,,1025,,961,
,Portugal,PT,1982,,1023,,959,
,Foreigner,YY,4,,2,,2,
20th Week 2018,Total,T,2078,,1080,,998,
,Portugal,PT,2066,,1070,,996,
,Foreigner,YY,12,,10,,2,
19th Week 2018,Total,T,1980,,1006,,974,
,Portugal,PT,1970,,1000,,970,
,Foreigner,YY,10,,6,,4,
18th Week 2018,Total,T,2019,,990,,1029,
,Portugal,PT,2012,,987,,1025,
,Foreigner,YY,7,,3,,4,
17th Week 2018,Total,T,2126,,1058,,1068,
,Portugal,PT,2117,,1051,,1066,
,Foreigner,YY,9,,7,,2,
16th Week 2018,Total,T,2206,,1081,,1125,
,Portugal,PT,2197,,1075,,1122,
,Foreigner,YY,9,,6,,3,
15th Week 2018,Total,T,2291,,1131,,1160,
