Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Enero;Centro hospitalario;De  75 a 79 años;2018;2.768
Enero;Centro hospitalario;De 80 a 84 años;2019;4.264
Enero;Centro hospitalario;De 80 a 84 años;2018;4.754
Enero;Centro hospitalario;De 85 a 89 años;2019;5.354
Enero;Centro hospitalario;De 85 a 89 años;2018;5.678
Enero;Centro hospitalario;De 90 a 94 años;2019;3.823
Enero;Centro hospitalario;De 90 a 94 años;2018;4.038
Enero;Centro hospitalario;De  95 y más años;2019;1.453
Enero;Centro hospitalario;De  95 y más años;2018;1.504
Enero;Centro hospitalario;No consta;2019;..
Enero;Centro hospitalario;No consta;2018;..
Enero;Domicilio particular;Total;2019;11.322
Enero;Domicilio particular;Total;2018;12.412
Enero;Domicilio particular;De 0 a 64 años;2019;1.327
Enero;Domicilio particular;De 0 a 64 años;2018;1.393
Enero;Domicilio particular;De 65 a 69 años;2019;533
Enero;Domicilio particular;De 65 a 69 años;2018;678
Enero;Domicilio particular;De 70 a 74 años;2019;799
Enero;Domicilio particular;De 70 a 74 años;2018;814
Enero;Domicilio particular;De  75 a 79 años;2019;1.035
Enero;Domicilio particular;De  75 a 79 años;2018;1.099
Enero;Domicilio particular;De 80 a 84 años;2019;1.688
Enero;Domicilio particular;De 80 a 84 años;2018;2.007
Enero;Domicilio particular;De 85 a 89 años;2019;2.581
Enero;Domicilio particular;De 85 a 89 años;2018;2.764
Enero;Domicilio particular;De 90 a 94 años;2019;2.174
Enero;Domicilio particular;De 90 a 94 años;2018;2.370
Enero;Domicilio particular;De  95 y más años;2019;1.185
Enero;Domicilio particular;De  95 y más años;2018;1.287
Enero;Domicilio particular;No consta;2019;..
Enero;Domicilio particular;No consta;2018;..
Enero;Residencia socio-sanitaria;Total;2019;5.731
Enero;Residencia socio-sanitaria;Total;2018;6.718
Enero;Residencia socio-sanitaria;De 0 a 64 años;2019;150
Enero;Residencia socio-sanitaria;De 0 a 64 años;2018;176
Enero;Residencia socio-sanitaria;De 65 a 69 años;2019;112
Enero;Residencia socio-sanitaria;De 65 a 69 años;2018;104
Enero;Residencia socio-sanitaria;De 70 a 74 años;2019;208
Enero;Residencia socio-sanitaria;De 70 a 74 años;2018;199
Enero;Residencia socio-sanitaria;De  75 a 79 años;2019;338
Enero;Residencia socio-sanitaria;De  75 a 79 años;2018;399
Enero;Residencia socio-sanitaria;De 80 a 84 años;2019;862
Enero;Residencia socio-sanitaria;De 80 a 84 años;2018;980
Enero;Residencia socio-sanitaria;De 85 a 89 años;2019;1.511
Enero;Residencia socio-sanitaria;De 85 a 89 años;2018;1.760
Enero;Residencia socio-sanitaria;De 90 a 94 años;2019;1.601
Enero;Residencia socio-sanitaria;De 90 a 94 años;2018;1.963
Enero;Residencia socio-sanitaria;De  95 y más años;2019;949
Enero;Residencia socio-sanitaria;De  95 y más años;2018;1.137
Enero;Residencia socio-sanitaria;No consta;2019;..
Enero;Residencia socio-sanitaria;No consta;2018;..
Enero;Otro Lugar;Total;2019;351
Enero;Otro Lugar;Total;2018;381
Enero;Otro Lugar;De 0 a 64 años;2019;105
Enero;Otro Lugar;De 0 a 64 años;2018;129
Enero;Otro Lugar;De 65 a 69 años;2019;26
Enero;Otro Lugar;De 65 a 69 años;2018;20
Enero;Otro Lugar;De 70 a 74 años;2019;27
Enero;Otro Lugar;De 70 a 74 años;2018;37
Enero;Otro Lugar;De  75 a 79 años;2019;27
Enero;Otro Lugar;De  75 a 79 años;2018;42
Enero;Otro Lugar;De 80 a 84 años;2019;56
Enero;Otro Lugar;De 80 a 84 años;2018;48
Enero;Otro Lugar;De 85 a 89 años;2019;53
Enero;Otro Lugar;De 85 a 89 años;2018;49
Enero;Otro Lugar;De 90 a 94 años;2019;36
Enero;Otro Lugar;De 90 a 94 años;2018;42
Enero;Otro Lugar;De  95 y más años;2019;21
Enero;Otro Lugar;De  95 y más años;2018;14
Enero;Otro Lugar;No consta;2019;..
Enero;Otro Lugar;No consta;2018;..
Enero;No consta;Total;2019;2.497
Enero;No consta;Total;2018;2.452
Enero;No consta;De 0 a 64 años;2019;727
Enero;No consta;De 0 a 64 años;2018;786
Enero;No consta;De 65 a 69 años;2019;168
Enero;No consta;De 65 a 69 años;2018;161
Enero;No consta;De 70 a 74 años;2019;209
Enero;No consta;De 70 a 74 años;2018;211
Enero;No consta;De  75 a 79 años;2019;231
Enero;No consta;De  75 a 79 años;2018;199
Enero;No consta;De 80 a 84 años;2019;319
Enero;No consta;De 80 a 84 años;2018;305
