Comunidades y Ciudades Autónomas;Periodo;Total
03 Asturias, Principado de;1993M01;1.025
03 Asturias, Principado de;1992M12;981
03 Asturias, Principado de;1992M11;876
03 Asturias, Principado de;1992M10;923
03 Asturias, Principado de;1992M09;813
03 Asturias, Principado de;1992M08;875
03 Asturias, Principado de;1992M07;888
03 Asturias, Principado de;1992M06;839
03 Asturias, Principado de;1992M05;895
03 Asturias, Principado de;1992M04;883
03 Asturias, Principado de;1992M03;986
03 Asturias, Principado de;1992M02;1.105
03 Asturias, Principado de;1992M01;1.314
03 Asturias, Principado de;1991M12;1.005
03 Asturias, Principado de;1991M11;962
03 Asturias, Principado de;1991M10;922
03 Asturias, Principado de;1991M09;799
03 Asturias, Principado de;1991M08;873
03 Asturias, Principado de;1991M07;871
03 Asturias, Principado de;1991M06;817
03 Asturias, Principado de;1991M05;948
03 Asturias, Principado de;1991M04;915
03 Asturias, Principado de;1991M03;1.164
03 Asturias, Principado de;1991M02;1.148
03 Asturias, Principado de;1991M01;1.081
03 Asturias, Principado de;1990M12;1.224
03 Asturias, Principado de;1990M11;922
03 Asturias, Principado de;1990M10;851
03 Asturias, Principado de;1990M09;744
03 Asturias, Principado de;1990M08;780
03 Asturias, Principado de;1990M07;988
03 Asturias, Principado de;1990M06;785
03 Asturias, Principado de;1990M05;904
03 Asturias, Principado de;1990M04;920
03 Asturias, Principado de;1990M03;978
03 Asturias, Principado de;1990M02;957
03 Asturias, Principado de;1990M01;1.363
03 Asturias, Principado de;1989M12;1.055
03 Asturias, Principado de;1989M11;883
03 Asturias, Principado de;1989M10;904
03 Asturias, Principado de;1989M09;798
03 Asturias, Principado de;1989M08;811
03 Asturias, Principado de;1989M07;823
03 Asturias, Principado de;1989M06;802
03 Asturias, Principado de;1989M05;882
03 Asturias, Principado de;1989M04;922
03 Asturias, Principado de;1989M03;984
03 Asturias, Principado de;1989M02;1.017
03 Asturias, Principado de;1989M01;1.127
03 Asturias, Principado de;1988M12;1.148
03 Asturias, Principado de;1988M11;897
03 Asturias, Principado de;1988M10;904
03 Asturias, Principado de;1988M09;860
03 Asturias, Principado de;1988M08;791
03 Asturias, Principado de;1988M07;824
03 Asturias, Principado de;1988M06;812
03 Asturias, Principado de;1988M05;865
03 Asturias, Principado de;1988M04;922
03 Asturias, Principado de;1988M03;1.022
03 Asturias, Principado de;1988M02;912
03 Asturias, Principado de;1988M01;953
03 Asturias, Principado de;1987M12;1.006
03 Asturias, Principado de;1987M11;897
03 Asturias, Principado de;1987M10;902
03 Asturias, Principado de;1987M09;795
03 Asturias, Principado de;1987M08;839
03 Asturias, Principado de;1987M07;845
03 Asturias, Principado de;1987M06;753
03 Asturias, Principado de;1987M05;883
03 Asturias, Principado de;1987M04;869
03 Asturias, Principado de;1987M03;912
03 Asturias, Principado de;1987M02;971
03 Asturias, Principado de;1987M01;1.035
03 Asturias, Principado de;1986M12;920
03 Asturias, Principado de;1986M11;892
03 Asturias, Principado de;1986M10;815
03 Asturias, Principado de;1986M09;826
03 Asturias, Principado de;1986M08;778
03 Asturias, Principado de;1986M07;774
03 Asturias, Principado de;1986M06;819
03 Asturias, Principado de;1986M05;871
03 Asturias, Principado de;1986M04;933
03 Asturias, Principado de;1986M03;943
03 Asturias, Principado de;1986M02;963
03 Asturias, Principado de;1986M01;1.045
03 Asturias, Principado de;1985M12;1.284
03 Asturias, Principado de;1985M11;964
03 Asturias, Principado de;1985M10;850
03 Asturias, Principado de;1985M09;753
03 Asturias, Principado de;1985M08;762
03 Asturias, Principado de;1985M07;797
03 Asturias, Principado de;1985M06;802
03 Asturias, Principado de;1985M05;852
03 Asturias, Principado de;1985M04;877
03 Asturias, Principado de;1985M03;961
03 Asturias, Principado de;1985M02;864
03 Asturias, Principado de;1985M01;1.169
03 Asturias, Principado de;1984M12;891
03 Asturias, Principado de;1984M11;812
03 Asturias, Principado de;1984M10;851
03 Asturias, Principado de;1984M09;780
03 Asturias, Principado de;1984M08;797
03 Asturias, Principado de;1984M07;794
03 Asturias, Principado de;1984M06;811
03 Asturias, Principado de;1984M05;828
03 Asturias, Principado de;1984M04;1.006
03 Asturias, Principado de;1984M03;1.011
03 Asturias, Principado de;1984M02;864
03 Asturias, Principado de;1984M01;964
03 Asturias, Principado de;1983M12;978
03 Asturias, Principado de;1983M11;902
03 Asturias, Principado de;1983M10;774
03 Asturias, Principado de;1983M09;759
03 Asturias, Principado de;1983M08;715
03 Asturias, Principado de;1983M07;779
03 Asturias, Principado de;1983M06;713
03 Asturias, Principado de;1983M05;823
03 Asturias, Principado de;1983M04;816
03 Asturias, Principado de;1983M03;870
03 Asturias, Principado de;1983M02;1.032
03 Asturias, Principado de;1983M01;1.076
03 Asturias, Principado de;1982M12;1.124
03 Asturias, Principado de;1982M11;891
03 Asturias, Principado de;1982M10;829
03 Asturias, Principado de;1982M09;680
03 Asturias, Principado de;1982M08;792
03 Asturias, Principado de;1982M07;737
03 Asturias, Principado de;1982M06;744
03 Asturias, Principado de;1982M05;842
03 Asturias, Principado de;1982M04;843
03 Asturias, Principado de;1982M03;889
03 Asturias, Principado de;1982M02;833
03 Asturias, Principado de;1982M01;869
03 Asturias, Principado de;1981M12;845
03 Asturias, Principado de;1981M11;813
03 Asturias, Principado de;1981M10;828
03 Asturias, Principado de;1981M09;682
03 Asturias, Principado de;1981M08;731
03 Asturias, Principado de;1981M07;730
03 Asturias, Principado de;1981M06;748
03 Asturias, Principado de;1981M05;725
03 Asturias, Principado de;1981M04;790
03 Asturias, Principado de;1981M03;932
03 Asturias, Principado de;1981M02;961
03 Asturias, Principado de;1981M01;1.087
03 Asturias, Principado de;1980M12;1.317
03 Asturias, Principado de;1980M11;919
03 Asturias, Principado de;1980M10;823
03 Asturias, Principado de;1980M09;714
03 Asturias, Principado de;1980M08;714
03 Asturias, Principado de;1980M07;797
03 Asturias, Principado de;1980M06;741
03 Asturias, Principado de;1980M05;776
03 Asturias, Principado de;1980M04;877
03 Asturias, Principado de;1980M03;843
03 Asturias, Principado de;1980M02;856
03 Asturias, Principado de;1980M01;938
03 Asturias, Principado de;1979M12;924
03 Asturias, Principado de;1979M11;833
03 Asturias, Principado de;1979M10;768
03 Asturias, Principado de;1979M09;702
03 Asturias, Principado de;1979M08;775
03 Asturias, Principado de;1979M07;713
03 Asturias, Principado de;1979M06;679
03 Asturias, Principado de;1979M05;818
03 Asturias, Principado de;1979M04;904
03 Asturias, Principado de;1979M03;1.001
03 Asturias, Principado de;1979M02;847
03 Asturias, Principado de;1979M01;972
03 Asturias, Principado de;1978M12;918
03 Asturias, Principado de;1978M11;805
03 Asturias, Principado de;1978M10;767
03 Asturias, Principado de;1978M09;683
03 Asturias, Principado de;1978M08;736
03 Asturias, Principado de;1978M07;750
03 Asturias, Principado de;1978M06;695
03 Asturias, Principado de;1978M05;801
03 Asturias, Principado de;1978M04;831
03 Asturias, Principado de;1978M03;783
03 Asturias, Principado de;1978M02;852
03 Asturias, Principado de;1978M01;972
03 Asturias, Principado de;1977M12;984
03 Asturias, Principado de;1977M11;803
03 Asturias, Principado de;1977M10;743
03 Asturias, Principado de;1977M09;711
03 Asturias, Principado de;1977M08;701
03 Asturias, Principado de;1977M07;723
03 Asturias, Principado de;1977M06;729
03 Asturias, Principado de;1977M05;826
03 Asturias, Principado de;1977M04;1.158
03 Asturias, Principado de;1977M03;873
03 Asturias, Principado de;1977M02;805
03 Asturias, Principado de;1977M01;1.071
03 Asturias, Principado de;1976M12;900
03 Asturias, Principado de;1976M11;752
03 Asturias, Principado de;1976M10;685
03 Asturias, Principado de;1976M09;642
03 Asturias, Principado de;1976M08;768
03 Asturias, Principado de;1976M07;677
03 Asturias, Principado de;1976M06;709
03 Asturias, Principado de;1976M05;802
03 Asturias, Principado de;1976M04;792
03 Asturias, Principado de;1976M03;872
03 Asturias, Principado de;1976M02;966
03 Asturias, Principado de;1976M01;1.150
03 Asturias, Principado de;1975M12;937
03 Asturias, Principado de;1975M11;731
03 Asturias, Principado de;1975M10;774
03 Asturias, Principado de;1975M09;706
03 Asturias, Principado de;1975M08;683
03 Asturias, Principado de;1975M07;655
03 Asturias, Principado de;1975M06;689
03 Asturias, Principado de;1975M05;826
03 Asturias, Principado de;1975M04;759
03 Asturias, Principado de;1975M03;889
03 Asturias, Principado de;1975M02;854
03 Asturias, Principado de;1975M01;1.202
04 Balears, Illes;2018M12;748
04 Balears, Illes;2018M11;653
04 Balears, Illes;2018M10;687
04 Balears, Illes;2018M09;598
04 Balears, Illes;2018M08;591
04 Balears, Illes;2018M07;586
04 Balears, Illes;2018M06;580
04 Balears, Illes;2018M05;640
04 Balears, Illes;2018M04;657
04 Balears, Illes;2018M03;821
04 Balears, Illes;2018M02;764
04 Balears, Illes;2018M01;881
04 Balears, Illes;2017M12;812
04 Balears, Illes;2017M11;670
04 Balears, Illes;2017M10;569
04 Balears, Illes;2017M09;570
04 Balears, Illes;2017M08;667
04 Balears, Illes;2017M07;609
04 Balears, Illes;2017M06;638
04 Balears, Illes;2017M05;695
04 Balears, Illes;2017M04;672
04 Balears, Illes;2017M03;723
04 Balears, Illes;2017M02;776
04 Balears, Illes;2017M01;952
04 Balears, Illes;2016M12;722
04 Balears, Illes;2016M11;657
04 Balears, Illes;2016M10;574
04 Balears, Illes;2016M09;589
04 Balears, Illes;2016M08;632
04 Balears, Illes;2016M07;630
04 Balears, Illes;2016M06;619
04 Balears, Illes;2016M05;646
04 Balears, Illes;2016M04;701
04 Balears, Illes;2016M03;756
04 Balears, Illes;2016M02;669
04 Balears, Illes;2016M01;744
04 Balears, Illes;2015M12;706
04 Balears, Illes;2015M11;602
04 Balears, Illes;2015M10;591
04 Balears, Illes;2015M09;567
04 Balears, Illes;2015M08;627
04 Balears, Illes;2015M07;676
04 Balears, Illes;2015M06;662
04 Balears, Illes;2015M05;661
04 Balears, Illes;2015M04;712
04 Balears, Illes;2015M03;784
04 Balears, Illes;2015M02;908
04 Balears, Illes;2015M01;826
04 Balears, Illes;2014M12;701
04 Balears, Illes;2014M11;672
04 Balears, Illes;2014M10;635
04 Balears, Illes;2014M09;597
04 Balears, Illes;2014M08;612
04 Balears, Illes;2014M07;608
04 Balears, Illes;2014M06;593
04 Balears, Illes;2014M05;619
04 Balears, Illes;2014M04;645
04 Balears, Illes;2014M03;718
04 Balears, Illes;2014M02;678
04 Balears, Illes;2014M01;769
04 Balears, Illes;2013M12;778
04 Balears, Illes;2013M11;579
04 Balears, Illes;2013M10;566
04 Balears, Illes;2013M09;526
04 Balears, Illes;2013M08;554
04 Balears, Illes;2013M07;605
04 Balears, Illes;2013M06;570
04 Balears, Illes;2013M05;609
04 Balears, Illes;2013M04;628
04 Balears, Illes;2013M03;799
04 Balears, Illes;2013M02;719
04 Balears, Illes;2013M01;727
04 Balears, Illes;2012M12;757
04 Balears, Illes;2012M11;588
04 Balears, Illes;2012M10;622
04 Balears, Illes;2012M09;567
04 Balears, Illes;2012M08;569
04 Balears, Illes;2012M07;607
04 Balears, Illes;2012M06;579
04 Balears, Illes;2012M05;667
04 Balears, Illes;2012M04;618
04 Balears, Illes;2012M03;855
04 Balears, Illes;2012M02;907
04 Balears, Illes;2012M01;732
04 Balears, Illes;2011M12;700
04 Balears, Illes;2011M11;599
04 Balears, Illes;2011M10;548
04 Balears, Illes;2011M09;578
04 Balears, Illes;2011M08;602
04 Balears, Illes;2011M07;593
04 Balears, Illes;2011M06;591
04 Balears, Illes;2011M05;652
04 Balears, Illes;2011M04;584
04 Balears, Illes;2011M03;686
04 Balears, Illes;2011M02;740
04 Balears, Illes;2011M01;795
04 Balears, Illes;2010M12;700
04 Balears, Illes;2010M11;610
04 Balears, Illes;2010M10;640
04 Balears, Illes;2010M09;533
04 Balears, Illes;2010M08;573
04 Balears, Illes;2010M07;642
04 Balears, Illes;2010M06;622
04 Balears, Illes;2010M05;568
04 Balears, Illes;2010M04;642
04 Balears, Illes;2010M03;647
04 Balears, Illes;2010M02;731
04 Balears, Illes;2010M01;775
04 Balears, Illes;2009M12;716
04 Balears, Illes;2009M11;638
04 Balears, Illes;2009M10;637
04 Balears, Illes;2009M09;554
04 Balears, Illes;2009M08;599
04 Balears, Illes;2009M07;563
04 Balears, Illes;2009M06;611
04 Balears, Illes;2009M05;629
04 Balears, Illes;2009M04;649
04 Balears, Illes;2009M03;707
04 Balears, Illes;2009M02;682
04 Balears, Illes;2009M01;809
04 Balears, Illes;2008M12;684
04 Balears, Illes;2008M11;607
04 Balears, Illes;2008M10;620
04 Balears, Illes;2008M09;517
04 Balears, Illes;2008M08;571
04 Balears, Illes;2008M07;607
04 Balears, Illes;2008M06;595
04 Balears, Illes;2008M05;606
04 Balears, Illes;2008M04;609
04 Balears, Illes;2008M03;700
04 Balears, Illes;2008M02;686
04 Balears, Illes;2008M01;686
04 Balears, Illes;2007M12;707
04 Balears, Illes;2007M11;616
04 Balears, Illes;2007M10;544
04 Balears, Illes;2007M09;508
04 Balears, Illes;2007M08;516
04 Balears, Illes;2007M07;585
04 Balears, Illes;2007M06;566
04 Balears, Illes;2007M05;593
04 Balears, Illes;2007M04;606
04 Balears, Illes;2007M03;643
04 Balears, Illes;2007M02;647
04 Balears, Illes;2007M01;702
04 Balears, Illes;2006M12;670
04 Balears, Illes;2006M11;601
04 Balears, Illes;2006M10;561
04 Balears, Illes;2006M09;513
04 Balears, Illes;2006M08;577
04 Balears, Illes;2006M07;616
04 Balears, Illes;2006M06;557
04 Balears, Illes;2006M05;610
04 Balears, Illes;2006M04;560
04 Balears, Illes;2006M03;630
04 Balears, Illes;2006M02;621
04 Balears, Illes;2006M01;734
04 Balears, Illes;2005M12;674
04 Balears, Illes;2005M11;548
04 Balears, Illes;2005M10;569
04 Balears, Illes;2005M09;481
04 Balears, Illes;2005M08;515
04 Balears, Illes;2005M07;541
04 Balears, Illes;2005M06;533
04 Balears, Illes;2005M05;614
04 Balears, Illes;2005M04;581
04 Balears, Illes;2005M03;741
04 Balears, Illes;2005M02;776
04 Balears, Illes;2005M01;788
04 Balears, Illes;2004M12;609
04 Balears, Illes;2004M11;562
04 Balears, Illes;2004M10;561
04 Balears, Illes;2004M09;524
04 Balears, Illes;2004M08;519
04 Balears, Illes;2004M07;494
04 Balears, Illes;2004M06;525
04 Balears, Illes;2004M05;608
04 Balears, Illes;2004M04;645
04 Balears, Illes;2004M03;613
04 Balears, Illes;2004M02;660
04 Balears, Illes;2004M01;730
04 Balears, Illes;2003M12;645
04 Balears, Illes;2003M11;579
04 Balears, Illes;2003M10;568
04 Balears, Illes;2003M09;518
04 Balears, Illes;2003M08;648
04 Balears, Illes;2003M07;631
04 Balears, Illes;2003M06;586
04 Balears, Illes;2003M05;575
04 Balears, Illes;2003M04;620
04 Balears, Illes;2003M03;652
04 Balears, Illes;2003M02;646
04 Balears, Illes;2003M01;687
04 Balears, Illes;2002M12;659
04 Balears, Illes;2002M11;522
04 Balears, Illes;2002M10;546
04 Balears, Illes;2002M09;508
04 Balears, Illes;2002M08;541
04 Balears, Illes;2002M07;522
04 Balears, Illes;2002M06;569
04 Balears, Illes;2002M05;551
04 Balears, Illes;2002M04;624
04 Balears, Illes;2002M03;649
04 Balears, Illes;2002M02;652
04 Balears, Illes;2002M01;771
04 Balears, Illes;2001M12;689
04 Balears, Illes;2001M11;627
04 Balears, Illes;2001M10;505
04 Balears, Illes;2001M09;468
04 Balears, Illes;2001M08;608
04 Balears, Illes;2001M07;600
04 Balears, Illes;2001M06;537
04 Balears, Illes;2001M05;609
04 Balears, Illes;2001M04;549
04 Balears, Illes;2001M03;630
04 Balears, Illes;2001M02;556
04 Balears, Illes;2001M01;642
04 Balears, Illes;2000M12;632
04 Balears, Illes;2000M11;591
04 Balears, Illes;2000M10;543
04 Balears, Illes;2000M09;521
04 Balears, Illes;2000M08;552
04 Balears, Illes;2000M07;617
04 Balears, Illes;2000M06;528
04 Balears, Illes;2000M05;566
04 Balears, Illes;2000M04;612
04 Balears, Illes;2000M03;574
04 Balears, Illes;2000M02;685
04 Balears, Illes;2000M01;889
04 Balears, Illes;1999M12;708
04 Balears, Illes;1999M11;556
04 Balears, Illes;1999M10;517
04 Balears, Illes;1999M09;535
04 Balears, Illes;1999M08;628
04 Balears, Illes;1999M07;546
04 Balears, Illes;1999M06;469
04 Balears, Illes;1999M05;520
04 Balears, Illes;1999M04;582
04 Balears, Illes;1999M03;716
04 Balears, Illes;1999M02;842
04 Balears, Illes;1999M01;799
04 Balears, Illes;1998M12;686
04 Balears, Illes;1998M11;606
04 Balears, Illes;1998M10;515
04 Balears, Illes;1998M09;513
04 Balears, Illes;1998M08;552
04 Balears, Illes;1998M07;564
04 Balears, Illes;1998M06;491
04 Balears, Illes;1998M05;557
04 Balears, Illes;1998M04;566
04 Balears, Illes;1998M03;677
04 Balears, Illes;1998M02;704
04 Balears, Illes;1998M01;648
04 Balears, Illes;1997M12;604
04 Balears, Illes;1997M11;500
04 Balears, Illes;1997M10;551
04 Balears, Illes;1997M09;496
04 Balears, Illes;1997M08;556
04 Balears, Illes;1997M07;491
04 Balears, Illes;1997M06;523
04 Balears, Illes;1997M05;568
04 Balears, Illes;1997M04;587
04 Balears, Illes;1997M03;618
04 Balears, Illes;1997M02;645
04 Balears, Illes;1997M01;823
04 Balears, Illes;1996M12;585
04 Balears, Illes;1996M11;550
04 Balears, Illes;1996M10;573
04 Balears, Illes;1996M09;467
04 Balears, Illes;1996M08;521
04 Balears, Illes;1996M07;575
04 Balears, Illes;1996M06;502
04 Balears, Illes;1996M05;535
04 Balears, Illes;1996M04;564
04 Balears, Illes;1996M03;668
04 Balears, Illes;1996M02;615
04 Balears, Illes;1996M01;634
04 Balears, Illes;1995M12;670
04 Balears, Illes;1995M11;570
04 Balears, Illes;1995M10;531
04 Balears, Illes;1995M09;486
04 Balears, Illes;1995M08;566
04 Balears, Illes;1995M07;613
04 Balears, Illes;1995M06;482
04 Balears, Illes;1995M05;532
04 Balears, Illes;1995M04;601
04 Balears, Illes;1995M03;598
04 Balears, Illes;1995M02;560
04 Balears, Illes;1995M01;685
04 Balears, Illes;1994M12;578
04 Balears, Illes;1994M11;514
04 Balears, Illes;1994M10;512
04 Balears, Illes;1994M09;474
04 Balears, Illes;1994M08;617
04 Balears, Illes;1994M07;600
04 Balears, Illes;1994M06;515
04 Balears, Illes;1994M05;495
04 Balears, Illes;1994M04;528
04 Balears, Illes;1994M03;550
04 Balears, Illes;1994M02;601
04 Balears, Illes;1994M01;680
04 Balears, Illes;1993M12;629
04 Balears, Illes;1993M11;562
04 Balears, Illes;1993M10;559
04 Balears, Illes;1993M09;479
04 Balears, Illes;1993M08;551
04 Balears, Illes;1993M07;504
04 Balears, Illes;1993M06;511
04 Balears, Illes;1993M05;500
04 Balears, Illes;1993M04;553
04 Balears, Illes;1993M03;755
04 Balears, Illes;1993M02;549
04 Balears, Illes;1993M01;644
04 Balears, Illes;1992M12;523
04 Balears, Illes;1992M11;515
04 Balears, Illes;1992M10;585
04 Balears, Illes;1992M09;459
04 Balears, Illes;1992M08;559
04 Balears, Illes;1992M07;538
04 Balears, Illes;1992M06;485
04 Balears, Illes;1992M05;513
04 Balears, Illes;1992M04;547
04 Balears, Illes;1992M03;620
04 Balears, Illes;1992M02;612
04 Balears, Illes;1992M01;685
04 Balears, Illes;1991M12;594
04 Balears, Illes;1991M11;539
04 Balears, Illes;1991M10;542
04 Balears, Illes;1991M09;510
04 Balears, Illes;1991M08;545
04 Balears, Illes;1991M07;553
04 Balears, Illes;1991M06;495
04 Balears, Illes;1991M05;592
04 Balears, Illes;1991M04;553
04 Balears, Illes;1991M03;642
04 Balears, Illes;1991M02;657
04 Balears, Illes;1991M01;673
04 Balears, Illes;1990M12;709
04 Balears, Illes;1990M11;530
04 Balears, Illes;1990M10;487
04 Balears, Illes;1990M09;499
04 Balears, Illes;1990M08;532
04 Balears, Illes;1990M07;531
04 Balears, Illes;1990M06;457
04 Balears, Illes;1990M05;543
04 Balears, Illes;1990M04;549
04 Balears, Illes;1990M03;585
04 Balears, Illes;1990M02;611
04 Balears, Illes;1990M01;709
04 Balears, Illes;1989M12;549
04 Balears, Illes;1989M11;523
04 Balears, Illes;1989M10;544
04 Balears, Illes;1989M09;504
04 Balears, Illes;1989M08;566
04 Balears, Illes;1989M07;614
04 Balears, Illes;1989M06;517
04 Balears, Illes;1989M05;580
04 Balears, Illes;1989M04;534
04 Balears, Illes;1989M03;518
04 Balears, Illes;1989M02;584
04 Balears, Illes;1989M01;683
04 Balears, Illes;1988M12;669
04 Balears, Illes;1988M11;463
04 Balears, Illes;1988M10;491
04 Balears, Illes;1988M09;447
04 Balears, Illes;1988M08;520
04 Balears, Illes;1988M07;478
04 Balears, Illes;1988M06;441
04 Balears, Illes;1988M05;502
04 Balears, Illes;1988M04;542
04 Balears, Illes;1988M03;608
04 Balears, Illes;1988M02;510
04 Balears, Illes;1988M01;566
04 Balears, Illes;1987M12;569
04 Balears, Illes;1987M11;548
04 Balears, Illes;1987M10;497
04 Balears, Illes;1987M09;462
04 Balears, Illes;1987M08;521
04 Balears, Illes;1987M07;548
04 Balears, Illes;1987M06;431
04 Balears, Illes;1987M05;531
04 Balears, Illes;1987M04;506
04 Balears, Illes;1987M03;535
04 Balears, Illes;1987M02;538
04 Balears, Illes;1987M01;677
04 Balears, Illes;1986M12;611
04 Balears, Illes;1986M11;538
04 Balears, Illes;1986M10;498
04 Balears, Illes;1986M09;502
04 Balears, Illes;1986M08;508
04 Balears, Illes;1986M07;464
04 Balears, Illes;1986M06;503
04 Balears, Illes;1986M05;511
04 Balears, Illes;1986M04;567
04 Balears, Illes;1986M03;614
04 Balears, Illes;1986M02;677
04 Balears, Illes;1986M01;626
04 Balears, Illes;1985M12;552
04 Balears, Illes;1985M11;532
04 Balears, Illes;1985M10;510
04 Balears, Illes;1985M09;499
04 Balears, Illes;1985M08;454
04 Balears, Illes;1985M07;534
04 Balears, Illes;1985M06;473
04 Balears, Illes;1985M05;505
04 Balears, Illes;1985M04;547
04 Balears, Illes;1985M03;648
04 Balears, Illes;1985M02;502
04 Balears, Illes;1985M01;739
04 Balears, Illes;1984M12;542
04 Balears, Illes;1984M11;473
04 Balears, Illes;1984M10;501
04 Balears, Illes;1984M09;491
04 Balears, Illes;1984M08;443
04 Balears, Illes;1984M07;452
04 Balears, Illes;1984M06;494
04 Balears, Illes;1984M05;507
04 Balears, Illes;1984M04;528
04 Balears, Illes;1984M03;610
04 Balears, Illes;1984M02;520
04 Balears, Illes;1984M01;573
04 Balears, Illes;1983M12;584
04 Balears, Illes;1983M11;492
04 Balears, Illes;1983M10;474
04 Balears, Illes;1983M09;419
04 Balears, Illes;1983M08;485
04 Balears, Illes;1983M07;620
04 Balears, Illes;1983M06;475
04 Balears, Illes;1983M05;477
04 Balears, Illes;1983M04;455
04 Balears, Illes;1983M03;587
04 Balears, Illes;1983M02;712
04 Balears, Illes;1983M01;698
04 Balears, Illes;1982M12;563
04 Balears, Illes;1982M11;470
04 Balears, Illes;1982M10;496
04 Balears, Illes;1982M09;390
04 Balears, Illes;1982M08;460
04 Balears, Illes;1982M07;574
04 Balears, Illes;1982M06;481
04 Balears, Illes;1982M05;442
04 Balears, Illes;1982M04;444
04 Balears, Illes;1982M03;502
04 Balears, Illes;1982M02;448
04 Balears, Illes;1982M01;437
04 Balears, Illes;1981M12;503
04 Balears, Illes;1981M11;404
04 Balears, Illes;1981M10;372
04 Balears, Illes;1981M09;387
04 Balears, Illes;1981M08;431
04 Balears, Illes;1981M07;412
04 Balears, Illes;1981M06;393
04 Balears, Illes;1981M05;428
04 Balears, Illes;1981M04;405
04 Balears, Illes;1981M03;525
04 Balears, Illes;1981M02;497
04 Balears, Illes;1981M01;681
04 Balears, Illes;1980M12;604
04 Balears, Illes;1980M11;425
04 Balears, Illes;1980M10;458
04 Balears, Illes;1980M09;353
04 Balears, Illes;1980M08;412
04 Balears, Illes;1980M07;412
04 Balears, Illes;1980M06;418
04 Balears, Illes;1980M05;451
04 Balears, Illes;1980M04;414
04 Balears, Illes;1980M03;497
04 Balears, Illes;1980M02;504
04 Balears, Illes;1980M01;572
04 Balears, Illes;1979M12;527
04 Balears, Illes;1979M11;491
04 Balears, Illes;1979M10;470
04 Balears, Illes;1979M09;394
04 Balears, Illes;1979M08;432
04 Balears, Illes;1979M07;442
04 Balears, Illes;1979M06;424
04 Balears, Illes;1979M05;468
04 Balears, Illes;1979M04;427
04 Balears, Illes;1979M03;545
04 Balears, Illes;1979M02;471
04 Balears, Illes;1979M01;561
04 Balears, Illes;1978M12;506
04 Balears, Illes;1978M11;424
04 Balears, Illes;1978M10;459
04 Balears, Illes;1978M09;401
04 Balears, Illes;1978M08;440
04 Balears, Illes;1978M07;448
04 Balears, Illes;1978M06;419
04 Balears, Illes;1978M05;459
04 Balears, Illes;1978M04;453
04 Balears, Illes;1978M03;529
04 Balears, Illes;1978M02;501
04 Balears, Illes;1978M01;533
04 Balears, Illes;1977M12;570
04 Balears, Illes;1977M11;477
04 Balears, Illes;1977M10;431
04 Balears, Illes;1977M09;396
04 Balears, Illes;1977M08;416
04 Balears, Illes;1977M07;422
04 Balears, Illes;1977M06;411
04 Balears, Illes;1977M05;438
04 Balears, Illes;1977M04;614
04 Balears, Illes;1977M03;505
04 Balears, Illes;1977M02;492
04 Balears, Illes;1977M01;516
04 Balears, Illes;1976M12;497
04 Balears, Illes;1976M11;495
04 Balears, Illes;1976M10;435
04 Balears, Illes;1976M09;376
04 Balears, Illes;1976M08;425
04 Balears, Illes;1976M07;447
04 Balears, Illes;1976M06;415
04 Balears, Illes;1976M05;462
04 Balears, Illes;1976M04;504
04 Balears, Illes;1976M03;614
04 Balears, Illes;1976M02;538
04 Balears, Illes;1976M01;552
04 Balears, Illes;1975M12;538
04 Balears, Illes;1975M11;484
04 Balears, Illes;1975M10;455
04 Balears, Illes;1975M09;388
04 Balears, Illes;1975M08;502
04 Balears, Illes;1975M07;464
04 Balears, Illes;1975M06;409
04 Balears, Illes;1975M05;445
04 Balears, Illes;1975M04;471
04 Balears, Illes;1975M03;487
04 Balears, Illes;1975M02;513
04 Balears, Illes;1975M01;647
05 Canarias;2018M12;1.339
05 Canarias;2018M11;1.294
05 Canarias;2018M10;1.203
05 Canarias;2018M09;1.196
05 Canarias;2018M08;1.234
05 Canarias;2018M07;1.194
05 Canarias;2018M06;1.218
05 Canarias;2018M05;1.334
05 Canarias;2018M04;1.348
05 Canarias;2018M03;1.532
05 Canarias;2018M02;1.693
05 Canarias;2018M01;1.725
05 Canarias;2017M12;1.406
05 Canarias;2017M11;1.175
05 Canarias;2017M10;1.180
05 Canarias;2017M09;1.127
05 Canarias;2017M08;1.193
05 Canarias;2017M07;1.165
05 Canarias;2017M06;1.154
05 Canarias;2017M05;1.179
05 Canarias;2017M04;1.240
05 Canarias;2017M03;1.393
05 Canarias;2017M02;1.339
05 Canarias;2017M01;1.703
05 Canarias;2016M12;1.526
05 Canarias;2016M11;1.236
05 Canarias;2016M10;1.205
05 Canarias;2016M09;1.096
05 Canarias;2016M08;1.184
05 Canarias;2016M07;1.181
05 Canarias;2016M06;1.148
05 Canarias;2016M05;1.238
05 Canarias;2016M04;1.220
05 Canarias;2016M03;1.313
05 Canarias;2016M02;1.297
05 Canarias;2016M01;1.391
05 Canarias;2015M12;1.328
05 Canarias;2015M11;1.183
05 Canarias;2015M10;1.140
05 Canarias;2015M09;1.054
05 Canarias;2015M08;1.119
05 Canarias;2015M07;1.147
05 Canarias;2015M06;1.166
05 Canarias;2015M05;1.167
05 Canarias;2015M04;1.274
05 Canarias;2015M03;1.541
05 Canarias;2015M02;1.428
05 Canarias;2015M01;1.563
05 Canarias;2014M12;1.283
05 Canarias;2014M11;1.067
