Operación;Conceptos Demográficos;Periodo;Total
MNP Estadística de Matrimonios;Defunción;2006;""
MNP Estadística de Matrimonios;Defunción;2005;""
MNP Estadística de Matrimonios;Defunción;2004;""
MNP Estadística de Matrimonios;Defunción;2003;""
MNP Estadística de Matrimonios;Defunción;2002;""
MNP Estadística de Matrimonios;Defunción;2001;""
MNP Estadística de Matrimonios;Defunción;2000;""
MNP Estadística de Matrimonios;Defunción;1999;""
MNP Estadística de Matrimonios;Defunción;1998;""
MNP Estadística de Matrimonios;Defunción;1997;""
MNP Estadística de Matrimonios;Defunción;1996;""
MNP Estadística de Matrimonios;Defunción;1995;""
MNP Estadística de Matrimonios;Defunción;1994;""
MNP Estadística de Matrimonios;Defunción;1993;""
MNP Estadística de Matrimonios;Defunción;1992;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2018;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2017;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2016;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2015;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2014;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2013;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2012;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2011;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2010;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2009;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2008;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2007;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2006;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2005;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2004;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2003;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2002;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2001;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;2000;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1999;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1998;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1997;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1996;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1995;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1994;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1993;""
MNP Estadística de Matrimonios;Crecimiento vegetativo;1992;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2018;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2017;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2016;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2015;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2014;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2013;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2012;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2011;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2010;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2009;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2008;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2007;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2006;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2005;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2004;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2003;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2002;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2001;""
MNP Estadística de Matrimonios;Muertes fetales tardías;2000;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1999;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1998;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1997;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1996;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1995;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1994;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1993;""
MNP Estadística de Matrimonios;Muertes fetales tardías;1992;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2018;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2017;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2016;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2015;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2014;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2013;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2012;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2011;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2010;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2009;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2008;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2007;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2006;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2005;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2004;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2003;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2002;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2001;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;2000;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1999;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1998;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1997;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1996;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1995;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1994;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1993;""
MNP Estadística de Matrimonios;Defunciones de menores de un año;1992;""
MNP Estadística de Nacimientos;Nacimiento;2018;372.777
MNP Estadística de Nacimientos;Nacimiento;2017;393.181
MNP Estadística de Nacimientos;Nacimiento;2016;410.583
MNP Estadística de Nacimientos;Nacimiento;2015;420.290
MNP Estadística de Nacimientos;Nacimiento;2014;427.595
MNP Estadística de Nacimientos;Nacimiento;2013;425.715
MNP Estadística de Nacimientos;Nacimiento;2012;454.648
MNP Estadística de Nacimientos;Nacimiento;2011;471.999
MNP Estadística de Nacimientos;Nacimiento;2010;486.575
MNP Estadística de Nacimientos;Nacimiento;2009;494.997
MNP Estadística de Nacimientos;Nacimiento;2008;519.779
MNP Estadística de Nacimientos;Nacimiento;2007;492.527
MNP Estadística de Nacimientos;Nacimiento;2006;482.957
MNP Estadística de Nacimientos;Nacimiento;2005;466.371
MNP Estadística de Nacimientos;Nacimiento;2004;454.591
MNP Estadística de Nacimientos;Nacimiento;2003;441.881
MNP Estadística de Nacimientos;Nacimiento;2002;418.846
MNP Estadística de Nacimientos;Nacimiento;2001;406.380
MNP Estadística de Nacimientos;Nacimiento;2000;397.632
MNP Estadística de Nacimientos;Nacimiento;1999;380.130
MNP Estadística de Nacimientos;Nacimiento;1998;365.193
MNP Estadística de Nacimientos;Nacimiento;1997;369.035
MNP Estadística de Nacimientos;Nacimiento;1996;362.626
MNP Estadística de Nacimientos;Nacimiento;1995;363.469
MNP Estadística de Nacimientos;Nacimiento;1994;370.148
MNP Estadística de Nacimientos;Nacimiento;1993;385.786
MNP Estadística de Nacimientos;Nacimiento;1992;396.747
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2018;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2017;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2016;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2015;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2014;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2013;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2012;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2011;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2010;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2009;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2008;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2007;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2006;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2005;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2004;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2003;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2002;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2001;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;2000;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1999;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1998;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1997;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1996;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1995;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1994;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1993;""
MNP Estadística de Nacimientos;Matrimonio; mismo y distinto sexo;1992;""
MNP Estadística de Nacimientos;Defunción;2018;""
MNP Estadística de Nacimientos;Defunción;2017;""
MNP Estadística de Nacimientos;Defunción;2016;""
MNP Estadística de Nacimientos;Defunción;2015;""
MNP Estadística de Nacimientos;Defunción;2014;""
MNP Estadística de Nacimientos;Defunción;2013;""
MNP Estadística de Nacimientos;Defunción;2012;""
MNP Estadística de Nacimientos;Defunción;2011;""
MNP Estadística de Nacimientos;Defunción;2010;""
MNP Estadística de Nacimientos;Defunción;2009;""
MNP Estadística de Nacimientos;Defunción;2008;""
MNP Estadística de Nacimientos;Defunción;2007;""
MNP Estadística de Nacimientos;Defunción;2006;""
MNP Estadística de Nacimientos;Defunción;2005;""
MNP Estadística de Nacimientos;Defunción;2004;""
MNP Estadística de Nacimientos;Defunción;2003;""
MNP Estadística de Nacimientos;Defunción;2002;""
MNP Estadística de Nacimientos;Defunción;2001;""
MNP Estadística de Nacimientos;Defunción;2000;""
MNP Estadística de Nacimientos;Defunción;1999;""
MNP Estadística de Nacimientos;Defunción;1998;""
MNP Estadística de Nacimientos;Defunción;1997;""
MNP Estadística de Nacimientos;Defunción;1996;""
MNP Estadística de Nacimientos;Defunción;1995;""
MNP Estadística de Nacimientos;Defunción;1994;""
MNP Estadística de Nacimientos;Defunción;1993;""
MNP Estadística de Nacimientos;Defunción;1992;""
